institution,institution_cubes_name,institution_full_name,continent,country,state,openapc_data_dir,ror_id,institution_type,institution_group,info_url,comment
Aix-Marseille Université,aix_marseille_u,Aix-Marseille Université,EUROPE,FRA,FR-PAC,couperin/amu,https://ror.org/035xkbk20,NA,NA,NA,NA
Université de Bourgogne,bourgogne_u,Université de Bourgogne,EUROPE,FRA,FR-BFC,couperin/bourgogne,https://ror.org/03k1bsr36,NA,NA,NA,NA
Hospices Civils de Lyon,hcl_u,Hospices Civils de Lyon,EUROPE,FRA,FR-ARA,couperin/hcl,https://ror.org/01502ca60,NA,NA,NA,NA
INRIA,inria,Institut national de recherche en informatique et en automatique (INRIA),EUROPE,FRA,FR-IDF,couperin/inria,https://ror.org/02kvxyf05,NA,NA,NA,NA
INSERM,inserm,Institut national de la santé et de la recherche médicale (INSERM),EUROPE,FRA,FR-IDF,couperin/inserm,https://ror.org/02vjkv261,NA,NA,NA,NA
Université Lille 1,lille1_u,Université Lille 1,EUROPE,FRA,FR-HDF,couperin/lille1,https://ror.org/02kzqn938,NA,NA,NA,NA
Université Lille 2,lille2_u,Université Lille 2,EUROPE,FRA,FR-HDF,couperin/lille2,https://ror.org/02kzqn938,NA,NA,NA,NA
Université de Rennes 1,rennes1_u,Université de Rennes 1,EUROPE,FRA,FR-BRE,couperin/rennes1,https://ror.org/015m7wh34,NA,NA,NA,NA
Université de Toulon,toulon_u,Université de Toulon,EUROPE,FRA,FR-PAC,couperin/toulon,https://ror.org/02m9kbe37,NA,NA,NA,NA
Université Pierre et Marie Curie (Paris VI),upmc,Université Pierre et Marie Curie (Paris VI),EUROPE,FRA,FR-IDF,couperin/upmc,https://ror.org/02en5vm52,NA,NA,NA,NA
Université de Bordeaux,bordeaux_u,Université de Bordeaux,EUROPE,FRA,FR-NAQ,couperin/bordeaux,https://ror.org/057qpr032,NA,NA,NA,NA
Université Grenoble Alpes,grenoble_u,Université Grenoble Alpes,EUROPE,FRA,FR-ARA,couperin/grenoble,https://ror.org/02rx3b187,NA,NA,NA,NA
Institut national polytechnique de Toulouse,inpt,Institut national polytechnique de Toulouse(INPT),EUROPE,FRA,FR-OCC,couperin/inpt,https://ror.org/033p9g875,NA,NA,NA,NA
Université de Poitiers,poitiers_u,Université de Poitiers,EUROPE,FRA,FR-NAQ,couperin/poitiers,https://ror.org/04xhy8q59,NA,NA,NA,NA
University of Borås,boras_u,University of Borås,EUROPE,SWE,SE-O,NA,https://ror.org/01fdxwh83,NA,NA,NA,NA
University West,west_u,University West,EUROPE,SWE,SE-O,natlibswe/univ_vast,https://ror.org/0257kt353,NA,NA,NA,NA
Linnaeus University,linnaeus_u,Linnaeus University,EUROPE,SWE,SE-G,NA,https://ror.org/00j9qag85,NA,NA,NA,NA
Örebro University,orebro_u,Örebro University,EUROPE,SWE,SE-T,natlibswe/univ_orebro,https://ror.org/05kytsw45,NA,NA,NA,NA
Université de Lorraine,lorraine_u,Université de Lorraine,EUROPE,FRA,FR-GES,couperin/lorraine,https://ror.org/04vfs2w97,NA,NA,NA,NA
CNRS,cnrs,Centre national de la recherche scientifique (CNRS),EUROPE,FRA,FR-IDF,couperin/cnrs,https://ror.org/00675rp98,NA,NA,NA,NA
Université Clermont Auvergne,clermont_u,Université Clermont Auvergne,EUROPE,FRA,FR-ARA,couperin/auvergne,https://ror.org/01a8ajp46,NA,NA,NA,NA
Indiana University - Purdue University Indianapolis (IUPUI),iupui,Indiana University - Purdue University Indianapolis (IUPUI),NORTH_AMERICA,USA,US-IN,iupui,https://ror.org/05gxnyn08,NA,NA,http://www.ulib.iupui.edu/digitalscholarship/openaccess/oafund,NA
Leibniz-IGB,igb,IGB - Leibniz-Institute of Freshwater Ecology and Inland Fisheries,EUROPE,DEU,BE,igb,https://ror.org/01nftxb06,INS,WGL,https://www.igb-berlin.de/en/library,NA
Weierstrass Institute for Applied Analysis and Stochastics,wias,WIAS - Weierstrass Institute for Applied Analysis and Stochastics,EUROPE,DEU,BE,wias,https://ror.org/00h1x4t21,INS,WGL,https://www.wias-berlin.de/services/library/,NA
Université Paris Descartes (Paris V),paris_descartes_u,Université Paris Descartes (Paris V),EUROPE,FRA,FR-IDF,couperin/paris-descartes,NA,NA,NA,NA,NA
Université Toulouse III - Paul Sabatier,toulouse_u_3,Université Toulouse III,EUROPE,FRA,FR-OCC,couperin/toulouse3,https://ror.org/02v6kpv12,NA,NA,NA,NA
INRA,inra,Institut national de la recherche agronomique (INRA),EUROPE,FRA,FR-IDF,couperin/inra,https://ror.org/05y503v71,NA,NA,NA,NA
ESPCI Paris,espci,École supérieure de physique et de chimie industrielles de la Ville de Paris (ESPCI),EUROPE,FRA,FR-IDF,couperin/espci,https://ror.org/03zx86w41,NA,NA,NA,NA
Avignon Université,avignon_u,Avignon Université,EUROPE,FRA,FR-PAC,couperin/avignon,https://ror.org/00mfpxb84,NA,NA,NA,NA
Université de Caen Normandie,caen_u,Université de Caen Normandie,EUROPE,FRA,FR-NOR,couperin/caen,https://ror.org/051kpcy16,NA,NA,NA,NA
Université de Franche-Comté,france_comte_u,Université de Franche-Comté,EUROPE,FRA,FR-BFC,couperin/franche-comte,https://ror.org/03pcc9z86,NA,NA,NA,NA
Université Paris Diderot (Paris VII),paris_diderot_u,Université Paris Diderot (Paris VII),EUROPE,FRA,FR-IDF,couperin/paris-diderot,NA,NA,NA,NA,NA
Université de Strasbourg,strasbourg_u,Université de Strasbourg,EUROPE,FRA,FR-GES,couperin/strasbourg,https://ror.org/00pg6eq24,NA,NA,NA,NA
"University of Chemistry and Technology, Prague",uct_prague_u,"University of Chemistry and Technology, Prague",EUROPE,CZE,CZ-PR,uct_prague,https://ror.org/05ggn0a85,NA,NA,https://www.chemtk.cz/en/,NA
Brunel University,brunel_u,Brunel University,EUROPE,GBR,ENG,NA,https://ror.org/00dn4t376,NA,NA,NA,NA
Edinburgh Napier University,edinburgh_napier_u,Edinburgh Napier University,EUROPE,GBR,SCT,NA,https://ror.org/03zjvnn91,NA,NA,NA,NA
Glasgow Caledonian University,glasgow_caledonian_u,Glasgow Caledonian University,EUROPE,GBR,SCT,NA,https://ror.org/03dvm1235,NA,NA,NA,NA
Heriot-Watt University,heriot_watt_u,Heriot-Watt University,EUROPE,GBR,SCT,NA,https://ror.org/04mghma93,NA,NA,NA,NA
Leeds Beckett University,leeds_beckett_u,Leeds Beckett University,EUROPE,GBR,ENG,NA,https://ror.org/02xsh5r57,NA,NA,NA,NA
Liverpool John Moores University,liverpool_john_moores_u,Liverpool John Moores University,EUROPE,GBR,ENG,NA,https://ror.org/04zfme737,NA,NA,NA,NA
Liverpool School of Tropical Medicine,liverpool_sotm,Liverpool School of Tropical Medicine,EUROPE,GBR,ENG,NA,https://ror.org/03svjbs84,NA,NA,NA,NA
The Open University,open_u,The Open University,EUROPE,GBR,ENG,NA,https://ror.org/05mzfcs16,NA,NA,NA,NA
University of Dundee,dundee_u,University of Dundee,EUROPE,GBR,SCT,NA,https://ror.org/03h2bxq36,NA,NA,NA,NA
University of East Anglia,east_anglia_u,University of East Anglia,EUROPE,GBR,ENG,NA,https://ror.org/026k5mg93,NA,NA,NA,NA
University of Kent,kent_u,University of Kent,EUROPE,GBR,ENG,NA,https://ror.org/00xkeyj56,NA,NA,NA,NA
University of Leeds,leeds_u,University of Leeds,EUROPE,GBR,ENG,NA,https://ror.org/024mrxd33,NA,NA,NA,NA
University of Strathclyde,strathclyde_u,University of Strathclyde,EUROPE,GBR,SCT,NA,https://ror.org/00n3w3b69,NA,NA,NA,NA
University of the West of England,west_of_england_u,University of the West of England,EUROPE,GBR,ENG,NA,https://ror.org/02nwg5t34,NA,NA,NA,NA
University of Ulster,ulster_u,University of Ulster,EUROPE,GBR,NIR,NA,https://ror.org/01yp9g959,NA,NA,NA,NA
SOAS,soas,SOAS University of London,EUROPE,GBR,ENG,NA,https://ror.org/04vrxay34,NA,NA,NA,NA
London South Bank University,london_south_bank_u,London South Bank University,EUROPE,GBR,ENG,NA,https://ror.org/02vwnat91,NA,NA,NA,NA
Oxford Brookes University,oxford_brookes_u,Oxford Brookes University,EUROPE,GBR,ENG,NA,https://ror.org/04v2twj65,NA,NA,NA,NA
Université d'Angers,angers_u,Université d'Angers,EUROPE,FRA,FR-PDL,couperin/angers,https://ror.org/04yrqp957,NA,NA,NA,NA
CIRAD,cirad,Centre de coopération internationale en recherche agronomique pour le développement (CIRAD),EUROPE,FRA,FR-IDF,couperin/cirad,https://ror.org/05kpkpg04,NA,NA,NA,NA
Ecole normale supérieure de Paris,ens_paris,Ecole normale supérieure de Paris,EUROPE,FRA,FR-IDF,couperin/ens_paris,https://ror.org/05a0dhs15,NA,NA,NA,NA
Institut de recherche pour le développement (IRD),ird,Institut de recherche pour le développement (IRD),EUROPE,FRA,FR-PAC,couperin/ird,https://ror.org/05q3vnk25,NA,NA,NA,NA
Université Claude Bernard Lyon 1,lyon1_u,Université Claude Bernard Lyon 1,EUROPE,FRA,FR-ARA,couperin/lyon1,https://ror.org/029brtt94,NA,NA,NA,NA
Université de Nantes,nantes_u,Université de Nantes,EUROPE,FRA,FR-PDL,couperin/nantes,https://ror.org/03gnr7b55,NA,NA,NA,NA
IFSTTAR,ifsttar,"Institut français des sciences et technologies des transports, de l'aménagement et des réseaux (IFSTTAR)",EUROPE,FRA,FR-IDF,couperin/ifsttar,NA,NA,NA,NA,NA
IRSTEA,irstea,Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture (IRSTEA),EUROPE,FRA,FR-IDF,couperin/irstea,NA,NA,NA,NA,NA
Université Evry Val-d'Essonne,evry_u,Université Evry Val-d'Essonne,EUROPE,FRA,FR-IDF,couperin/evry,https://ror.org/00e96v939,NA,NA,NA,NA
Université Technologique de Compiègne,compiegne_u,Université Technologique de Compiègne,EUROPE,FRA,FR-HDF,couperin/compiegne,https://ror.org/04y5kwa70,NA,NA,NA,NA
Frankfurt U,frankfurt_u,Johann Wolfgang Goethe-Universität Frankfurt am Main,EUROPE,DEU,HE,unifrankfurt,https://ror.org/04cvxnb49,HEI,NA,https://www.ub.uni-frankfurt.de/publizieren/publikationsfonds.html,NA
Museum National d'Histoire Naturelle,mnhn,Museum National d'Histoire Naturelle,EUROPE,FRA,FR-IDF,couperin/mnhn,https://ror.org/03wkt5x30,NA,NA,NA,NA
TH Wildau,th_wildau,Technische Hochschule Wildau,EUROPE,DEU,BB,thwildau,https://ror.org/00k62pe27,HEI,NA,https://www.th-wildau.de/hochschule/zentrale-einrichtungen/hochschulbibliothek/open-access-und-publikationsdienste/publikationsfonds/,NA
Charité - Universitätsmedizin Berlin,charite,Charité - Universitätsmedizin Berlin,EUROPE,DEU,BE,charite,https://ror.org/001w7jn25,HEI,NA,https://bibliothek.charite.de/publizieren/open_access,NA
Université de La Rochelle,la_rochelle_u,Université de La Rochelle,EUROPE,FRA,FR-NAQ,couperin/rochelle,https://ror.org/04mv1z119,NA,NA,NA,NA
Rostock U,rostock_u,University of Rostock,EUROPE,DEU,MV,unirostock,https://ror.org/03zdwsf69,HEI,NA,https://www.ub.uni-rostock.de/en/wissenschaftliche-services/open-access/open-access-foerdermoeglichkeiten/open-access-publikationsfonds-der-universitaet-rostock/,NA
Qatar National Library,qnl,Qatar National Library,WESTERN_ASIA,QAT,QA-RA,qatar_national_library,https://ror.org/02jv93662,NA,NA,https://www.qnl.qa/en,NA
Université de La Réunion,reunion_u,Université de La Réunion,EUROPE,FRA,FR-RE,couperin/reunion,https://ror.org/005ypkf75,NA,NA,NA,NA
Mines ParisTech,mines,MINES ParisTech,EUROPE,FRA,FR-IDF,couperin/mines-paristech,https://ror.org/04y8cs423,NA,NA,NA,NA
Université de Montpellier,montpellier_u,Université de Montpellier,EUROPE,FRA,FR-OCC,couperin/montpellier,https://ror.org/051escj72,NA,NA,NA,NA
Marburg U,marburg_u,Philipps University of Marburg,EUROPE,DEU,HE,unimarburg,https://ror.org/01rdrb571,HEI,NA,https://www.uni-marburg.de/de/ub/forschen/open-access/open-access-publikationsfonds,NA
Free University of Bozen-Bolzano,bozen_u,Free University of Bozen-Bolzano,EUROPE,ITA,IT-32,unibozen,https://ror.org/012ajp527,NA,NA,https://www.unibz.it/en/services/library/publishing-at-unibz/unibz-open-access-publishing-fund/,NA
Greifswald U,greifswald_u,University of Greifswald,EUROPE,DEU,MV,unigreifswald,https://ror.org/00r1edq15,HEI,NA,https://ub.uni-greifswald.de/en/service/for-academics/open-access/finanzierung-von-publikationen/publication-fund/,NA
PIK-Potsdam,pik_potsdam,Potsdam Institute for Climate Impact Research (PIK),EUROPE,DEU,BB,pik-potsdam,https://ror.org/03e8s1d88,INS,WGL,https://www.pik-potsdam.de,data provided by the [Library Wissenschaftspark Albert Einstein](http://bib.telegrafenberg.de/en/publishing/open-access/)
HU Berlin,hu_berlin,Humboldt-Universität zu Berlin,EUROPE,DEU,BE,huberlin,https://ror.org/01hcx6992,HEI,NA,https://www.ub.hu-berlin.de/de/forschen-publizieren/open-access/foerdermoeglichkeiten/finanzierung/publikationsfonds?set_language=de,NA
University of Debrecen,debrecen_u,University of Debrecen,EUROPE,HUN,HU-DE,unidebrecen,https://ror.org/02xf66n48,NA,NA,https://unideb.hu/en,NA
Institut für Arbeitsmarkt- und Berufsforschung,iab,Institut für Arbeitsmarkt- und Berufsforschung (IAB),EUROPE,DEU,BY,iab,https://ror.org/02qcqwf93,OTH,NA,https://www.iab.de/de/informationsservice/open-access-im-iab.aspx,NA
GEOMAR,geomar,GEOMAR - Helmholtz Centre for Ocean Research Kiel,EUROPE,DEU,SH,geomar,https://ror.org/02h2x0161,INS,HGF,https://www.geomar.de/en/centre/central-facilities/bibliothek/author-services/publication-costs,NA
University of Jyväskylä,jyvaskyla_u,University of Jyväskylä,EUROPE,FIN,FI-08,unijyväskylä,https://ror.org/05n3dz165,NA,NA,https://openscience.jyu.fi/en/open-access-publishing,NA
Commissariat à l'énergie atomique et aux énergies alternatives (CEA),cea,Commissariat à l'énergie atomique et aux énergies alternatives (CEA),EUROPE,FRA,FR-IDF,couperin/cea,https://ror.org/00jjx8s55,NA,NA,NA,NA
Salzburg U,salzburg_u,University of Salzburg,EUROPE,AUT,AUT-SZ,unisalzburg,https://ror.org/05gs8cd61,NA,NA,https://www.plus.ac.at/university-library/services/open-access/open-access-policy/?lang=en,NA
Swedish School of Sport and Health Sciences,swedish_school_sport_health_sciences,Swedish School of Sport and Health Sciences,EUROPE,SWE,SE-AB,NA,https://ror.org/046hach49,NA,NA,NA,NA
University of Skövde,skovde_u,University of Skövde,EUROPE,SWE,SE-O,natlibswe/univ_skovde,https://ror.org/051mrsz47,NA,NA,NA,NA
Karlstad University,karlstad_u,Karlstad University,EUROPE,SWE,SE-S,natlibswe/univ_karlstad,https://ror.org/05s754026,NA,NA,NA,NA
Mannheim U,mannheim_u,University of Mannheim,EUROPE,DEU,BW,unimannheim,https://ror.org/031bsb921,HEI,NA,https://www.bib.uni-mannheim.de/en/open-access-publishing-fund/,NA
University of Turku,turku_u,University of Turku,EUROPE,FIN,FI-19,uniturku,https://ror.org/05vghhr25,NA,NA,https://utuguides.fi/openaccess,NA
University of Belgrade,belgrade_u,University of Belgrade,EUROPE,SRB,RS-00,unibelgrade,https://ror.org/02qsmb048,NA,NA,http://bg.ac.rs/en/,NA
Tampere University,tampere_u,Tampere University,EUROPE,FIN,FI-11,unitampere,https://ror.org/033003e23,NA,NA,https://libguides.tuni.fi/open-access/introduction,NA
Charles University,charles_u,Charles University,EUROPE,CZE,CZ-PR,charlesuniversity,https://ror.org/024d6js02,NA,NA,https://cuni.cz/UKEN-1.html,NA
Bern University of Applied Sciences,bfh,Bern University of Applied Sciences,EUROPE,CHE,CH.BE,bfh,https://ror.org/02bnkt322,NA,NA,http://www.bfh.ch/,NA
University of Eastern Finland,eastern_finland_u,University of Eastern Finland,EUROPE,FIN,FI-15,unieasternfinland,https://ror.org/00cyydd11,NA,NA,https://www.uef.fi/en/etusivu,NA
Södertörns University,sodertorns_u,Södertörns University,EUROPE,SWE,SE-AB,natlibswe/univ_sodertorn,https://ror.org/00d973h41,NA,NA,NA,NA
Laurea University of Applied Sciences,laurea_uas,Laurea University of Applied Sciences,EUROPE,FIN,FI-18,laurea_uas,https://ror.org/05h664633,NA,NA,https://www.laurea.fi/en/,NA
Hanken School of Economics,hanken_soe,Hanken School of Economics,EUROPE,FIN,FI-18,hanken,https://ror.org/026086s92,NA,NA,https://www.hanken.fi/en,NA
Passau U,passau_u,University of Passau,EUROPE,DEU,BY,unipassau,https://ror.org/05ydjnb78,HEI,NA,https://www.ub.uni-passau.de/publizieren/open-access/publikationsfonds/,NA
DLR,dlr,Deutsches Zentrum für Luft- und Raumfahrt,EUROPE,DEU,NW,dlr,https://ror.org/04bwf3e34,INS,HGF,https://www.dlr.de/zb/en/desktopdefault.aspx/tabid-8234/,NA
Institut Pasteur,institut_pasteur,Institut Pasteur,EUROPE,FRA,FR-IDF,couperin/pasteur,https://ror.org/0495fxg12,NA,NA,NA,NA
Bill & Melinda Gates Foundation,gates_foundation,Bill & Melinda Gates Foundation,NORTH_AMERICA,USA,US-WA,gates_foundation,https://ror.org/0456r8d26,NA,NA,https://www.gatesfoundation.org/how-we-work/general-information/open-access-policy,NA
Siegen U,siegen_u,University of Siegen,EUROPE,DEU,NW,unisiegen,https://ror.org/02azyry73,HEI,NA,https://www.ub.uni-siegen.de/index.php?id=1510&L=1,NA
VSB - Technical University of Ostrava,tu_ostrava,VSB - Technical University of Ostrava,EUROPE,CZE,CZ-MO,tu_ostrava,https://ror.org/05x8mcb75,NA,NA,https://www.vsb.cz/en,NA
Saarland U,saarland_u,Saarland University,EUROPE,DEU,SL,unisaarland,https://ror.org/01jdpyv68,HEI,NA,https://www.sulb.uni-saarland.de/lernen/open-access/open-access-publikationsfonds/,NA
University of Zurich,zurich_u,University of Zurich,EUROPE,CHE,CH.ZH,unizuerich,https://ror.org/02crff812,NA,NA,https://www.ub.uzh.ch/de/wissenschaftlich-arbeiten/publizieren/Open-Access/Open-Access-an-der-UZH.html,NA
University of Liège,liege_u,University of Liège,EUROPE,BEL,BE-WLG,uniliege,https://ror.org/00afp2z80,NA,NA,https://www.uliege.be/cms/c_8699436/en/uliege,NA
Hochschule Luzern,hs_luzern,Hochschule Luzern,EUROPE,CHE,CH.LU,hsluzern,https://ror.org/04nd0xd48,NA,NA,https://www.hslu.ch/de-ch/hochschule-luzern/campus/bibliotheken/open-access-zugang-zu-wissenschaftlichen-arbeiten/,NA
Veneto Institute of Oncology IOV IRCCS,iov_ircss,Veneto Institute of Oncology (IOV IRCCS),EUROPE,ITA,IT-34,iov-irccs,https://ror.org/01xcjmy57,NA,NA,https://www.ioveneto.it/unit/gestione-documentazione-scientifica/,NA
Bielefeld FH,bielefeld_fh,University of Applied Sciences Bielefeld,EUROPE,DEU,NW,fhbielefeld,https://ror.org/00edvg943,HEI,NA,https://www.fh-bielefeld.de/open-access/publikationsfonds,NA
Pädagogische Hochschule Luzern,ph_luzern,Pädagogische Hochschule Luzern,EUROPE,CHE,CH.LU,phluzern,https://ror.org/0235ynq74,NA,NA,https://www.phlu.ch/,NA
Universität Luzern,luzern_u,Universität Luzern,EUROPE,CHE,CH.LU,uniluzern,https://ror.org/00kgrkn83,NA,NA,https://www.unilu.ch/en/university/services/gs/research-information-system-fis/,NA
University of Bern,bern_u,University of Bern,EUROPE,CHE,CH.BE,unibern,https://ror.org/02k7v4d05,NA,NA,https://www.ub.unibe.ch/services/open_science/open_access/oa_fonds/index_eng.html,NA
ETH Zurich,ethz,ETH Zürich,EUROPE,CHE,CH.ZH,ethz,https://ror.org/05a28rw58,NA,NA,https://library.ethz.ch/en/publishing-and-archiving/publishing-and-registering/publishing-in-open-access-journals.html,NA
University of Gävle,gavle_u,University of Gävle,EUROPE,SWE,SE-X,natlibswe/univ_gavle,https://ror.org/043fje207,NA,NA,NA,NA
Kiel U,kiel_u,Christian-Albrechts-Universität zu Kiel,EUROPE,DEU,SH,unikiel,https://ror.org/04v76ef78,HEI,NA,https://www.ub.uni-kiel.de/en/open-access-publishing/open-access,NA
Université de Reims Champagne Ardenne,reims_u,Université de Reims Champagne Ardenne,EUROPE,FRA,FR-GES,couperin/reims,https://ror.org/03hypw319,NA,NA,NA,NA
Bonn U,bonn_u,Rheinische Friedrich-Wilhelms-Universität Bonn,EUROPE,DEU,NW,unibonn,https://ror.org/041nas322,HEI,NA,https://www.open-access.uni-bonn.de/de,NA
Eawag - Swiss Federal Institute of Aquatic Science and Technology,eawag,Eawag - Swiss Federal Institute of Aquatic Science and Technology,EUROPE,CHE,CH.ZH,NA,https://ror.org/00pc48d59,NA,NA,https://www.eawag.ch/en/,via [Lib4RI](https://www.lib4ri.ch/services/open-access.html)
Empa - Swiss Federal Laboratories for Materials Science and Technology,empa,Empa - Swiss Federal Laboratories for Materials Science and Technology,EUROPE,CHE,CH.ZH,NA,https://ror.org/02x681a42,NA,NA,https://www.empa.ch/,via [Lib4RI](https://www.lib4ri.ch/services/open-access.html)
ANSM,ansm,Agence nationale de sécurité du médicament et des produits de santé,EUROPE,FRA,FR-IDF,couperin/ansm,https://ror.org/01g80gk13,NA,NA,NA,NA
Institut Laue-Langevin,laue_langevin,Institut Laue-Langevin,EUROPE,FRA,FR-ARA,couperin/ill,https://ror.org/01xtjs520,NA,NA,NA,NA
ISARA,isara,Institut supérieur d'agriculture Rhône-Alpes,EUROPE,FRA,FR-ARA,couperin/isara,https://ror.org/03xsqa235,NA,NA,NA,NA
Université Paris-Est Marne-la-Vallée,paris_est_u,Université Paris-Est Marne-la-Vallée,EUROPE,FRA,FR-IDF,couperin/upem,NA,NA,NA,NA,NA
DIPF,dipf,DIPF | Leibniz-Institut für Bildungsforschung und Bildungsinformation,EUROPE,DEU,HE,dipf,https://ror.org/0327sr118,INS,WGL,https://www.dipf.de/en/knowledge-resources/dipfdocs-open-access?set_language=en,NA
University of Basel,basel_u,University of Basel,EUROPE,CHE,CH.BS,unibasel,https://ror.org/02s6k3f65,NA,NA,https://ub.unibas.ch/de/digitale-dienste/open-access/,NA
CNAM,cnam,Conservatoire national des arts et métiers,EUROPE,FRA,FR-IDF,couperin/cnam,https://ror.org/0175hh227,NA,NA,NA,NA
IMT Atlantique,imt_atlantique,IMT Atlantique Bretagne Pays de la Loire,EUROPE,FRA,FR-BRE,couperin/imt,https://ror.org/030hj3061,NA,NA,NA,NA
HS Düsseldorf,hs_duesseldorf,Hochschule Düsseldorf,EUROPE,DEU,NW,hsduesseldorf,https://ror.org/00ftx0026,HEI,NA,https://bib.hs-duesseldorf.de/en,NA
Université des Antilles,antilles_u,Université des Antilles,EUROPE,FRA,FR-GP,couperin/antilles,https://ror.org/02ryfmr77,NA,NA,NA,NA
ENSICAEN,ensicaen,École nationale supérieure d'ingénieurs de Caen,EUROPE,FRA,FR-NOR,couperin/ensicaen,https://ror.org/01fpqqe90,NA,NA,NA,NA
Natural Resources Institute Finland,nri_finland,Natural Resources Institute Finland,EUROPE,FIN,FI-18,NA,https://ror.org/02hb7bm88,NA,NA,NA,NA
University of Applied Sciences Savonia,savonia_uas,University of Applied Sciences Savonia,EUROPE,FIN,FI-15,NA,https://ror.org/0238fqd79,NA,NA,NA,NA
SAMK Satakunta University of Applied Sciences,satakunta_uas,Satakunta University of Applied Sciences,EUROPE,FIN,FI-17,NA,https://ror.org/008wzdf98,NA,NA,NA,NA
JAMK University of Applied Sciences,jamk_uas,JAMK University of Applied Sciences,EUROPE,FIN,FI-08,NA,https://ror.org/01dn2ng71,NA,NA,NA,NA
Haaga-Helia University of Applied Sciences,haaga_helia_uas,Haaga-Helia University of Applied Sciences,EUROPE,FIN,FI-18,NA,https://ror.org/05cqf4668,NA,NA,NA,NA
VTT Technical Research Centre of Finland Ltd,vtt,VTT Technical Research Centre of Finland,EUROPE,FIN,FI-18,NA,https://ror.org/04b181w54,NA,NA,NA,NA
Häme University of Applied Sciences,hame_uas,Häme University of Applied Sciences,EUROPE,FIN,FI-06,NA,https://ror.org/01eg9n443,NA,NA,NA,NA
Université du Littoral Côte d'Opale,ulco,Université du Littoral Côte d'Opale,EUROPE,FRA,FR-HDF,couperin/ulco,https://ror.org/02gdcg342,NA,NA,NA,NA
Université de Tours,tours_u,Université de Tours,EUROPE,FRA,FR-CVL,couperin/tours,https://ror.org/02wwzvj46,NA,NA,NA,NA
Université Savoie Mont Blanc,savoie_u,Université Savoie Mont Blanc,EUROPE,FRA,FR-ARA,couperin/savoie,https://ror.org/04gqg1a07,NA,NA,NA,NA
Paris 8 Vincennes - Saint-Denis,paris_8_u,Paris 8 Vincennes - Saint-Denis,EUROPE,FRA,FR-IDF,couperin/paris-8,https://ror.org/04wez5e68,NA,NA,NA,NA
ONERA,onera,Office National d'Etudes et de Recherches Aérospatiales (ONERA),EUROPE,FRA,FR-IDF,couperin/onera,https://ror.org/005y2ap84,NA,NA,NA,NA
Université de Nouvelle Calédonie,nouvelle_caledonie_u,Université de Nouvelle Calédonie,EUROPE,FRA,NA,couperin/nouvelle-caledonie,https://ror.org/02jrgcx64,NA,NA,NA,NA
Le Mans Université,le_mans_u,Le Mans Université,EUROPE,FRA,FR-PDL,couperin/le-mans,https://ror.org/0406t3m57,NA,NA,NA,NA
Laboratoire national d'essais (LNE),lne,Laboratoire national d'essais (LNE),EUROPE,FRA,FR-IDF,couperin/lne,https://ror.org/01ph39d13,NA,NA,NA,NA
Université de Lille,lille_u,Université de Lille,EUROPE,FRA,FR-HDF,couperin/lille,https://ror.org/02kzqn938,NA,NA,NA,NA
MHB Fontane,mhb_fontane,Medizinische Hochschule Brandenburg Theodor Fontane,EUROPE,DEU,BB,mhbfontane,https://ror.org/04839sh14,HEI,NA,https://www.mhb-fontane.de/open-access-publikationsfonds-482.html,NA
HTW Dresden,htw_dresden,Hochschule für Technik und Wirtschaft Dresden,EUROPE,DEU,SN,htwdresden,https://ror.org/05q5pk319,HEI,NA,https://www.htw-dresden.de/oa,NA
Thomas Jefferson University,jefferson_u,Thomas Jefferson University,NORTH_AMERICA,USA,US-PA,unijefferson,https://ror.org/00ysqcn41,NA,NA,https://library.jefferson.edu/pub/open_access.cfm,NA
ENS de Lyon,ens_lyon,ENS de Lyon,EUROPE,FRA,FR-ARA,couperin/ens_lyon,https://ror.org/04zmssz18,NA,NA,NA,NA
INSA Strasbourg,insa_strasbourg,Institut National des Sciences Appliquées de Strasbourg,EUROPE,FRA,FR-GES,couperin/insa-strasbourg,https://ror.org/001nta019,NA,NA,NA,NA
Université de Pau et des Pays de l'Adour,pau_u,Université de Pau et des Pays de l'Adour,EUROPE,FRA,FR-NAQ,couperin/pau,https://ror.org/01frn9647,NA,NA,NA,NA
Université de Bretagne Occidentale,bretagne_u,Université de Bretagne Occidentale,EUROPE,FRA,FR-BRE,couperin/ubo,https://ror.org/01b8h3982,NA,NA,NA,NA
Université de Versailles-Saint-Quentin-en-Yvelines,uvsq,Université de Versailles-Saint-Quentin-en-Yvelines,EUROPE,FRA,FR-IDF,couperin/uvsq,https://ror.org/03mkjjy25,NA,NA,NA,NA
Université de Bretagne-Sud,bretagne_sud_u,Université de Bretagne-Sud,EUROPE,FRA,FR-BRE,couperin/ubs,https://ror.org/04ed7fw48,NA,NA,NA,NA
Sorbonne Université,sorbonne_u,Sorbonne Université,EUROPE,FRA,FR-IDF,couperin/sorbonne-universite,https://ror.org/02en5vm52,NA,NA,NA,NA
INSA de Lyon,insa_lyon,INSA de Lyon,EUROPE,FRA,FR-ARA,couperin/insa-lyon,https://ror.org/050jn9y42,NA,NA,NA,NA
Aalto University,aalto_u,Aalto University,EUROPE,FIN,FI-18,NA,https://ror.org/020hwjq30,NA,NA,NA,NA
