*****CSV file analysis*****
CSV dialect sniffing:
--- Analysing line 766 ---
   - Created period field ('2014') by parsing value '2014-09-26' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1237.04') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1575) by 1.2732 (EUR -> USD conversion rate on 2014-09-26) [fixer.io]
--- Analysing line 767 ---
   - Drop mark found, line deleted
--- Analysing line 768 ---
   - Drop mark found, line deleted
--- Analysing line 769 ---
   - Drop mark found, line deleted
--- Analysing line 770 ---
   - Drop mark found, line deleted
--- Analysing line 771 ---
   - Drop mark found, line deleted
--- Analysing line 772 ---
   - Drop mark found, line deleted
--- Analysing line 773 ---
   - Drop mark found, line deleted
--- Analysing line 774 ---
   - Drop mark found, line deleted
--- Analysing line 775 ---
   - Drop mark found, line deleted
--- Analysing line 776 ---
   - Drop mark found, line deleted
--- Analysing line 777 ---
   - Drop mark found, line deleted
--- Analysing line 778 ---
   - Drop mark found, line deleted
--- Analysing line 779 ---
   - Drop mark found, line deleted
--- Analysing line 780 ---
   - Empty DOI, line deleted
--- Analysing line 781 ---
   - Drop mark found, line deleted
--- Analysing line 782 ---
   - Drop mark found, line deleted
--- Analysing line 783 ---
   - Drop mark found, line deleted
--- Analysing line 784 ---
   - Drop mark found, line deleted
--- Analysing line 785 ---
   - Drop mark found, line deleted
--- Analysing line 786 ---
   - Drop mark found, line deleted
--- Analysing line 787 ---
   - Drop mark found, line deleted
--- Analysing line 788 ---
   - Drop mark found, line deleted
--- Analysing line 789 ---
   - Drop mark found, line deleted
--- Analysing line 790 ---
   - Empty DOI, line deleted
--- Analysing line 791 ---
   - Drop mark found, line deleted
--- Analysing line 792 ---
   - Drop mark found, line deleted
--- Analysing line 793 ---
   - Drop mark found, line deleted
--- Analysing line 794 ---
   - Drop mark found, line deleted
--- Analysing line 795 ---
   - Drop mark found, line deleted
--- Analysing line 796 ---
   - Drop mark found, line deleted
--- Analysing line 797 ---
   - Drop mark found, line deleted
--- Analysing line 798 ---
   - Drop mark found, line deleted
--- Analysing line 799 ---
   - Drop mark found, line deleted
--- Analysing line 800 ---
   - Drop mark found, line deleted
--- Analysing line 801 ---
   - Drop mark found, line deleted
--- Analysing line 802 ---
   - Drop mark found, line deleted
--- Analysing line 803 ---
   - Drop mark found, line deleted
--- Analysing line 804 ---
   - Empty DOI, line deleted
--- Analysing line 805 ---
   - Drop mark found, line deleted
--- Analysing line 806 ---
   - Drop mark found, line deleted
--- Analysing line 807 ---
   - Drop mark found, line deleted
--- Analysing line 808 ---
   - Drop mark found, line deleted
--- Analysing line 809 ---
   - Drop mark found, line deleted
--- Analysing line 810 ---
   - Drop mark found, line deleted
--- Analysing line 811 ---
   - Drop mark found, line deleted
--- Analysing line 812 ---
   - Drop mark found, line deleted
--- Analysing line 813 ---
   - Drop mark found, line deleted
--- Analysing line 814 ---
   - Drop mark found, line deleted
--- Analysing line 815 ---
   - Empty DOI, line deleted
--- Analysing line 816 ---
   - Drop mark found, line deleted
--- Analysing line 817 ---
   - Drop mark found, line deleted
--- Analysing line 818 ---
   - Drop mark found, line deleted
--- Analysing line 819 ---
   - Drop mark found, line deleted
--- Analysing line 820 ---
   - Drop mark found, line deleted
--- Analysing line 821 ---
   - Empty DOI, line deleted
--- Analysing line 822 ---
   - Drop mark found, line deleted
--- Analysing line 823 ---
   - Drop mark found, line deleted
--- Analysing line 824 ---
   - Drop mark found, line deleted
--- Analysing line 825 ---
   - Drop mark found, line deleted
--- Analysing line 826 ---
   - Drop mark found, line deleted
--- Analysing line 827 ---
   - Drop mark found, line deleted
--- Analysing line 828 ---
   - Drop mark found, line deleted
--- Analysing line 829 ---
   - Drop mark found, line deleted
--- Analysing line 830 ---
   - Drop mark found, line deleted
--- Analysing line 831 ---
   - Drop mark found, line deleted
--- Analysing line 832 ---
   - Drop mark found, line deleted
--- Analysing line 833 ---
   - Drop mark found, line deleted
--- Analysing line 834 ---
   - Drop mark found, line deleted
--- Analysing line 835 ---
   - Drop mark found, line deleted
--- Analysing line 836 ---
   - Created period field ('2014') by parsing value '2014-10-27' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3049.17') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2400) by 0.7871 (EUR -> GBP conversion rate on 2014-10-27) [fixer.io]
--- Analysing line 837 ---
   - Drop mark found, line deleted
--- Analysing line 838 ---
   - Drop mark found, line deleted
--- Analysing line 839 ---
   - Drop mark found, line deleted
--- Analysing line 840 ---
   - Drop mark found, line deleted
--- Analysing line 841 ---
   - Drop mark found, line deleted
--- Analysing line 842 ---
   - Drop mark found, line deleted
--- Analysing line 843 ---
   - Drop mark found, line deleted
--- Analysing line 844 ---
   - Drop mark found, line deleted
--- Analysing line 845 ---
   - Created period field ('2014') by parsing value '2014-10-29' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1896.45') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1500) by 0.79095 (EUR -> GBP conversion rate on 2014-10-29) [fixer.io]
--- Analysing line 846 ---
   - Drop mark found, line deleted
--- Analysing line 847 ---
   - Empty DOI, line deleted
--- Analysing line 848 ---
   - Drop mark found, line deleted
--- Analysing line 849 ---
   - Drop mark found, line deleted
--- Analysing line 850 ---
   - Drop mark found, line deleted
--- Analysing line 851 ---
   - Drop mark found, line deleted
--- Analysing line 852 ---
   - Drop mark found, line deleted
--- Analysing line 853 ---
   - Drop mark found, line deleted
--- Analysing line 854 ---
   - Drop mark found, line deleted
--- Analysing line 855 ---
   - Drop mark found, line deleted
--- Analysing line 856 ---
   - Drop mark found, line deleted
--- Analysing line 857 ---
   - Empty DOI, line deleted
--- Analysing line 858 ---
   - Drop mark found, line deleted
--- Analysing line 859 ---
   - Drop mark found, line deleted
--- Analysing line 860 ---
   - Drop mark found, line deleted
--- Analysing line 861 ---
   - Empty DOI, line deleted
--- Analysing line 862 ---
   - Drop mark found, line deleted
--- Analysing line 863 ---
   - Drop mark found, line deleted
--- Analysing line 864 ---
   - Drop mark found, line deleted
--- Analysing line 865 ---
   - Drop mark found, line deleted
--- Analysing line 866 ---
   - Empty DOI, line deleted
--- Analysing line 867 ---
   - Drop mark found, line deleted
--- Analysing line 868 ---
   - Drop mark found, line deleted
--- Analysing line 869 ---
   - Drop mark found, line deleted
--- Analysing line 870 ---
   - Drop mark found, line deleted
--- Analysing line 871 ---
   - Empty DOI, line deleted
--- Analysing line 872 ---
   - Created period field ('2014') by parsing value '2014-11-10' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1604.69') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1260) by 0.7852 (EUR -> GBP conversion rate on 2014-11-10) [fixer.io]
--- Analysing line 873 ---
   - Created period field ('2014') by parsing value '2014-11-10' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3851.25') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3024) by 0.7852 (EUR -> GBP conversion rate on 2014-11-10) [fixer.io]
--- Analysing line 874 ---
   - Created period field ('2014') by parsing value '2014-11-10' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2533.11') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1989) by 0.7852 (EUR -> GBP conversion rate on 2014-11-10) [fixer.io]
--- Analysing line 875 ---
   - Created period field ('2014') by parsing value '2014-11-11' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1914.24') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1500) by 0.7836 (EUR -> GBP conversion rate on 2014-11-11) [fixer.io]
--- Analysing line 876 ---
   - Created period field ('2014') by parsing value '2014-11-11' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2538.28') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1989) by 0.7836 (EUR -> GBP conversion rate on 2014-11-11) [fixer.io]
--- Analysing line 877 ---
   - Created period field ('2014') by parsing value '2014-11-11' in column 'Date of APC payment'
   - Created euro field ('1971.9') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 878 ---
   - Created period field ('2014') by parsing value '2014-11-11' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('669.98') by dividing the value in 'APC paid (actual currency) including VAT if charged' (525) by 0.7836 (EUR -> GBP conversion rate on 2014-11-11) [fixer.io]
--- Analysing line 879 ---
   - Created period field ('2014') by parsing value '2014-11-11' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1914.24') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1500) by 0.7836 (EUR -> GBP conversion rate on 2014-11-11) [fixer.io]
--- Analysing line 880 ---
   - Created period field ('2014') by parsing value '2014-11-11' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1916.69') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1501.92) by 0.7836 (EUR -> GBP conversion rate on 2014-11-11) [fixer.io]
--- Analysing line 881 ---
   - Created period field ('2014') by parsing value '2014-11-11' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 882 ---
   - Created period field ('2014') by parsing value '2014-11-11' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1371.58') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1074.77) by 0.7836 (EUR -> GBP conversion rate on 2014-11-11) [fixer.io]
--- Analysing line 883 ---
   - Created period field ('2014') by parsing value '2014-11-11' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1914.24') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1500) by 0.7836 (EUR -> GBP conversion rate on 2014-11-11) [fixer.io]
--- Analysing line 884 ---
   - Created period field ('2014') by parsing value '2014-11-11' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1914.24') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1500) by 0.7836 (EUR -> GBP conversion rate on 2014-11-11) [fixer.io]
--- Analysing line 885 ---
   - Created period field ('2014') by parsing value '2014-11-12' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1632.31') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2035) by 1.2467 (EUR -> USD conversion rate on 2014-11-12) [fixer.io]
--- Analysing line 886 ---
   - Created period field ('2014') by parsing value '2014-11-12' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('336.89') by dividing the value in 'APC paid (actual currency) including VAT if charged' (420) by 1.2467 (EUR -> USD conversion rate on 2014-11-12) [fixer.io]
--- Analysing line 887 ---
   - Created period field ('2014') by parsing value '2014-11-12' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 888 ---
   - Created period field ('2014') by parsing value '2014-11-12' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2614.9') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3260) by 1.2467 (EUR -> USD conversion rate on 2014-11-12) [fixer.io]
--- Analysing line 889 ---
   - Created period field ('2014') by parsing value '2014-11-12' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1903.55') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1500) by 0.788 (EUR -> GBP conversion rate on 2014-11-12) [fixer.io]
--- Analysing line 890 ---
   - Created period field ('2014') by parsing value '2014-11-12' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1905.99') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1501.92) by 0.788 (EUR -> GBP conversion rate on 2014-11-12) [fixer.io]
--- Analysing line 891 ---
   - Empty DOI, line deleted
--- Analysing line 892 ---
   - Created period field ('2014') by parsing value '2014-11-12' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2495.22') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3000) by 1.2023 (EUR -> CHF conversion rate on 2014-11-12) [fixer.io]
--- Analysing line 893 ---
   - Created period field ('2014') by parsing value '2014-11-13' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1895.85') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1500) by 0.7912 (EUR -> GBP conversion rate on 2014-11-13) [fixer.io]
--- Analysing line 894 ---
   - Created period field ('2014') by parsing value '2014-11-16' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2503.78') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1989) by 0.7944 (EUR -> GBP conversion rate on 2014-11-16) [fixer.io]
--- Analysing line 895 ---
   - Created period field ('2014') by parsing value '2014-11-17' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3304.54') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2640) by 0.7989 (EUR -> GBP conversion rate on 2014-11-17) [fixer.io]
--- Analysing line 896 ---
   - Created period field ('2014') by parsing value '2014-11-17' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1622.23') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1296) by 0.7989 (EUR -> GBP conversion rate on 2014-11-17) [fixer.io]
--- Analysing line 897 ---
   - Created period field ('2014') by parsing value '2014-11-17' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3004.13') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2400) by 0.7989 (EUR -> GBP conversion rate on 2014-11-17) [fixer.io]
--- Analysing line 898 ---
   - Empty DOI, line deleted
--- Analysing line 899 ---
   - Created period field ('2014') by parsing value '2014-11-19' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('753.89') by dividing the value in 'APC paid (actual currency) including VAT if charged' (945) by 1.2535 (EUR -> USD conversion rate on 2014-11-19) [fixer.io]
--- Analysing line 900 ---
   - Created period field ('2014') by parsing value '2014-11-19' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2487.34') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1989) by 0.79965 (EUR -> GBP conversion rate on 2014-11-19) [fixer.io]
--- Analysing line 901 ---
   - Empty DOI, line deleted
--- Analysing line 902 ---
   - Empty DOI, line deleted
--- Analysing line 903 ---
   - Created period field ('2014') by parsing value '2014-11-19' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1878.22') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1501.92) by 0.79965 (EUR -> GBP conversion rate on 2014-11-19) [fixer.io]
--- Analysing line 904 ---
   - Created period field ('2014') by parsing value '2014-11-20' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1336.84') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1068) by 0.7989 (EUR -> GBP conversion rate on 2014-11-20) [fixer.io]
--- Analysing line 905 ---
   - Empty DOI, line deleted
--- Analysing line 906 ---
   - Created period field ('2014') by parsing value '2014-11-20' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1336.84') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1068) by 0.7989 (EUR -> GBP conversion rate on 2014-11-20) [fixer.io]
--- Analysing line 907 ---
   - Created period field ('2014') by parsing value '2014-11-20' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2816.37') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2250) by 0.7989 (EUR -> GBP conversion rate on 2014-11-20) [fixer.io]
--- Analysing line 908 ---
   - Created period field ('2014') by parsing value '2014-11-20' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2102.89') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1680) by 0.7989 (EUR -> GBP conversion rate on 2014-11-20) [fixer.io]
--- Analysing line 909 ---
   - Created period field ('2014') by parsing value '2014-11-20' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('4731.51') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3780) by 0.7989 (EUR -> GBP conversion rate on 2014-11-20) [fixer.io]
--- Analysing line 910 ---
   - Created period field ('2014') by parsing value '2014-11-21' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2173.56') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2700) by 1.2422 (EUR -> USD conversion rate on 2014-11-21) [fixer.io]
--- Analysing line 911 ---
   - Created period field ('2014') by parsing value '2014-11-21' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1706.22') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1351.5) by 0.7921 (EUR -> GBP conversion rate on 2014-11-21) [fixer.io]
--- Analysing line 912 ---
   - Created period field ('2014') by parsing value '2014-11-24' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3183.43') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2520) by 0.7916 (EUR -> GBP conversion rate on 2014-11-24) [fixer.io]
--- Analysing line 913 ---
   - Blacklisted pub type ('Book chapter'), line deleted
--- Analysing line 914 ---
   - Blacklisted pub type ('Book chapter'), line deleted
--- Analysing line 915 ---
   - Created period field ('2014') by parsing value '2014-11-24' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2512.63') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1989) by 0.7916 (EUR -> GBP conversion rate on 2014-11-24) [fixer.io]
--- Analysing line 916 ---
   - Created period field ('2014') by parsing value '2014-11-26' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('320.64') by dividing the value in 'APC paid (actual currency) including VAT if charged' (400) by 1.2475 (EUR -> USD conversion rate on 2014-11-26) [fixer.io]
--- Analysing line 917 ---
   - Created period field ('2014') by parsing value '2014-11-26' in column 'Date of APC payment'
   - Created euro field ('1756') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 918 ---
   - Empty DOI, line deleted
--- Analysing line 919 ---
   - Created period field ('2014') by parsing value '2014-11-26' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1347.08') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1620) by 1.2026 (EUR -> CHF conversion rate on 2014-11-26) [fixer.io]
--- Analysing line 920 ---
   - Empty DOI, line deleted
--- Analysing line 921 ---
   - Created period field ('2014') by parsing value '2014-11-26' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2593.19') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3235) by 1.2475 (EUR -> USD conversion rate on 2014-11-26) [fixer.io]
--- Analysing line 922 ---
   - Empty DOI, line deleted
--- Analysing line 923 ---
   - Created period field ('2014') by parsing value '2014-11-27' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1629.01') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2033) by 1.248 (EUR -> USD conversion rate on 2014-11-27) [fixer.io]
--- Analysing line 924 ---
   - Created period field ('2014') by parsing value '2014-11-27' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3757.26') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2975.75) by 0.792 (EUR -> GBP conversion rate on 2014-11-27) [fixer.io]
--- Analysing line 925 ---
   - Created period field ('2014') by parsing value '2014-11-27' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2196.97') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1740) by 0.792 (EUR -> GBP conversion rate on 2014-11-27) [fixer.io]
--- Analysing line 926 ---
   - Created period field ('2014') by parsing value '2014-11-27' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1515.15') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1200) by 0.792 (EUR -> GBP conversion rate on 2014-11-27) [fixer.io]
--- Analysing line 927 ---
   - Empty DOI, line deleted
--- Analysing line 928 ---
   - Created period field ('2014') by parsing value '2014-11-27' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1738.64') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1377) by 0.792 (EUR -> GBP conversion rate on 2014-11-27) [fixer.io]
--- Analysing line 929 ---
   - Created period field ('2014') by parsing value '2014-11-27' in column 'Date of APC payment'
   - Created euro field ('2200') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 930 ---
   - Created period field ('2014') by parsing value '2014-11-27' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2592.15') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3235) by 1.248 (EUR -> USD conversion rate on 2014-11-27) [fixer.io]
--- Analysing line 931 ---
   - Created period field ('2014') by parsing value '2014-11-27' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1348.48') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1068) by 0.792 (EUR -> GBP conversion rate on 2014-11-27) [fixer.io]
--- Analysing line 932 ---
   - Created period field ('2014') by parsing value '2014-11-28' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1888.49') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1501.92) by 0.7953 (EUR -> GBP conversion rate on 2014-11-28) [fixer.io]
--- Analysing line 933 ---
   - Created period field ('2014') by parsing value '2014-11-29' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2500.94') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1989) by 0.7953 (EUR -> GBP conversion rate on 2014-11-29) [fixer.io]
--- Analysing line 934 ---
   - Created period field ('2014') by parsing value '2014-11-30' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2162.94') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2700) by 1.2483 (EUR -> USD conversion rate on 2014-11-30) [fixer.io]
--- Analysing line 935 ---
   - Created period field ('2014') by parsing value '2014-11-30' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1297.76') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1620) by 1.2483 (EUR -> USD conversion rate on 2014-11-30) [fixer.io]
--- Analysing line 936 ---
   - Empty DOI, line deleted
--- Analysing line 937 ---
   - Created period field ('2014') by parsing value '2014-12-01' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2509.15') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1989) by 0.7927 (EUR -> GBP conversion rate on 2014-12-01) [fixer.io]
--- Analysing line 938 ---
   - Created period field ('2014') by parsing value '2014-12-01' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1892.27') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1500) by 0.7927 (EUR -> GBP conversion rate on 2014-12-01) [fixer.io]
--- Analysing line 939 ---
   - Created period field ('2014') by parsing value '2014-12-01' in column 'Date of APC payment'
   - Created euro field ('2540') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 940 ---
   - Created period field ('2014') by parsing value '2014-12-02' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3855.85') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3060) by 0.7936 (EUR -> GBP conversion rate on 2014-12-02) [fixer.io]
--- Analysing line 941 ---
   - Empty DOI, line deleted
--- Analysing line 942 ---
   - Created period field ('2014') by parsing value '2014-12-02' in column 'Date of APC payment'
   - Unable to properly calculate a converted euro value, line deleted
--- Analysing line 943 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
   - Created euro field ('3652.3') by using the value in 'APC paid (actual currency) including VAT if charged' directly since the currency is EUR
--- Analysing line 944 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3081.66') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3800) by 1.2331 (EUR -> USD conversion rate on 2014-12-03) [fixer.io]
--- Analysing line 945 ---
   - Empty DOI, line deleted
--- Analysing line 946 ---
   - Drop mark found, line deleted
--- Analysing line 947 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2432.89') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3000) by 1.2331 (EUR -> USD conversion rate on 2014-12-03) [fixer.io]
--- Analysing line 948 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2587.13') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2034) by 0.7862 (EUR -> GBP conversion rate on 2014-12-03) [fixer.io]
--- Analysing line 949 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2030.23') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1596.17) by 0.7862 (EUR -> GBP conversion rate on 2014-12-03) [fixer.io]
--- Analysing line 950 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3081.66') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3800) by 1.2331 (EUR -> USD conversion rate on 2014-12-03) [fixer.io]
--- Analysing line 951 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2595.09') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3200) by 1.2331 (EUR -> USD conversion rate on 2014-12-03) [fixer.io]
--- Analysing line 952 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1527.86') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1884) by 1.2331 (EUR -> USD conversion rate on 2014-12-03) [fixer.io]
--- Analysing line 953 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3081.66') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3800) by 1.2331 (EUR -> USD conversion rate on 2014-12-03) [fixer.io]
--- Analysing line 954 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3081.66') by dividing the value in 'APC paid (actual currency) including VAT if charged' (3800) by 1.2331 (EUR -> USD conversion rate on 2014-12-03) [fixer.io]
--- Analysing line 955 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2092.29') by dividing the value in 'APC paid (actual currency) including VAT if charged' (2580) by 1.2331 (EUR -> USD conversion rate on 2014-12-03) [fixer.io]
--- Analysing line 956 ---
   - Created period field ('2014') by parsing value '2014-12-03' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('3649.34') by dividing the value in 'APC paid (actual currency) including VAT if charged' (4500) by 1.2331 (EUR -> USD conversion rate on 2014-12-03) [fixer.io]
--- Analysing line 957 ---
   - Created period field ('2014') by parsing value '2014-12-04' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('2385.19') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1875) by 0.7861 (EUR -> GBP conversion rate on 2014-12-04) [fixer.io]
--- Analysing line 958 ---
   - Created period field ('2014') by parsing value '2014-12-04' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1648.65') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1296) by 0.7861 (EUR -> GBP conversion rate on 2014-12-04) [fixer.io]
--- Analysing line 959 ---
   - Created period field ('2014') by parsing value '2014-12-04' in column 'Date of APC payment'
     [fixer.io: Cached value used]
   - Created euro field ('1431.12') by dividing the value in 'APC paid (actual currency) including VAT if charged' (1125) by 0.7861 (EUR -> GBP conversion rate on 2014-12-04) [fixer.io]
--- Analysing line 960 ---
