"doi","Institution","Period","EURO","Publisher","Journal","issn.1","issn.2","pmid","pmcid"
10.1186/1471-2407-9-447,"MPG",2009,"1105.92","Springer Science + Business Media","BMC Cancer","1471-2407","NA",20017917,"PMC2804712"
10.1186/1471-244X-10-91,"MPG",2010,"1267.2","Springer Science + Business Media","BMC Psychiatry","1471-244X","NA","NA","NA"
10.1186/1471-244X-13-218,"MPG",2013,"1396.22","Springer Science + Business Media","BMC Psychiatry","1471-244X","NA","NA","NA"
10.1186/1471-244X-9-17,"MPG",2008,"1128.96","Springer Science + Business Media","BMC Psychiatry","1471-244X","NA","NA","NA"
10.1186/1472-6750-12-79,"MPG",2012,"1400.83","Springer Science + Business Media","BMC Biotechnology","1472-6750","NA",23110398,"PMC3505166"
10.1186/1472-6750-13-12,"MPG",2012,"1442.3","Springer Science + Business Media","BMC Biotechnology","1472-6750","NA",23410102,"PMC3598636"
10.1186/1472-6785-10-11,"MPG",2009,"1078.27","Springer Science + Business Media","BMC Ecol","1472-6785","NA",20429891,"PMC2873927"
10.1186/1472-6785-10-13,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Ecol","1472-6785","NA",20500884,"PMC2896926"
10.1186/1472-6785-10-23,"MPG",2010,"1225.73","Springer Science + Business Media","BMC Ecol","1472-6785","NA",21092302,"PMC3002888"
10.1186/1472-6785-11-3,"MPG",2010,"1193.47","Springer Science + Business Media","BMC Ecol","1472-6785","NA",21269465,"PMC3038888"
10.1186/1472-6785-8-10,"MPG",2008,"1238.69","Springer Science + Business Media","BMC Ecol","1472-6785","NA",18479523,"PMC2396600"
10.1186/1472-6785-9-15,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Ecology","1472-6785","NA",19454026,"PMC2693124"
10.1186/1472-6807-11-33,"MPG",2011,"1216.51","Springer Science + Business Media","BMC Structural Biology","1472-6807","NA",21849072,"PMC3175449"
10.1186/1472-6807-12-12,"MPG",2012,"1336.32","Springer Science + Business Media","BMC Structural Biology","1472-6807","NA",22657106,"PMC3472329"
10.1186/1472-6807-8-53,"MPG",2008,"1101.31","Springer Science + Business Media","BMC Structural Biology","1472-6807","NA",19063740,"PMC2642821"
10.1186/1472-6807-9-68,"MPG",2009,"1009.15","Springer Science + Business Media","BMC Structural Biology","1472-6807","NA",19857261,"PMC2777906"
10.1186/1472-6947-11-30,"MPG",2010,"1211.9","Springer Science + Business Media","BMC Med Inform Decis Mak","1472-6947","NA",21569501,"PMC3112379"
10.1186/1475-2859-11-97,"MPG",2012,"1184.26","Springer Science + Business Media","Microb Cell Fact","1475-2859","NA",22830363,"PMC3416730"
10.1186/1476-4598-10-109,"MPG",2011,"1276.42","Springer Science + Business Media","Molecular Cancer","1476-4598","NA",21899742,"PMC3179451"
10.1186/1476-4598-10-54,"MPG",2011,"1294.85","Springer Science + Business Media","Molecular Cancer","1476-4598","NA",21575214,"PMC3123651"
10.1186/1476-4598-8-22,"MPG",2008,"1009.15","Springer Science + Business Media","Molecular Cancer","1476-4598","NA",19317916,"PMC2667483"
10.1186/1476-4598-9-18,"MPG",2009,"1147.39","Springer Science + Business Media","Molecular Cancer","1476-4598","NA",20105281,"PMC2835655"
10.1186/1476-4598-9-60,"MPG",2009,"1110.53","Springer Science + Business Media","Molecular Cancer","1476-4598","NA",20236507,"PMC2848193"
10.1186/1477-5956-10-28,"MPG",2012,"1188.86","Springer Science + Business Media","Proteome Sci","1477-5956","NA",22540284,"PMC3374290"
10.1186/1477-5956-11-40,"MPG",2013,"1207.3","Springer Science + Business Media","Proteome Sci","1477-5956","NA",23981693,"PMC3766105"
10.1186/1477-5956-6-22,"MPG",2008,"1042.85","Springer Science + Business Media","Proteome Sci","1477-5956","NA",18694502,"PMC2527298"
10.1186/1477-5956-6-33,"MPG",2008,"1009.15","Springer Science + Business Media","Proteome Sci","1477-5956","NA",19068105,"PMC2614417"
10.1186/1477-5956-8-33,"MPG",2010,"1046.02","Springer Science + Business Media","Proteome Sci","1477-5956","NA",20565753,"PMC2909932"
10.1186/1477-5956-8-6,"MPG",2009,"953.86","Springer Science + Business Media","Proteome Sci","1477-5956","NA",20181113,"PMC2830187"
10.1186/1477-5956-9-7,"MPG",2010,"1087.49","Springer Science + Business Media","Proteome Sci","1477-5956","NA",21299891,"PMC3041730"
10.1186/1477-7525-11-68,"MPG",2013,"1492.99","Springer Science + Business Media","Health and Quality of Life Outcomes","1477-7525","NA",23618009,"PMC3735043"
10.1186/1478-7954-10-3,"MPG",2011,"1087.49","Springer Science + Business Media","Population Health Metrics","1478-7954","NA",22340018,"PMC3299617"
10.1186/1478-811X-10-11,"MPG",2012,"1248.77","Springer Science + Business Media","Cell Commun Signal","1478-811X","NA","NA","NA"
10.1186/1478-811X-11-43,"MPG",2013,"1506.82","Springer Science + Business Media","Cell Commun Signal","1478-811X","NA","NA","NA"
10.1186/1478-811X-8-5,"MPG",2009,"1022.98","Springer Science + Business Media","Cell Commun Signal","1478-811X","NA","NA","NA"
10.1186/1478-811X-8-6,"MPG",2010,"1124.35","Springer Science + Business Media","Cell Commun Signal","1478-811X","NA","NA","NA"
10.1186/1532-429X-15-79,"MPG",2013,"1073.66","Springer Science + Business Media","J Cardiovasc Magn Reson","1532-429X","NA","NA","NA"
10.1186/1556-276X-6-214,"MPG",2010,"737.28","Springer Science + Business Media","Nanoscale Res Lett","1556-276X","NA","NA","NA"
10.1186/1556-276X-7-255,"MPG",2012,"737.28","Springer Science + Business Media","Nanoscale Res Lett","1556-276X","NA","NA","NA"
10.1186/1559-4106-8-28,"MPG",2013,"737.28","Springer Science + Business Media","Biointerphases","1559-4106","NA",24706147,"NA"
10.1186/1559-4106-8-32,"MPG",2013,"737.28","Springer Science + Business Media","Biointerphases","1559-4106","NA",24706149,"NA"
10.1186/1559-4106-8-36,"MPG",2013,"737.28","American Vacuum Society","Biointerphases","1559-4106","NA",24706145,"NA"
10.1186/1687-6180-2013-55,"MPG",2013,"967.68","Springer Science + Business Media","EURASIP Journal on Advances in Signal Processing","1687-6180","NA","NA","NA"
10.1186/1741-7007-6-37,"MPG",2008,"1419.84","Springer Science + Business Media","BMC Biol","1741-7007","NA",18782446,"PMC2562991"
10.1186/1741-7007-7-37,"MPG",2009,"1253.38","Springer Science + Business Media","BMC Biol","1741-7007","NA",19586522,"PMC2715378"
10.1186/1741-7007-8-154,"MPG",2010,"1474.56","Springer Science + Business Media","BMC Biol","1741-7007","NA",21190565,"PMC3022777"
10.1186/1741-7007-8-24,"MPG",2009,"1262.59","Springer Science + Business Media","BMC Biol","1741-7007","NA",20307293,"PMC2859859"
10.1186/1741-7007-8-66,"MPG",2009,"1262.59","Springer Science + Business Media","BMC Biol","1741-7007","NA",20492640,"PMC2880965"
10.1186/1741-7007-9-27,"MPG",2010,"1456.13","Springer Science + Business Media","BMC Biol","1741-7007","NA",21527022,"PMC3120735"
10.1186/1741-7015-6-21,"MPG",2008,"1473.7","Springer Science + Business Media","BMC Medicine","1741-7015","NA",18671844,"PMC2516519"
10.1186/1741-7015-9-82,"MPG",2011,"1492.99","Springer Science + Business Media","BMC Medicine","1741-7015","NA",21726432,"PMC3224593"
10.1186/1742-4682-10-44,"MPG",2013,"1281.02","Springer Science + Business Media","Theor Biol Med Model","1742-4682","NA",23844869,"PMC3718686"
10.1186/1742-4682-9-22,"MPG",2012,"1234.94","Springer Science + Business Media","Theor Biol Med Model","1742-4682","NA",22703558,"PMC3536704"
10.1186/1742-4690-10-130,"MPG",2013,"1230.34","Springer Science + Business Media","Retrovirology","1742-4690","NA",24215935,"PMC3833284"
10.1186/1742-4690-9-60,"MPG",2012,"1207.3","Springer Science + Business Media","Retrovirology","1742-4690","NA",22830600,"PMC3464718"
10.1186/1742-6405-8-26,"MPG",2011,"1087.49","Springer Science + Business Media","AIDS Research and Therapy","1742-6405","NA",21794106,"PMC3162516"
10.1186/1742-9994-10-3,"MPG",2012,"1557.5","Springer Science + Business Media","Front Zool","1742-9994","NA",23369509,"PMC3599432"
10.1186/1742-9994-10-42,"MPG",2013,"1506.82","Springer Science + Business Media","Front Zool","1742-9994","NA",23886007,"PMC3734112"
10.1186/1742-9994-10-60,"MPG",2013,"1516.03","Springer Science + Business Media","Front Zool","1742-9994","NA",24090446,"PMC3850952"
10.1186/1742-9994-10-79,"MPG",2013,"1506.82","Springer Science + Business Media","Front Zool","1742-9994","NA",24369961,"PMC3879198"
10.1186/1742-9994-10-8,"MPG",2012,"1562.11","Springer Science + Business Media","Front Zool","1742-9994","NA",23433033,"PMC3636094"
10.1186/1742-9994-6-5,"MPG",2008,"1078.27","Springer Science + Business Media","Front Zool","1742-9994","NA",19250516,"PMC2651142"
10.1186/1742-9994-6-7,"MPG",2008,"1013.76","Springer Science + Business Media","Front Zool","1742-9994","NA",19422678,"PMC2685797"
10.1186/1742-9994-7-15,"MPG",2010,1152,"Springer Science + Business Media","Front Zool","1742-9994","NA",20482826,"PMC2885383"
10.1186/1742-9994-7-25,"MPG",2010,1152,"Springer Science + Business Media","Front Zool","1742-9994","NA",20831795,"PMC2945339"
10.1186/1742-9994-8-16,"MPG",2011,"1216.51","Springer Science + Business Media","Front Zool","1742-9994","NA",21672266,"PMC3142489"
10.1186/1742-9994-8-26,"MPG",2011,"1234.94","Springer Science + Business Media","Front Zool","1742-9994","NA",22035144,"PMC3223496"
10.1186/1742-9994-9-6,"MPG",2011,"1225.73","Springer Science + Business Media","Front Zool","1742-9994","NA",22480150,"PMC3353871"
10.1186/1743-0003-7-34,"MPG",2009,"953.86","Springer Science + Business Media","Journal of NeuroEngineering and Rehabilitation","1743-0003","NA",20659350,"PMC2927905"
10.1186/1744-8069-6-98,"MPG",2010,"1405.44","Springer Science + Business Media","Molecular Pain","1744-8069","NA",21187008,"PMC3023724"
10.1186/1745-6150-3-31,"MPG",2008,"1047.74","Springer Science + Business Media","Biol Direct","1745-6150","NA",18652645,"PMC2503971"
10.1186/1745-6150-8-2,"MPG",2012,"1446.91","Springer Science + Business Media","Biol Direct","1745-6150","NA",23324115,"PMC3564776"
10.1186/1746-4811-4-12,"MPG",2008,"1047.74","Springer Science + Business Media","Plant Methods","1746-4811","NA",18505561,"PMC2430023"
10.1186/1746-4811-4-18,"MPG",2008,"979.2","Springer Science + Business Media","Plant Methods","1746-4811","NA",18611268,"PMC2490690"
10.1186/1746-4811-5-17,"MPG",2009,"861.7","Springer Science + Business Media","Plant Methods","1746-4811","NA",19939243,"PMC2787500"
10.1186/1746-4811-5-3,"MPG",2008,"857.09","Springer Science + Business Media","Plant Methods","1746-4811","NA",19250520,"PMC2660325"
10.1186/1746-4811-5-4,"MPG",2008,"857.09","Springer Science + Business Media","Plant Methods","1746-4811","NA",19393072,"PMC2680844"
10.1186/1746-4811-6-4,"MPG",2009,"824.83","Springer Science + Business Media","Plant Methods","1746-4811","NA",20181025,"PMC2835674"
10.1186/1746-4811-7-34,"MPG",2011,"1101.31","Springer Science + Business Media","Plant Methods","1746-4811","NA",22014154,"PMC3207920"
10.1186/1746-4811-7-35,"MPG",2011,"1055.23","Springer Science + Business Media","Plant Methods","1746-4811","NA",22050920,"PMC3225300"
10.1186/1748-7188-3-11,"MPG",2008,"1047.74","Springer Science + Business Media","Algorithms Mol Biol","1748-7188","NA",18759984,"PMC2543012"
10.1186/1748-7188-3-12,"MPG",2008,"1047.74","Springer Science + Business Media","Algorithms Mol Biol","1748-7188","NA",18759985,"PMC2546411"
10.1186/1748-7188-3-14,"MPG",2008,"1057.54","Springer Science + Business Media","Algorithms Mol Biol","1748-7188","NA",18990215,"PMC2590594"
10.1186/1748-7188-4-10,"MPG",2008,"949.25","Springer Science + Business Media","Algorithms Mol Biol","1748-7188","NA",19607690,"PMC2722650"
10.1186/1748-7188-5-20,"MPG",2010,"1046.02","Springer Science + Business Media","Algorithms Mol Biol","1748-7188","NA",20412574,"PMC2865480"
10.1186/1748-7188-5-25,"MPG",2010,"1036.8","Springer Science + Business Media","Algorithms Mol Biol","1748-7188","NA",20525185,"PMC2902485"
10.1186/1748-7188-6-4,"MPG",2010,"1027.58","Springer Science + Business Media","Algorithms Mol Biol","1748-7188","NA",21418573,"PMC3072320"
10.1186/1748-7188-7-17,"MPG",2011,"1073.66","Springer Science + Business Media","Algorithms Mol Biol","1748-7188","NA",22642830,"PMC3408373"
10.1186/1748-7188-8-14,"MPG",2013,"1188.86","Springer Science + Business Media","Algorithms Mol Biol","1748-7188","NA",23601347,"PMC3716875"
10.1186/1749-8104-7-1,"MPG",2011,"1327.1","Springer Science + Business Media","Neural Dev","1749-8104","NA",22225949,"PMC3266201"
10.1186/1749-8104-7-39,"MPG",2012,"1474.56","Springer Science + Business Media","Neural Dev","1749-8104","NA",23217170,"PMC3558320"
10.1186/1749-8104-8-16,"MPG",2013,"1598.98","Springer Science + Business Media","Neural Dev","1749-8104","NA",23961995,"PMC3766641"
10.1186/1750-0680-4-4,"MPG",2009,"944.64","Springer Science + Business Media","Carbon Balance and Management","1750-0680","NA",19594899,"PMC2717061"
10.1186/1750-0680-5-2,"MPG",2010,"1046.02","Springer Science + Business Media","Carbon Balance and Management","1750-0680","NA",20525341,"PMC2894817"
10.1186/1750-0680-7-12,"MPG",2012,"1262.59","Springer Science + Business Media","Carbon Balance and Management","1750-0680","NA",23249727,"PMC3732086"
10.1186/1750-0680-8-3,"MPG",2012,"1234.94","Springer Science + Business Media","Carbon Balance and Management","1750-0680","NA",23369380,"PMC3626884"
10.1186/1752-0509-2-100,"MPG",2008,"1170.14","Springer Science + Business Media","BMC Syst Biol","1752-0509","NA",19032748,"PMC2607255"
10.1186/1752-0509-2-78,"MPG",2008,"1219.1","Springer Science + Business Media","BMC Systems Biology","1752-0509","NA",18755034,"PMC2570670"
10.1186/1752-0509-2-91,"MPG",2008,"1179.94","Springer Science + Business Media","BMC Systems Biology","1752-0509","NA",18973705,"PMC2636783"
10.1186/1752-0509-3-83,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Syst Biol","1752-0509","NA",19698179,"PMC2739852"
10.1186/1752-0509-4-159,"MPG",2010,"1225.73","Springer Science + Business Media","BMC Syst Biol","1752-0509","NA",21092110,"PMC3002901"
10.1186/1752-0509-4-164,"MPG",2010,"1253.38","Springer Science + Business Media","BMC Syst Biol","1752-0509","NA",21118483,"PMC3012047"
10.1186/1752-0509-4-165,"MPG",2010,"1244.16","Springer Science + Business Media","BMC Syst Biol","1752-0509","NA",21118520,"PMC3014969"
10.1186/1752-0509-4-27,"MPG",2009,"1096.7","Springer Science + Business Media","BMC Systems Biology","1752-0509","NA",20298562,"PMC2857822"
10.1186/1752-0509-4-30,"MPG",2009,"1059.84","Springer Science + Business Media","BMC Syst Biol","1752-0509","NA",20302636,"PMC2858107"
10.1186/1752-0509-5-135,"MPG",2011,"1234.94","Springer Science + Business Media","BMC Syst Biol","1752-0509","NA",21864340,"PMC3184077"
10.1186/1752-0509-5-150,"MPG",2011,"1225.73","Springer Science + Business Media","BMC Syst Biol","1752-0509","NA",21943387,"PMC3203349"
10.1186/1752-0509-6-148,"MPG",2012,"1391.62","Springer Science + Business Media","BMC Syst Biol","1752-0509","NA",23194026,"PMC3576321"
10.1186/1752-0509-6-16,"MPG",2011,"1198.08","Springer Science + Business Media","BMC Syst Biol","1752-0509","NA",22409942,"PMC3361480"
10.1186/1752-0509-7-73,"MPG",2013,"1492.99","Springer Science + Business Media","BMC Syst Biol","1752-0509","NA",23924435,"NA"
10.1186/1752-153X-2-16,"MPG",2008,"993.89","Springer Science + Business Media","Chemistry Central Journal","1752-153X","NA","NA","NA"
10.1186/1752-153X-3-11,"MPG",2009,"916.99","Springer Science + Business Media","Chemistry Central Journal","1752-153X","NA","NA","NA"
10.1186/1752-153X-4-11,"MPG",2010,"497.66","Springer Science + Business Media","Chemistry Central Journal","1752-153X","NA","NA","NA"
10.1186/1752-153X-4-3,"MPG",2009,"428.54","Springer Science + Business Media","Chemistry Central Journal","1752-153X","NA","NA","NA"
10.1186/1752-153X-6-144,"MPG",2012,"930.82","Springer Science + Business Media","Chemistry Central Journal","1752-153X","NA","NA","NA"
10.1186/1754-1611-7-22,"MPG",2013,"1262.59","Springer Science + Business Media","Journal of Biological Engineering","1754-1611","NA",24041253,"PMC3847955"
10.1186/1755-7682-4-26,"MPG",2011,"1082.88","Springer Science + Business Media","International Archives of Medicine","1755-7682","NA",21812982,"PMC3176477"
10.1186/1755-8417-3-2,"MPG",2009,"1294.85","Springer Science + Business Media","Pathogenetics","1755-8417","NA",20181063,"PMC2830949"
10.1186/1755-8794-1-22,"MPG",2008,"1238.69","Springer Science + Business Media","BMC Medical Genomics","1755-8794","NA",18533027,"PMC2440747"
10.1186/1755-8794-1-49,"MPG",2008,"1165.25","Springer Science + Business Media","BMC Medical Genomics","1755-8794","NA",18847459,"PMC2577110"
10.1186/1755-8794-4-68,"MPG",2011,"1257.98","Springer Science + Business Media","BMC Medical Genomics","1755-8794","NA",21958464,"PMC3192667"
10.1186/1756-0381-2-4,"MPG",2008,"912.38","Springer Science + Business Media","BioData Mining","1756-0381","NA",19351414,"PMC2678124"
10.1186/1756-0381-4-9,"MPG",2010,"1036.8","Springer Science + Business Media","BioData Mining","1756-0381","NA",21501515,"PMC3096586"
10.1186/1756-0500-1-109,"MPG",2008,"616.9","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",18959800,"PMC2585575"
10.1186/1756-0500-1-19,"MPG",2008,"641.38","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",18710529,"PMC2518267"
10.1186/1756-0500-2-35,"MPG",2008,"493.06","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",19284532,"PMC2660351"
10.1186/1756-0500-3-337,"MPG",2010,"658.94","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",21159174,"PMC3012040"
10.1186/1756-0500-4-265,"MPG",2011,"626.69","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",21798037,"PMC3162530"
10.1186/1756-0500-4-314,"MPG",2011,"626.69","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",21878091,"PMC3224583"
10.1186/1756-0500-4-338,"MPG",2011,"626.69","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",21906294,"PMC3180467"
10.1186/1756-0500-4-470,"MPG",2011,"626.69","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",22040907,"PMC3220655"
10.1186/1756-0500-4-483,"MPG",2011,"603.65","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",22067256,"PMC3225354"
10.1186/1756-0500-5-1,"MPG",2011,"626.69","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",22214347,"PMC3280191"
10.1186/1756-0500-5-358,"MPG",2012,"746.5","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",22805280,"PMC3541979"
10.1186/1756-0500-5-88,"MPG",2011,"622.08","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",22316129,"PMC3298513"
10.1186/1756-0500-6-144,"MPG",2012,"778.75","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",23578100,"PMC3637110"
10.1186/1756-0500-6-483,"MPG",2013,"774.14","Springer Science + Business Media","BMC Research Notes","1756-0500","NA",24267035,"PMC3879085"
10.1186/1756-3305-5-90,"MPG",2012,"1216.51","Springer Science + Business Media","Parasites & Vectors","1756-3305","NA",22564512,"PMC3403952"
10.1186/1756-3305-6-33,"MPG",2012,"1271.81","Springer Science + Business Media","Parasites & Vectors","1756-3305","NA",23390985,"PMC3584927"
10.1186/1756-6606-3-2,"MPG",2009,"990.72","Springer Science + Business Media","Mol Brain","1756-6606","NA",20180948,"PMC2841592"
10.1186/1756-6606-5-29,"MPG",2012,"1262.59","Springer Science + Business Media","Mol Brain","1756-6606","NA",22967845,"PMC3523048"
10.1186/1756-8935-3-7,"MPG",2010,"1423.87","Springer Science + Business Media","Epigenetics & Chromatin","1756-8935","NA",20334638,"PMC2860349"
10.1186/1756-8935-4-11,"MPG",2011,"1456.13","Springer Science + Business Media","Epigenetics & Chromatin","1756-8935","NA",21774791,"PMC3164600"
10.1186/1757-5036-3-12,"MPG",2009,"852.48","Springer Science + Business Media","PMC Biophys","1757-5036","NA",20576094,"PMC2907310"
10.1186/1757-5036-3-4,"MPG",2009,"852.48","Springer Science + Business Media","PMC Biophys","1757-5036","NA",20205711,"PMC2838807"
10.1186/1757-5036-3-7,"MPG",2009,"852.48","Springer Science + Business Media","PMC Biophys","1757-5036","NA",20298542,"PMC2851664"
10.1186/1757-5036-3-9,"MPG",2009,"852.48","Springer Science + Business Media","PMC Biophysics","1757-5036","NA",20403171,"PMC2873278"
10.1186/2041-1480-1-4,"MPG",2009,"953.86","Springer Science + Business Media","J Biomed Sem","2041-1480","NA",20618982,"PMC2895731"
10.1186/2041-9139-3-23,"MPG",2012,"1571.33","Springer Science + Business Media","EvoDevo","2041-9139","NA",23020891,"PMC3503879"
10.1186/2041-9139-3-27,"MPG",2012,"1640.45","Springer Science + Business Media","EvoDevo","2041-9139","NA",23199348,"PMC3586958"
10.1186/2042-1001-1-17,"MPG",2011,"1354.75","Springer Science + Business Media","Neural Systems & Circuits","2042-1001","NA",22329968,"PMC3283456"
10.1186/2042-5783-1-9,"MPG",2011,"1046.02","Springer Science + Business Media","Microbial Informatics and Experimentation","2042-5783","NA",22587903,"PMC3372289"
10.1186/2046-1682-4-11,"MPG",2011,"1271.81","Springer Science + Business Media","BMC Biophysics","2046-1682","NA",21595868,"PMC3116483"
10.1186/2046-1682-6-9,"MPG",2013,"1492.99","Springer Science + Business Media","BMC Biophysics","2046-1682","NA",23879885,"PMC3726346"
10.1186/2051-3933-1-4,"MPG",2013,"1492.99","Springer Science + Business Media","Movement Ecology","2051-3933","NA","NA","NA"
10.1186/2192-2853-1-7,"MPG",2012,"737.28","Springer Science + Business Media","Opt Nanoscopy","2192-2853","NA","NA","NA"
10.1186/2193-1801-1-6,"MPG",2012,"783.36","Springer Science + Business Media","SpringerPlus","2193-1801","NA",23984224,"PMC3581112"
10.1186/2193-1801-1-9,"MPG",2012,"783.36","Springer Science + Business Media","SpringerPlus","2193-1801","NA",23961340,"PMC3725850"
10.1186/2193-9616-1-13,"MPG",2013,"921.6","Springer Science + Business Media","In Silico Pharmacology","2193-9616","NA","NA","NA"


