"old_value","target_value"
"University of Western Ontario Schulich School of Medicine & Dentistry","Western University"
"University of Western Ontario Schulich School of Medicine and Dentistry","Western University"
"University of Western Ontario Schulich School of Medicine and Dentistry: Western University Schulich School of Medicine & Dentistry","Western University"
"University of Windsor","University of Windsor"
"University of Windsor Faculty of Arts Humanities and Social Sciences","University of Windsor"
"University of Windsor Faculty of Arts and Science","University of Windsor"
"University of Windsor Faculty of Arts and Social Sciences","University of Windsor"
"University of Windsor Faculty of Engineering","University of Windsor"
"University of Windsor Faculty of Human Kinetics","University of Windsor"
"University of Windsor Faculty of Law","University of Windsor"
"University of Winnipeg","University of Winnipeg"
"University of the Fraser Valley","University of the Fraser Valley"
"UniversityHealthNetwork","University Health Network"
"UniversityofAlberta","University of Alberta"
"UniversityofCalgary","University of Calgary"
"UniversityofLethbridge","University of Lethbridge"
"UniversityofNewBrunswickSaintJohn","University of New Brunswick"
"UniversityofOttawa","University of Ottawa"
"UniversityofOttawaFacultyofMedicine","University of Ottawa"
"UniversityofToronto","University of Toronto"
"UniversityofToronto-StGeorgeCampus","University of Toronto"
"UniversityofTorontoFacultyofMedicine","University of Toronto"
"UniversityofTorontoOntarioInstituteforStudiesinEducation","University of Toronto"
"UniversityofTorontoRotmanSchoolofManagement","University of Toronto"
"UniversityofWaterlooFacultyofEnvironment","University of Waterloo"
"UniversityofWindsor","University of Windsor"
"Université Laval","Université Laval"
"Université Laval Faculté des Sciences Infirmières","Université Laval"
"Université Laval Faculté des Sciences Sociales","Université Laval"
"Université Laval Faculté des Sciences et de Génie","Université Laval"
"Université Laval Faculté des sciences sociales","Université Laval"
"Université de Moncton","Université de Moncton"
"Université de Montréal","Université de Montréal"
"Université de Montréal Faculté de Médecine","Université de Montréal"
"Université de Montréal Faculté des Arts et des Sciences","Université de Montréal"
"Université de Montréal Faculté des Sciences Infirmières","Université de Montréal"
"Université de Montréal École de Santé Publique","Université de Montréal"
"Université de Sherbrooke","Université de Sherbrooke"
"Université de Sherbrooke - Campus de Longueuil","Université de Sherbrooke"
"Université du Québec","Université du Québec"
"Université du Québec en Abitibi-Témiscamingue","Université du Québec en Abitibi-Témiscamingue"
"Université du Québec en Outaouais","Université du Québec en Outaouais"
"Université du Québec à Chicoutimi","Université du Québec à Chicoutimi"
"Université du Québec à Chicoutimi Sciences de la Santé: Universite du Quebec a Chicoutimi departement des science de la sante","Université du Québec à Chicoutimi"
"Université du Québec à Montréal","Université du Québec à Montréal"
"Université du Québec à Montréal École des Sciences de la Gestion","Université du Québec à Montréal"
"Université du Québec à Rimouski","Université du Québec à Rimouski"
"Université du Québec à Trois-Rivières","Université du Québec à Trois-Rivières"
"Vancouver Island University","Vancouver Island University"
"Western University","Western University"
"Western University Department of Epidemiology and Biostatistics","Western University"
"Western University Department of Sociology","Western University"
"Western University FHS","Western University"
"Western University Faculty of Education","Western University"
"Western University Faculty of Engineering","Western University"
"Western University Faculty of Health Sciences","Western University"
"Western University Faculty of Social Science","Western University"
"Western University Ivey Business School","Western University"
"Western University School of Communication Sciences and Disorders","Western University"
"Western University Schulich School of Medicine & Dentistry","Western University"
"Western University Schulich School of Medicine and Dentistry","Western University"
"WesternUniversity","Western University"
"Wilfrid Laurier Faculty of Social Work","Wilfrid Laurier University"
"Wilfrid Laurier University","Wilfrid Laurier University"
"Wilfrid Laurier University - Brantford Campus","Wilfrid Laurier University"
"Wilfrid Laurier University Faculty of Education","Wilfrid Laurier University"
"Wilfrid Laurier University Faculty of Graduate and Postdoctoral Studies","Wilfrid Laurier University"
"Wilfrid Laurier University Faculty of Science","Wilfrid Laurier University"
"Wilfrid Laurier University Lazaridis School of Business and Economics","Wilfrid Laurier University"
"Women's College Hospital","Women's College Hospital"
"York University","York University"
"York University - Glendon Campus","York University"
"York University - Keele Campus","York University"
"York University - Keele Campus: York University","York University"
"York University Department of Philosophy","York University"
"York University Faculty of Education","York University"
"York University Faculty of Graduate Studies","York University"
"York University Faculty of Health","York University"
"York University Faculty of Liberal Arts and Professional Studies","York University"
"York University Lassonde School of Engineering","York University"
"York University Osgoode Hall Law School","York University"
"York University Schulich School of Business","York University"
"YorkUniversityFacultyofLiberalArtsandProfessionalStudies","York University"
"École de technologie supérieure","École de technologie supérieure"
