"Publisher","Publisher_OAPC","Country","Country_OAPC","Organization","Annual publications","Start date","End date","ID","URL"
"Sage","SAGE Publications","Lithuania","NA","Lithuanian Research Library Consortium","35","01/01/2024","31/12/2026","sage2024lmba","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2024lmba/"
"AIP Publishing","AIP Publishing","Netherlands","NLD","Universiteit Leiden","15","01/01/2024","31/12/2026","aip2024leiden","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2024leiden/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Netherlands","NLD","Radboud University","17","01/01/2024","31/12/2026","acm2024ru","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2024ru/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Netherlands","NLD","Universiteit Leiden","15","01/01/2024","31/12/2026","acm2024leiden","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2024leiden/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Netherlands","NLD","University of Groningen","14","01/01/2024","31/12/2026","acm2024rug","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2024rug/"
"Cambridge University Press","Cambridge University Press (CUP)","Netherlands","NLD","UNL/UKB/SURF","475","01/01/2024","31/12/2026","cam2024ukb","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2024ukb/"
"Company of Biologists","The Company of Biologists","Netherlands","NLD","Radboud University","2","01/01/2024","31/12/2026","compbio2024ru","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024ru/"
"Company of Biologists","The Company of Biologists","Netherlands","NLD","Universiteit Leiden","1","01/01/2024","31/12/2026","compbio2024leiden","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024leiden/"
"Company of Biologists","The Company of Biologists","Netherlands","NLD","University of Amsterdam","2","01/01/2024","31/12/2025","compbio2024uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024uva/"
"Company of Biologists","The Company of Biologists","Netherlands","NLD","University of Groningen","5","01/01/2024","31/12/2026","compbio2024rug","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024rug/"
"Company of Biologists","The Company of Biologists","Netherlands","NLD","Utrecht University","3","01/01/2024","31/12/2026","compbio2024uu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024uu/"
"Emerald","Emerald","Netherlands","NLD","UKB/SURF","101","01/01/2024","31/12/2024","eme2024ukb","https://esac-initiative.org/about/transformative-agreements/agreement-registry/eme2024ukb/"
"European Respiratory Society","NA","Netherlands","NLD","University of Groningen","14","01/01/2024","31/12/2024","ers2024rug","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ers2024rug/"
"Future Science Group","NA","Netherlands","NLD","University of Groningen","2","01/01/2024","31/12/2025","fsg2024rug","https://esac-initiative.org/about/transformative-agreements/agreement-registry/fsg2024rug/"
"Future Science Group","NA","Netherlands","NLD","Utrecht University","2","01/01/2024","31/12/2025","fsg2024uu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/fsg2024uu/"
"IOP Publishing","IOP Publishing","Netherlands","NLD","Eindhoven University of Technology","24","01/01/2024","31/12/2024","iop2024tue","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2024tue/"
"IOP Publishing","IOP Publishing","Netherlands","NLD","Radboud University","10","01/01/2024","31/12/2026","iop2024ru","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2024ru/"
"John Benjamins Publishing","NA","Netherlands","NLD","University of Amsterdam","10","01/01/2024","31/12/2024","jbp2024uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2024uva/"
"John Benjamins Publishing","NA","Netherlands","NLD","Utrecht University","7","01/01/2024","31/12/2025","jbp2024uu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2024uu/"
"Microbiology Society","Microbiology Society","Netherlands","NLD","University of Amsterdam","2","01/01/2024","31/12/2025","microbio2024uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2024uva/"
"Oxford University Press","Oxford University Press (OUP)","Netherlands","NLD","SURF/UKB","707","01/01/2024","31/12/2026","oxf2024ukb","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2024ukb/"
"Rockefeller University Press","Rockefeller University Press","Netherlands","NLD","University of Amsterdam","1","01/01/2024","31/12/2024","rup2024uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2024uva/"
"Rockefeller University Press","Rockefeller University Press","Netherlands","NLD","University of Groningen","1","01/01/2024","31/12/2024","rup2024rug","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2024rug/"
"SPIE","NA","Netherlands","NLD","TU Delft","8","01/01/2024","31/12/2026","spie2024delft","https://esac-initiative.org/about/transformative-agreements/agreement-registry/spie2024delft/"
"SPIE","NA","Netherlands","NLD","University of Amsterdam","2","01/01/2024","31/12/2024","spie2024uva","https://esac-initiative.org/about/transformative-agreements/agreement-registry/spie2024uva/"
"Springer Nature","Springer Nature","Netherlands","NLD","UNL/UKB","2067","01/01/2024","31/12/2026","sn2024ukb","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2024ukb/"
"Taylor & Francis","Informa UK Limited","Netherlands","NLD","UNL/UKB","1625","01/01/2024","31/12/2026","tf2024ukb","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2024ukb/"
"The Royal Society","The Royal Society","Netherlands","NLD","Eindhoven University of Technology","1","01/01/2024","31/12/2024","trs2024tue","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2024tue/"
"Wiley","Wiley-Blackwell","Netherlands","NLD","UNL/UKB/SURF","2485","01/01/2024","31/12/2026","wiley2024ukb","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2024ukb/"
"Wolters Kluwer Health","Ovid Technologies (Wolters Kluwer Health)","Netherlands","NLD","SURF/UKB","270","01/01/2024","31/12/2026","lww2024ukb","https://esac-initiative.org/about/transformative-agreements/agreement-registry/lww2024ukb/"
"AIP Publishing","AIP Publishing","Norway","NOR","UiT the Arctic University of Norway","5","01/01/2024","31/12/2024","aip2024uit","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2024uit/"
"John Benjamins Publishing","NA","Norway","NOR","UiT the Arctic University of Norway","5","01/01/2024","31/12/2024","jbp2024uit","https://esac-initiative.org/about/transformative-agreements/agreement-registry/jbp2024uit/"
"Walter de Gruyter","Walter de Gruyter GmbH","Norway","NOR","Sikt (previously Unit)","50","01/01/2024","31/12/2024","degruy2024sikt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2024sikt/"
"Oxford University Press","Oxford University Press (OUP)","Saudi Arabia","NA","KAUST","13","01/01/2024","31/12/2024","oxf2024kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2024kaust/"
"Wiley","Wiley-Blackwell","Saudi Arabia","NA","KAUST","52","01/01/2024","31/12/2026","wiley2024kaust","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2024kaust/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Slovenia","NA","Slovenian Consortium CTK","25","01/01/2024","31/12/2024","rsc2024slov","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2024slov/"
"Bentham Science Publishers","NA","South Africa","NA","SANLiC","120","01/01/2024","31/12/2026","bsp2024sanlic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bsp2024sanlic/"
"Company of Biologists","The Company of Biologists","South Africa","NA","SANLiC","3","01/01/2024","31/12/2026","compbio2024sanlic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024sanlic/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","South Africa","NA","SANLiC","83","01/01/2024","31/12/2027","rsc2024sanlic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2024sanlic/"
"Taylor & Francis","Informa UK Limited","South Africa","NA","SANLiC","1808","01/01/2024","31/12/2026","tf2024sanlic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2024sanlic/"
"Company of Biologists","The Company of Biologists","South Korea","NA","KESLI","1","01/01/2024","31/12/2024","compbio2024kesli","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024kesli/"
"Elsevier","Elsevier BV","South Korea","NA","National Research Council of Science & Technology","1000","01/01/2024","31/12/2026","els2024nst","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2024nst/"
"Springer Nature","Springer Nature","South Korea","NA","Seoul National University","445","01/01/2024","31/12/2026","sn2024snu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2024snu/"
"Bentham Science Publishers","NA","Spain","ESP","CSIC Spanish National Research Council","5","01/01/2024","31/12/2026","bsp2024csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bsp2024csic/"
"Company of Biologists","The Company of Biologists","Spain","ESP","CSIC Spanish National Research Council","10","01/01/2024","31/12/2026","compbio2024csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024csic/"
"IOP Publishing","IOP Publishing","Spain","ESP","Universitat de Barcelona","25","01/01/2024","31/12/2026","iop2024ub","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2024ub/"
"Microbiology Society","Microbiology Society","Spain","ESP","CSIC Spanish National Research Council","5","01/01/2024","31/12/2024","microbio2024csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2024csic/"
"Sage","SAGE Publications","Spain","ESP","CSIC Spanish National Research Council","20","01/01/2024","31/12/2025","sage2024csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2024csic/"
"Taylor & Francis","Informa UK Limited","Spain","ESP","CSIC Spanish National Research Council","70","01/01/2024","31/12/2026","tf2024csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2024csic/"
"The Royal Society","The Royal Society","Spain","ESP","CSIC Spanish National Research Council","22","01/01/2024","31/12/2024","trs2024csic","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2024csic/"
"American Chemical Society","American Chemical Society (ACS)","Sweden","SWE","Bibsam Consortium","520","01/01/2024","31/12/2025","acs2024bibsam","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2024bibsam/"
"Bristol University Press","NA","Sweden","SWE","Bibsam Consortium","10","01/01/2024","31/12/2026","bup2024bibsam","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bup2024bibsam/"
"Elsevier","Elsevier BV","Sweden","SWE","Bibsam Consortium","3724","01/01/2024","31/12/2027","els2024bibsam","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2024bibsam/"
"Portland Press","Portland Press Ltd.","Sweden","SWE","Bibsam Consortium","10","01/01/2024","31/12/2027","portpress2024bibsam","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2024bibsam/"
"American Physical Society","American Physical Society (APS)","Switzerland","CHE","CERN","140","01/01/2024","31/12/2026","aps2024cern","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aps2024cern/"
"Bioscientifica","NA","Switzerland","CHE","Université de Genève","1","01/01/2024","31/12/2024","biosci2024unige","https://esac-initiative.org/about/transformative-agreements/agreement-registry/biosci2024unige/"
"BMJ Publishing","BMJ","Switzerland","CHE","Consortium of Swiss Academic Libraries","15","01/01/2024","31/12/2024","bmj2024csal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bmj2024csal/"
"Cambridge University Press","Cambridge University Press (CUP)","Switzerland","CHE","Consortium of Swiss Academic Libraries","130","01/01/2024","31/12/2026","cam2024csal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2024csal/"
"Elsevier","Elsevier BV","Switzerland","CHE","Consortium of Swiss Academic Libraries","3500","01/01/2024","31/12/2028","els2024csal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2024csal/"
"IEEE","Institute of Electrical & Electronics Engineers (IEEE)","Switzerland","CHE","CERN","222","01/01/2024","31/12/2026","ieee2024cern","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2024cern/"
"Microbiology Society","Microbiology Society","Switzerland","CHE","Université de Genève","1","01/01/2024","31/12/2024","microbio2024unige","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2024unige/"
"Portland Press","Portland Press Ltd.","Switzerland","CHE","Université de Genève","1","01/01/2024","31/12/2024","portpress2024unige","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2024unige/"
"Rockefeller University Press","Rockefeller University Press","Switzerland","CHE","Université de Genève","2","01/01/2024","31/12/2024","rup2024unige","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2024unige/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","Switzerland","CHE","Consortium of Swiss Academic Libraries","130","01/01/2024","31/12/2026","rsc2024csal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2024csal/"
"Taylor & Francis","Informa UK Limited","Switzerland","CHE","Consortium of Swiss Academic Libraries","700","01/01/2024","31/12/2027","tf2024csal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2024csal/"
"Company of Biologists","The Company of Biologists","Chinese Taipei","NA","National Yang Ming Chiao Tung University","5","01/01/2024","31/12/2026","compbio2024nycu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024nycu/"
"BMJ Publishing","BMJ","Turkey","NA","ANKOS (Anatolian University Libraries Consortium)","10","01/01/2024","31/12/2024","bmj2024ankos","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bmj2024ankos/"
"Oxford University Press","Oxford University Press (OUP)","Turkey","NA","ANKOS (Anatolian University Libraries Consortium)","90","01/01/2024","31/12/2026","oxf2024ankos","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2024ankos/"
"Springer Nature","Springer Nature","Turkey","NA","EKUAL/TUBITAK","2750","01/01/2024","31/12/2026","sn2024tubitak","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2024tubitak/"
"AIP Publishing","AIP Publishing","United Kingdom","GBR","Jisc","300","01/01/2024","31/12/2025","aip2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2024jisc/"
"Bentham Science Publishers","NA","United Kingdom","GBR","Jisc","12","01/01/2024","31/12/2025","bsp2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bsp2024jisc/"
"Bristol University Press","NA","United Kingdom","GBR","Jisc","40","01/01/2024","31/12/2024","bup2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bup2024jisc/"
"CSIRO","NA","United Kingdom","GBR","Jisc","10","01/01/2024","31/12/2026","csiro2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/csiro2024jisc/"
"European Respiratory Society","NA","United Kingdom","GBR","Jisc","140","01/01/2024","31/12/2024","ers2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ers2024jisc/"
"Future Science Group","NA","United Kingdom","GBR","Jisc","79","01/01/2024","31/12/2025","fsg2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/fsg2024jisc/"
"IOP Publishing","IOP Publishing","United Kingdom","GBR","Jisc","680","01/01/2024","31/12/2026","iop2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2024jisc/"
"Karger","S. Karger AG","United Kingdom","GBR","Jisc","30","01/01/2024","31/12/2026","kar2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2024jisc/"
"Oxford University Press","Oxford University Press (OUP)","United Kingdom","GBR","Jisc","3500","01/01/2024","31/12/2025","oxf2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2024jisc/"
"Portland Press","Portland Press Ltd.","United Kingdom","GBR","Jisc","156","01/01/2024","31/12/2025","portpress2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2024jisc/"
"Rockefeller University Press","Rockefeller University Press","United Kingdom","GBR","Jisc","97","01/01/2024","31/12/2025","rup2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2024jisc/"
"Society for Neuroscience","NA","United Kingdom","GBR","Jisc","106","01/01/2024","31/12/2024","sfn2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sfn2024jisc/"
"Taylor & Francis","Informa UK Limited","United Kingdom","GBR","Jisc","6000","01/01/2024","31/12/2025","tf2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2024jisc/"
"The Geological Society of London","NA","United Kingdom","GBR","Jisc","113","01/01/2024","31/12/2025","gsl2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/gsl2024jisc/"
"The Geological Society of London","NA","United Kingdom","GBR","Jisc / UKRI-NERC","12","01/01/2024","31/12/2025","gsl2024ukri","https://esac-initiative.org/about/transformative-agreements/agreement-registry/gsl2024ukri/"
"The Royal Society","The Royal Society","United Kingdom","GBR","Jisc","681","01/01/2024","31/12/2024","trs2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/trs2024jisc/"
"Thieme","NA","United Kingdom","GBR","Jisc","10","01/01/2024","31/12/2024","thie2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/thie2024jisc/"
"Walter de Gruyter","Walter de Gruyter GmbH","United Kingdom","GBR","Jisc","105","01/01/2024","31/12/2025","degruy2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/degruy2024jisc/"
"Wiley","Wiley-Blackwell","United Kingdom","GBR","Jisc","10000","01/01/2024","31/12/2025","wiley2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2024jisc/"
"World Scientific","NA","United Kingdom","GBR","Jisc","20","01/01/2024","31/12/2024","ws2024jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ws2024jisc/"
"AIP Publishing","AIP Publishing","United States","USA","Vanderbilt University","9","01/01/2024","31/12/2026","aip2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2024vanderbilt/"
"American Chemical Society","American Chemical Society (ACS)","United States","USA","Vanderbilt University","66","01/01/2024","31/12/2027","acs2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acs2024vanderbilt/"
"American Society of Mechanical Engineers","ASME International","United States","USA","Vanderbilt University","9","01/01/2024","31/12/2024","asme2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/asme2024vanderbilt/"
"BMJ Publishing","BMJ","United States","USA","Vanderbilt University","32","01/01/2024","31/12/2024","bmj2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/bmj2024vanderbilt/"
"Cambridge University Press","Cambridge University Press (CUP)","United States","USA","Rice University","10","01/01/2024","31/12/2026","cam2024rice","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2024rice/"
"Cambridge University Press","Cambridge University Press (CUP)","United States","USA","Vanderbilt University","40","01/01/2024","31/12/2026","cam2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2024vanderbilt/"
"Canadian Science Publishing","NA","United States","USA","California Digital Library (University of California)","8","01/01/2024","31/12/2026","csp2024cdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/csp2024cdl/"
"Company of Biologists","The Company of Biologists","United States","USA","California Digital Library (University of California)","35","01/01/2024","31/12/2026","compbio2024cdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024cdl/"
"Company of Biologists","The Company of Biologists","United States","USA","Icahn School of Medicine at Mount Sinai","20","01/01/2024","31/12/2026","compbio2024mssm","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024mssm/"
"Company of Biologists","The Company of Biologists","United States","USA","University of Maine","1","01/01/2024","31/12/2026","compbio2024maine","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024maine/"
"Company of Biologists","The Company of Biologists","United States","USA","University of New Mexico","10","01/01/2024","31/12/2026","compbio2024unm","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024unm/"
"Company of Biologists","The Company of Biologists","United States","USA","University of Richmond","1","01/01/2024","31/12/2026","compbio2024richmond","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024richmond/"
"Company of Biologists","The Company of Biologists","United States","USA","University of San Diego","1","01/01/2024","31/12/2026","compbio2024sandiego","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024sandiego/"
"Company of Biologists","The Company of Biologists","United States","USA","University of South Carolina Columbia","3","01/01/2024","31/12/2026","compbio2024uscc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024uscc/"
"Company of Biologists","The Company of Biologists","United States","USA","Williams College","1","01/01/2024","31/12/2026","compbio2024williams","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2024williams/"
"Elsevier","Elsevier BV","United States","USA","Vanderbilt University","585","01/01/2024","31/12/2028","els2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2024vanderbilt/"
"IEEE","Institute of Electrical & Electronics Engineers (IEEE)","United States","USA","Vanderbilt University","35","01/01/2024","31/12/2025","ieee2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2024vanderbilt/"
"Karger","S. Karger AG","United States","USA","Vanderbilt University","8","01/01/2024","31/12/2026","kar2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/kar2024vanderbilt/"
"Microbiology Society","Microbiology Society","United States","USA","Vanderbilt University","2","01/01/2024","31/12/2025","microbio2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/microbio2024vanderbilt/"
"Oxford University Press","Oxford University Press (OUP)","United States","USA","Vanderbilt University","74","01/01/2024","31/12/2026","oxf2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/oxf2024vanderbilt/"
"Portland Press","Portland Press Ltd.","United States","USA","Adelphi University","1","01/01/2024","31/12/2024","portpress2024adelphi","https://esac-initiative.org/about/transformative-agreements/agreement-registry/portpress2024adelphi/"
"Rockefeller University Press","Rockefeller University Press","United States","USA","University of Texas Southwestern Medical Center","5","01/01/2024","31/12/2026","rup2024utsw","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2024utsw/"
"Rockefeller University Press","Rockefeller University Press","United States","USA","Vanderbilt University","1","01/01/2024","31/12/2026","rup2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rup2024vanderbilt/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","United States","USA","Lyrasis","175","01/01/2024","31/12/2025","rsc2024lyrasis","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2024lyrasis/"
"Royal Society of Chemistry","Royal Society of Chemistry (RSC)","United States","USA","Vanderbilt University","16","01/01/2024","31/12/2026","rsc2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/rsc2024vanderbilt/"
"Sage","SAGE Publications","United States","USA","GALILEO","250","01/01/2024","31/12/2028","sage2024galileo","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sage2024galileo/"
"SPIE","NA","United States","USA","Vanderbilt University","6","01/01/2024","31/12/2026","spie2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/spie2024vanderbilt/"
"Springer Nature","Springer Nature","United States","USA","NorthEast Research Libraries","900","01/01/2024","31/12/2026","sn2024nerl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/sn2024nerl/"
"Taylor & Francis","Informa UK Limited","United States","USA","Vanderbilt University","93","01/01/2024","31/12/2026","tf2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2024vanderbilt/"
"Wiley","Wiley-Blackwell","United States","USA","CARLI (Consortium of Academic and Research Libraries in Illinois)","40","01/01/2024","31/12/2029","wiley2024carli","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2024carli/"
"Wiley","Wiley-Blackwell","United States","USA","Vanderbilt University","270","01/01/2024","31/12/2028","wiley2024vanderbilt","https://esac-initiative.org/about/transformative-agreements/agreement-registry/wiley2024vanderbilt/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Bulgaria","NA","American University in Bulgaria","3","08/12/2023","31/12/2026","acm2023aubg","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2023aubg/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Hong Kong","NA","JULAC","103","01/12/2023","31/12/2026","acm2023julac","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2023julac/"
"Elsevier","Elsevier BV","Germany","DEU","Projekt DEAL Consortium","11500","01/09/2023","31/12/2028","els2023deal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2023deal/"
"SPIE","NA","Netherlands","NLD","Eindhoven University of Technology","2","01/09/2023","31/08/2024","spie2023tue","https://esac-initiative.org/about/transformative-agreements/agreement-registry/spie2023tue/"
"American Psychological Association","American Psychological Association (APA)","United Kingdom","GBR","Jisc","175","01/08/2023","31/07/2024","apa2023jisc","https://esac-initiative.org/about/transformative-agreements/agreement-registry/apa2023jisc/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","United States","USA","Lyrasis","450","01/07/2023","30/06/2026","acm2023lyrasis","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2023lyrasis/"
"Cambridge University Press","Cambridge University Press (CUP)","United States","USA","Montana State University","62","01/07/2023","01/07/2026","cam2023msu","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2023msu/"
"Company of Biologists","The Company of Biologists","Canada","CAN","Mount Royal University","1","15/06/2023","15/06/2026","compbio2023mtroyal","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2023mtroyal/"
"National Academy of Sciences","NA","Germany","DEU","Max Planck Digital Library","75","01/05/2023","30/04/2026","nas2023mpdl","https://esac-initiative.org/about/transformative-agreements/agreement-registry/nas2023mpdl/"
"Company of Biologists","The Company of Biologists","Italy","ITA","Università degli Studi di Milano Bicocca ","1","29/03/2023","31/12/2025","compbio2023unimib","https://esac-initiative.org/about/transformative-agreements/agreement-registry/compbio2023unimib/"
"Association for Computing Machinery","Association for Computing Machinery (ACM)","Portugal","NA","b-on/FCT","120","27/02/2023","31/12/2024","acm2023fct","https://esac-initiative.org/about/transformative-agreements/agreement-registry/acm2023fct/"
"Taylor & Francis","Informa UK Limited","Portugal","NA","b-on/FCT","125","02/02/2023","31/12/2024","tf2023fct","https://esac-initiative.org/about/transformative-agreements/agreement-registry/tf2023fct/"
"IOP Publishing","IOP Publishing","Netherlands","NLD","University of Groningen","8","02/01/2023","31/12/2025","iop2023rug","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023rug/"
"AIP Publishing","AIP Publishing","Australia","NA","CAUL","238","01/01/2023","31/12/2025","aip2023caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2023caul/"
"AIP Publishing","AIP Publishing","Australia","NA","CSIRO","2","01/01/2023","31/12/2023","aip2023csiro","https://esac-initiative.org/about/transformative-agreements/agreement-registry/aip2023csiro/"
"Brill","Brill","Australia","NA","CAUL","205","01/01/2023","31/12/2023","brill2023caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/brill2023caul/"
"Cambridge University Press","Cambridge University Press (CUP)","Australia","NA","CAUL","800","01/01/2023","31/12/2023","cam2023caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/cam2023caul/"
"Elsevier","Elsevier BV","Australia","NA","CAUL","13002","01/01/2023","31/12/2025","els2023caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/els2023caul/"
"Future Science Group","NA","Australia","NA","CAUL","50","01/01/2023","31/12/2023","fsg2023caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/fsg2023caul/"
"IEEE","Institute of Electrical & Electronics Engineers (IEEE)","Australia","NA","CSIRO","13","01/01/2023","31/12/2023","ieee2023csiro","https://esac-initiative.org/about/transformative-agreements/agreement-registry/ieee2023csiro/"
"IOP Publishing","IOP Publishing","Australia","NA","CAUL","67","01/01/2023","31/12/2025","iop2023caul","https://esac-initiative.org/about/transformative-agreements/agreement-registry/iop2023caul/"
