Institution;Period; EURO ;DOI;is_hybrid;Publisher;Journal_full_title;Funding Programme;Note
Austrian Science Fund (FWF);2021;1.740,97 ;10.5194/hess-25-2931-2021;FALSE;COPERNICUS PUBLICATIONS;Hydrology and Earth System Sciences;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.785,60 ;10.5194/nhess-21-301-2021;FALSE;COPERNICUS PUBLICATIONS;Natural Hazards and Earth System Science;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;1.940,40 ;10.5194/gmd-13-6425-2020;FALSE;COPERNICUS PUBLICATIONS;Geoscientific Model Development;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.032,80 ;10.5194/se-11-1947-2020;FALSE;COPERNICUS PUBLICATIONS;Solid Earth;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.125,20 ;10.5194/tc-15-1907-2021;FALSE;COPERNICUS PUBLICATIONS;Cryosphere;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.232,00 ;10.5194/amt-14-5299-2021;FALSE;COPERNICUS PUBLICATIONS;Atmospheric Measurement Techniques;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.434,74 ;10.5194/hess-25-4335-2021;FALSE;COPERNICUS PUBLICATIONS;Hydrology and Earth System Sciences;Peer-Reviewed Publications ;
NA;NA;NA;NA;NA;NA;NA;NA;NA
Austrian Science Fund (FWF);2021;1.140,00 ;10.5194/ejm-33-145-2021;FALSE;E. SCHWEIZERBART'SCHE VERLAGSBUCHHANDLUNG;European Journal of Mineralogy;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.605,58 ;10.1016/j.scitotenv.2018.10.084;TRUE;E. SCHWEIZERBART'SCHE VERLAGSBUCHHANDLUNG;Science of the Total Environment;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.091,42 ;10.7554/eLife.63435;FALSE;ELIFE SCIENCES PUBLICATIONS;eLife;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.477,50 ;10.7554/eLife.56205;FALSE;ELIFE SCIENCES PUBLICATIONS;eLife;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.545,82 ;10.7554/eLife.64087;FALSE;ELIFE SCIENCES PUBLICATIONS;eLife;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.548,66 ;10.7554/eLife.63476;FALSE;ELIFE SCIENCES PUBLICATIONS;eLife;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.580,76 ;10.7554/eLife.65459;FALSE;ELIFE SCIENCES PUBLICATIONS;eLife;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.616,89 ;10.7554/eLife.61106;FALSE;ELIFE SCIENCES PUBLICATIONS;eLife;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;2.789,40 ;10.7554/eLife.53237;FALSE;ELIFE SCIENCES PUBLICATIONS;eLife;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021;3.034,39 ;10.7554/eLife.69994;FALSE;ELIFE SCIENCES PUBLICATIONS;eLife;Peer-Reviewed Publications ;
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA
