Institution;Period; Euro ;DOI;FWF e-book library;Publisher;Book_title;ISBN;Funding Programme
Austrian Science Fund (FWF);2021;50.000,00 ;;;;Shahi Kingdoms Digitale Publikation und Forschungsplattform ;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;;VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN;Sprachliche Analyse der niedergermanischen Votivformulare;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;18.000,00 ;;;SPRINGER NATURE;Theater in Bosnien und Herzegowina 1992-1995 ;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;14.000,00 ;;https://e-book.fwf.ac.at/o:1590;BÖHLAU-VERLAG GES.M.B.H  CO.KG;Theatrum Sabaudiae. Das Kupferstichwerk der Herzöge von Savoyen: Entstehung, Rezeption, Funktionswandel (1660-1740);978-3-205-21464-9;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;;VERLAG WALTER DE GRUYTER GMBH;Theorie der Klassik. Grundzüge einer transkulturellen Praxis;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;;PASSAGEN VERLAG;Topografie der Einbildungskraft ;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;10.000,00 ;;;PALGRAVE MACMILLAN;Umweltwissen, Race, und afroamerikanische Literatur;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;18.000,00 ;;;VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN;Vergleichende Datierung der mykenischen Paläste;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;15.000,00 ;;;JOURNAL OF VISUALIZED EXPERIMENTS (JOVE);Video Dokumentation der Organoid Methodologie;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;6.140,00 ;;;VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN;Visnu-Narayana. Entwicklung und Wandel einer Gottheit;;Stand-Alone Publications
Austrian Science Fund (FWF);2021;8.000,00 ;;https://austriaca.at/8335-8_TibetanLion_complete_version.pdf;ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN (ÖAW);;;Book Publication
