"DOI","Institution","period"
"10.1007/s00787-017-0957-3","King's College London",2017
"10.1007/s10928-017-9512-6","University of Warwick",2017
"10.1007/s10113-017-1116-6","Cranfield University",2017
"10.1007/s11222-017-9731-0","Lancaster University",2017
"10.1007/s10614-017-9651-2","Brunel University",2017
"10.1007/s13394-017-0194-6","University College London",2017
"10.1007/s11934-017-0660-4","University of Southampton",2017
"10.1007/s00220-016-2820-7","University of Glasgow",2017
"10.1007/s10865-017-9826-2","Royal Holloway, University of London",2017
"10.1007/s12035-017-0440-7","Newcastle University",2017
"10.1007/s10637-017-0433-4","University of Southampton",2017
"10.1007/s00220-017-2836-7","King's College London",2017
"10.1007/s00018-017-2472-6","Queen Mary, University of London",2017
"10.1007/s10143-017-0817-0","Imperial College London",2017
"10.1007/s00167-017-4433-x","University of Edinburgh",2017
"10.1007/s10482-017-0838-2","Newcastle University",2017
"10.1007/s00221-017-4882-y","Liverpool John Moores University",2017
"10.1007/s10751-017-1398-6","University of Manchester",2017
"10.1007/s10767-017-9256-8","University of Cambridge",2017
"10.1007/s10459-016-9751-0","University of Nottingham",2017
"10.1007/s10103-017-2157-2","King's College London",2017
"10.1007/s10237-016-0865-3","King's College London",2017
"10.1007/s11102-017-0789-7","Queen Mary, University of London",2017
"10.1007/s00186-016-0569-6","London School of Economics and Political Science",2017
"10.1007/s40750-017-0059-y","University of Oxford",2017
"10.1007/s00221-017-4905-8","University of Oxford",2017
"10.1007/s10754-017-9214-z","University of York",2017
"10.3758/s13428-017-0859-9","City University London",2017
"10.1007/s10597-017-0102-2","University of Southampton",2017
"10.1007/s10008-017-3534-2","University of Bath",2017
"10.1007/s12283-017-0228-z","Loughborough University",2017
"10.1007/s11250-017-1239-2","University of Edinburgh",2017
"10.1007/s11085-017-9728-2","Cranfield University",2017
"10.1007/s10800-017-1049-2","Cranfield University",2017
"10.1007/s11207-017-1054-y","University of Sheffield",2017
"10.1007/s11739-017-1612-1","University of Leeds",2017
"10.1007/s10231-017-0639-2","Loughborough University",2017
"10.1007/s00220-017-2845-6","University of Oxford",2017
"10.1007/s11192-017-2311-4","London School of Economics and Political Science",2017
