"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC","DOI","Date of APC payment","Date of initial application by author","ISSN0","Institution","Journal","Licence","PubMed Central (PMC) ID","PubMed ID","Publisher","TCO year","Type of publication","Drop?","Year of publication","Article title","doi","similarity"
"2932.26","2433.78","2433.78","EUR","","","2014-03-13","","University of Glasgow","Remote Sensing of Environment","","","","Elsevier BV","2014","","0","","Evaluating sub-pixel offset techniques as an alternative to D-InSAR for monitoring episodic landslide movements in vegetated terrain","10.1016/j.rse.2014.03.003","1.0"
"","","2040","","","","2014-03-14","","University of Glasgow","Classical and Quantum Gravity ","","","","IOP Publishing","2014","","0","","Enhanced Characteristics of Fused Silica Fibres Using Laser Polishing","10.1088/0264-9381/31/10/105006","0.9855072463768116"
"2665.69","2185.87","2185.87","EUR","","","2014-03-14","","University of Glasgow","Trends in Ecology and Evolution","","","","Elsevier BV","2014","","0","","Assembling evidence for identifying reservoirs of infection","10.1016/j.tree.2014.03.002","1.0"
"2700","1593","1593","USD","","","2014-03-20","","University of Glasgow","Journal of Biological Chemistry","","","","American Society for Biochemistry & Molecular Biology (ASBMB)","2014","","0","2014","The N-terminal region of the atypical chemokine receptor ACKR2 is a key determinant of ligand binding","10.1074/jbc.m113.534545","1.0"
"","","200","","","","2014-03-21","","University of Glasgow","Statistical Methods in Medical Research","","","","SAGE Publications","2014","","0","","Controlling for localised spatio-temporal autocorrelation in long-term air pollution and health studies","10.1177/0962280214527384","1.0"
"1954.84","1622.51","1622.51","EUR","","","2014-03-24","","University of Glasgow","Advances in Space Research","","","","Elsevier BV","2014","","0","","Development status of AEOLDOS - a deorbit module for small satellites Advances in Space Research","10.1016/j.asr.2014.03.022","0.8242424242424242"
"","","1500","","","","2014-03-24","","University of Glasgow","Equine Veterinary Journal","","","","Wiley-Blackwell","2014","","0","","What is needed to prevent tendon injury in equine athletes? A conversation between researchers and industry stakeholders","10.1111/evj.12269","0.9302325581395349"
"","","1500","","","","2014-03-24","","University of Glasgow","Small","","","","Wiley-Blackwell","2014","","0","","Spatially selecting single cell for lysis using light induced electric fields ","10.1002/smll.201400247","0.9681528662420382"
"800","587.1","587.1","USD","","","2014-03-26","","University of Glasgow","Plant Physiology","","","","Dartmouth Journals","2014","","0","","Systems analysis of guard cell membrane transport for enhanced stomatal dynamics and water use efficiency","10.1104/pp.113.233403","1.0"
"","","1989","","","","2014-01-13","","University of Glasgow","Journal of Epidemiology and Community health","","","","BMJ","2014","","0","","Differences in Adiposity Trajectories by Birth Cohort and Childhood Social Class: Evidence from Cohorts born in the 1930s, 1950s and 1970s in the West of Scotland","10.1136/jech-2013-203551","1.0"
"","","2550","","","","2014-01-28","","University of Glasgow","British Medical Journal","","","","BMJ","2014","","0","2014","Explaining trends in Scottish coronary heart disease mortality between 2000 and 2010: socioeconomic analysis using the IMPACTSEC model. ","10.1136/jech-2013-203126.53","0.9010989010989011"
"","","2550","","","","2014-01-31","","University of Glasgow","American Journal of Epidemiology","","","","Oxford University Press (OUP)","2014","","0","","Early life school, neighbourhood and family influences on adult health: a multilevel cross-classified analysis of the Aberdeen Children of the 1950s study","10.1093/aje/kwu110","0.987012987012987"
"","","1500","","","","2014-02-04","","University of Glasgow","Perspectives on Sexual and Reproductive Health","","","","Wiley-Blackwell","2014","","0","2014","Access to and experience of later abortion: accounts from women in Scotland","10.1363/46e1214","1.0"
"","","1350","","","","2014-02-14","","University of Glasgow","PLOS One","","","","Public Library of Science (PLoS)","2014","","0","","HIV prevalence and undiagnosed infection among a community sample of gay and bisexual men in Scotland","10.1097/qai.0b013e318058a01e","0.9312169312169312"
"","","1001.48","","","","2014-02-14","","University of Glasgow","PLOS One","","","","Public Library of Science (PLoS)","2014","","0","","Understanding the development of minimum unit pricing of alcohol in Scotland: a qualitative study","10.1371/journal.pone.0091185","0.8981481481481481"
"2649.78","2199.31","2199.31","EUR","","","2014-02-17","","University of Glasgow","Social Science & Medicine ","","","","Elsevier BV","2014","","0","2014","Socioeconomic and geographic inequalities in adolescent smoking: A multilevel cross-sectional study of 15 year olds in Scotland","10.1016/j.socscimed.2014.02.016","1.0"
"","","1602.96","","","","2014-03-03","","University of Glasgow","FEBS Letters","","","","Elsevier BV","2014","","0","","The Role of c-Jun in Controlling the EPAC1-dependent Induction of the SOCS3 Gene in HUVECs","10.1016/j.febslet.2014.02.038","1.0"
"","","1500","","","","2014-03-28","","University of Glasgow","Population, Space and Place","","","","Wiley-Blackwell","2014","","0","","Emigration of Scottish steelworkers to Canada: impacts on social networks","10.1002/psp.1852","1.0"
"600","323.4","323.4","USD","","","2014-03-31","","University of Glasgow","International Journal of Qualitative Methods.","","","","University of Alberta","2014","","0","","Avoiding pitfalls and realising opportunities: reflecting on issues of sampling and recruitment for online focus groups","10.1177/160940691401300109","1.0"
"","","1510.16","CHF","","","2014-04-03","","University of Glasgow","Sensors","","","","MDPI AG","2014","","0","","Luminescent Measurement Systems for the Investigation of a Scramjet Inlet-Isolator","10.3390/s140406606","1.0"
"","","2134.68","EUR","","","2014-04-03","","University of Glasgow","The Veterinary Journal","","","","Elsevier BV","2014","","0","","Estimates of genetic parameters of distal limb fracture and superficial digital flexor tendon injury in UK Thoroughbred racehorses'","10.1016/j.tvjl.2014.03.005","0.9961685823754789"
"","","1657.5","","","","2014-04-03","","University of Glasgow","Journal of Epidemiology and Community Health","","","","BMJ","2014","","0","","You have been QUALIFIED for a smokeless e-cig starter kit","10.1136/jech-2014-203879","1.0"
"","","3600","","","","2014-04-04","","University of Glasgow","International Materials Reviews","","","","Maney Publishing","2014","","0","","Aberration-corrected scanning transmission electron microscopy for atomic-resolution studies of functional oxides","10.1179/1743280413y.0000000026","1.0"
"","","1500","","","","2014-04-04","","University of Glasgow","Laser and Photonics Reviews","","","","Wiley-Blackwell","2014","","0","","A monolithic resonant terahertz sensor element comprising a metamaterial absorber and micro-bolometer","10.1002/lpor.201300087","1.0"
"","","1070.94","","","","2014-04-07","","University of Glasgow","IEEE Transactions on Pattern Analysis and Machine Intelligence","","","","Institute of Electrical and Electronics Engineers (IEEE)","2014","","0","","Pseudo-Marginal Bayesian Inference for Gaussian Processes","10.1109/tpami.2014.2316530","1.0"
"","","2404.45","","","","2014-04-07","","University of Glasgow","Journal of Catalysis","","","","Elsevier BV","2014","","0","","The application of inelastic neutron scattering to investigate CO hydrogenation over an iron Fischer-Tropsch synthesis catalyst","10.1016/j.jcat.2014.02.004","0.9921259842519685"
"","","976.87","","","","2014-04-07","","University of Glasgow","IEEE Transacations on Electron Devices","","","","Institute of Electrical and Electronics Engineers (IEEE)","2014","","0","","Optimization and evaluation of variability in the programing window of a flash cell with molecular metal oxide storage","10.1109/ted.2014.2315520","0.9590163934426229"
"","","3498","","","","2014-04-09","","University of Glasgow","Nature Communications","","","","Springer Nature","2014","","0","","Discovery of gigantic molecular nanostructures using a flow reaction array as a search engine","10.1038/ncomms4715","1.0"
"","","1843.76","EUR","","","2014-04-10","","University of Glasgow","Biological Conservation","","","","Elsevier BV","2014","","0","","Out of sight but not out of harm’s way: human disturbance reduces reproductive success of a cavity-nesting seabird","10.1016/j.biocon.2014.03.020","1.0"
"","","2550","","","","2014-04-14","","University of Glasgow","American Journal of Epidemiology","","","","Oxford University Press (OUP)","2014","","0","","Multilevel analysis of individual heterogeneity: a fundamental critique of the current probabilistic risk factor epidemiology"" - Response to Invited Commentary","",""
"","","1740","","","","2014-04-14","","University of Glasgow","Chem Comm","","","","Royal Society of Chemistry (RSC)","2014","","0","","Solvatochromic probes for detecting hydrogen-bond-donating solvents","10.1039/c4cc00805g","1.0"
"","","1500","","","","2014-04-15","","University of Glasgow","Milbank Quarterly","","","","Wiley-Blackwell","2014","","0","","Changing Policy Framing as a Deliberate Strategy for Public Health Advocacy: A Qualitative Policy Case Study of Minimum Unit Pricing of Alcohol","10.1111/1468-0009.12057","1.0"
"","","976.87","","","","2014-04-17","","University of Glasgow","IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control","","","","Institute of Electrical and Electronics Engineers (IEEE)","2014","","0","","Smart Cymbal Transducers with Nitinol End-Caps for Multiple Frequency Applications","",""
"","","1260","","","","2014-04-23","","University of Glasgow","Proceedings of the Royal Society B","","","","The Royal Society","2014","","0","","A cross-culture, cross-gender comparison of perspective taking mechanisms","10.1098/rspb.2014.0388","1.0"
"","","1260","","","","2014-04-25","","University of Glasgow","Proceedings of the Royal Society B","","","","The Royal Society","2014","","0","","Can environmental conditions experienced in early life influence future generations?","10.1098/rspb.2014.0311","1.0"
"","","1500","","","","2014-04-25","","University of Glasgow","International Journal for Numerical Methods in Biomedical Engineering","","","","Wiley-Blackwell","2014","","0","","Quasi-static imaged-based immersed boundary-finite element model of human left ventricle in diastole","10.1002/cnm.2652","0.8878048780487805"
"","","1740","","","","2014-04-28","","University of Glasgow","Lab-on-a-Chip","","","","Royal Society of Chemistry (RSC)","2014","","0","","Integrating microfluidic generation, handling and analysis of biomimetic giant unilamellar vesicles","10.1039/c4lc00199k","1.0"
"","","1740","","","","2014-04-28","","University of Glasgow","Lab-on-a-Chip","","","","Royal Society of Chemistry (RSC)","2014","","0","","Cell Patterning with a Heptagon Acoustic Tweezer – Application in Neurite Guidance","10.1039/c4lc00436a","1.0"
"","","1266.86","","","","2014-04-29","","University of Glasgow","Health and Place","","","","Elsevier BV","2014","","0","","The Relative Influence of Neighbourhood Incivilities, Cognitive Social Capital, Club Membership and Individual Characteristics on Positive Mental Health","10.1016/j.healthplace.2014.04.006","1.0"
"","","394","","","","2014-04-29","","University of Glasgow","Journal of Modern Optics","","","","Informa UK Limited","2014","","0","","Advanced technologies for future laser-interferometric gravitational wave detectors","10.1080/09500340.2014.920934","0.9222222222222223"
"","","1675.87","","","","2014-05-02","","University of Glasgow","Advanced Optical Technologies ","","","","Walter de Gruyter GmbH","2014","","0","","Hydroxide catalysis bonding for astronomical instruments","10.1515/aot-2014-0022","1.0"
"","","1347.39","USD","","","2014-05-06","","University of Glasgow","Optics Express","","","","Optical Society of America","2014","","0","","The Mechanical Faraday Effect for Orbital Angular Momentum-Carrying Beams","10.1364/oe.22.011690","0.971830985915493"
"","","1500","","","","2014-05-08","","University of Glasgow","Hepatology","","","","Wiley-Blackwell","2014","","0","","Next generation sequencing sheds light on the natural history of hepatitis C infection in patients that fail treatment","10.1002/hep.27192","0.9702127659574468"
"","","1500","","","","2014-05-12","","University of Glasgow"," Journal of Chemical Technology & Biotechnology ","","","","Wiley-Blackwell","2014","","0","","Iron ochre – a pre-catalyst for the cracking of methane","10.1002/jctb.4434","0.9454545454545454"
"","","1500","","","","2014-05-13","","University of Glasgow","Journal of Animal Ecology","","","","Wiley-Blackwell","2014","","0","","Survival in macaroni penguins and the relative importance of different drivers; individual traits, predation pressure and environmental variability  ","10.1111/1365-2656.12229","0.9864864864864865"
"","","2569.76","USD","","","2014-05-14","","University of Glasgow","Journal of Biological Chemistry","","","","American Society for Biochemistry & Molecular Biology (ASBMB)","2014","","0","","Concomitant action of structural elements and receptor phosphorylation determine arrestin-3 interaction with the free fatty acid receptor FFA4","10.1074/jbc.m114.568816","0.9964912280701754"
"","","1295.53","","","","2014-05-19","","University of Glasgow","Stem Cell Research","","","","Elsevier BV","2014","","0","","Differential sensitivity of Glioma stem cells to Aurora kinase A inhibitors: Implications for stem cell mitosis and centrosome dynamics ","10.1016/j.scr.2014.05.001","0.996309963099631"
"","","2550","","","","2014-05-20","","University of Glasgow","Cerebral Cortex","","","","Oxford University Press (OUP)","2014","","0","","Conversational interaction in the scanner: Mentalizing during language processing as revealed by MEG ID: bhu116","10.1093/cercor/bhu116","0.9478672985781991"
"","","1349.35","USD","","","2014-05-20","","University of Glasgow","Optics Express","","","","Optical Society of America","2014","","0","","High speed switching between arbitrary spatial light profiles","10.1364/oe.22.012845","1.0"
"","","1500","","","","2014-05-20","","University of Glasgow","European Journal of Neuroscience","","","","Wiley-Blackwell","2014","","0","","Prenatal inhibition of the kynurenine pathway leads to structural changes in the hippocampus of adult rat offspring","10.1111/ejn.12535","1.0"
"","","805.48","EUR","","","2014-05-21","","University of Glasgow","Frontiers in Aging Neuroscience","","","","Frontiers Media SA","2014","","0","","A rightward shift in the visuospatial attention vector with healthy aging","10.3389/fnagi.2014.00113","1.0"
"","","2132.55","EUR","","","2014-05-22","","University of Glasgow","Journal of Clinical Epidemiology","","","","Elsevier BV","2014","","0","","Latent class analysis was accurate but sensitive in data simulations","10.1016/j.jclinepi.2014.05.005","1.0"
"","","1260","","","","2014-05-22","","University of Glasgow","Biology Letters","","","","The Royal Society","2014","","0","","Sex ratio influences the motivational salience of facial attractiveness","10.1098/rsbl.2014.0148","1.0"
"","","288.53","JPY","","","2014-05-22","","University of Glasgow","Transactions of JSASS","","","","Aerospace Technology Japan","2014","","0","","Experimental Investigation of Impinging Shock  Cavity Interactions with Upstream Transverse Jet Injection","10.2322/tastj.12.pe_57","0.985781990521327"
"","","1544.31","EUR","","","2014-05-23","","University of Glasgow","Molecular and Cellular Neuroscience","","","","Elsevier BV","2014","","0","","The phosphorylation of Hsp20 enhances its association with amyloid-<beta> to increase protection against neuronal cell death","10.1016/j.mcn.2014.05.002","0.9711934156378601"
"","","2598.69","USD","","","2014-05-25","","University of Glasgow","Journal of Biological Chemistry","","","","American Society for Biochemistry & Molecular Biology (ASBMB)","2014","","0","","The Molecular Basis of Ligand Interaction at Free Fatty Acid Receptor 4","10.1074/jbc.m114.561449","0.9102564102564102"
"","","2100","","","","2014-05-28","","University of Glasgow","IMA Journal of Applied Mathematics","","","","Oxford University Press (OUP)","2014","","0","","Dynamic finite-strain modelling of the human left ventricle in health and disease using an immersed boundary-finite element method","10.1093/imamat/hxu029","1.0"
"","","1772.18","","","","2014-05-30","","University of Glasgow","Journal of African Earth Sciences","","","","Elsevier BV","2014","","0","","Intracontinental deformation in southern Africa during the late Cretaceous","10.1016/j.jafrearsci.2014.05.014","1.0"
"","","1500","","","","2014-06-02","","University of Glasgow","Journal of Animal Ecology","","","","Wiley-Blackwell","2014","","0","","Growth trajectory influences temperature preference in fish through an effect on metabolic rate","10.1111/1365-2656.12244","1.0"
"","","1500","","","","2014-06-02","","University of Glasgow","Functional Ecology","","","","Wiley-Blackwell","2014","","0","","Aerobic scope predicts dominance during early life in a tropical damselfish","10.1111/1365-2435.12296","1.0"
"","","2235","","","","2014-06-06","","University of Glasgow","Bioinformatics","","","","Oxford University Press (OUP)","2014","","0","","MetAssign: probabilistic annotation of metabolites from LC–MS data using a Bayesian clustering approach","10.1093/bioinformatics/btu370","1.0"
"","","2112","EUR","","","2014-06-09","","University of Glasgow","Space Science Reviews","","","","Springer Nature","2014","","0","","Electric Current Circuits in Astrophysics ","10.1007/s11214-014-0041-y","0.9879518072289156"
"","","1706.04","EUR","","","2014-06-09","","University of Glasgow","Computer Networks","","","","Elsevier BV","2014","","0","","A Two-level Markov Model for Packet Loss in UDP/IP-based Real-Time Video Applications Targeting Residential Users","10.1016/j.comnet.2014.05.013","1.0"
"","","1203.6","USD","","","2014-06-10","","University of Glasgow","Physical review letters","","","","American Physical Society (APS)","2014","","0","","Thermal noise of folding mirrors","10.1103/physrevd.90.042001","1.0"
"","","1531.2","USD","","","2014-06-11","","University of Glasgow","APL Materials","","","","AIP Publishing","2014","","0","","THE ATOMIC STRUCTURE AND CHEMISTRY OF FE-RICH STEPS ON ANTIPHASE BOUNDARIES IN TI-DOPED BI0.9ND0.15FEO3","10.1063/1.4884684","1.0"
"","","2144.57","EUR","","","2014-06-11","","University of Glasgow","Current Microbiology","","","","Springer Nature","2014","","0","","Optically trapped bacteria pairs reveal discrete motile response to control aggregation upon cell-cell approach","10.1007/s00284-014-0641-5","0.990990990990991"
"","","2040","","","","2014-06-16","","University of Glasgow","Journal of Micromechanics and Microengineering","","","","IOP Publishing","2014","","0","","Injection moulding of ultra high aspect ratio nanostructures using coated polymer tooling","10.1088/0960-1317/24/7/075019","1.0"
"","","1523.45","EUR","","","2014-06-16","","University of Glasgow","NIMA Proceedings","","","","Elsevier BV","2014","","0","","Development of planar pixel modules for the ATLAS high luminosity LHC tracker upgrade","10.1016/j.nima.2014.06.046","1.0"
"","","976.87","","","","2014-06-16","","University of Glasgow","IEEE Transactions on Electron Devices","","","","Institute of Electrical and Electronics Engineers (IEEE)","2014","","0","","Co-fabrication of Planar Gunn Diode and HEMT on InP Substrate","10.1109/ted.2014.2331368","0.9917355371900827"
"","","1500","","","","2014-06-16","","University of Glasgow","International Journal of Stroke","","","","Wiley-Blackwell","2014","","0","","Detection of ischemic penumbra using combined perfusion and T2* oxygen challenge imaging","10.1111/ijs.12327","1.0"
"","","1620","","","","2014-06-16","","University of Glasgow","BMJ Open ","","","","BMJ","2014","","0","","European Working Time Directive and doctors' health. A Systematic review of the available epidemiological evidence","10.1136/bmjopen-2014-004916","0.9912280701754386"
"","","2159.95","EUR","","","2014-06-20","","University of Glasgow","Marine Biology","","","","Springer Nature","2014","","0","","Inter- and intra-year variation in foraging areas of breeding kittiwakes (Rissa tridactyla)'","10.1007/s00227-014-2477-8","0.994535519125683"
"","","2040","","","","2014-06-20","","University of Glasgow","Journal of Physics B","","","","IOP Publishing","2014","","0","","Cavity-enabled high-dimensional quauntum key distribution","10.1088/0953-4075/47/15/155501","0.9911504424778761"
"","","2085.1","","","","2014-06-23","","University of Glasgow","Transformation Groups","","","","Springer Nature","2014","","0","","ENDOMORPHISMS OF VERMA MODULES FOR RATIONAL CHEREDNIK ALGEBRAS","10.1007/s00031-014-9281-x","1.0"
"","","1609.2","","","","2014-06-25","","University of Glasgow","Culture, Health & Sexuality ","","","","Informa UK Limited","2014","","1","","The stigmatisation of abortion: a qualitative analysis of print media in Great Britain in 2010","10.1080/13691058.2014.937463","1.0"
"","","1609.2","","","","2014-06-25","","University of Glasgow","African Journal of AIDS Research","","","","Informa UK Limited","2014","","0","","“Mum never loved me.” How structural factors influence adolescent sexual and reproductive health through parent-child connectedness: A qualitative study in rural Tanzania","10.2989/16085906.2014.945387","0.9823529411764705"
"","","1500","","","","2014-06-26","","University of Glasgow","Methods in Ecology and Evolution","","","","Wiley-Blackwell","2014","","0","","Extension of Nakagawa & Schielzeth’s R^2[GLMM] to random slopes models","10.1111/2041-210x.12225","0.9481481481481482"
"","","921.6","EUR","","","2014-06-27","","University of Glasgow","Frontiers in Endocrinology","","","","Frontiers Media SA","2014","","0","","Treatment of type 2 diabetes by free fatty acid receptor agonists","10.3389/fendo.2014.00137","1.0"
"","","976.87","","","","2014-06-30","","University of Glasgow","Electron Device Letters ","","","","Institute of Electrical and Electronics Engineers (IEEE)","2014","","0","","A Sub-Critical Barrier Thickness Normally-Off AlGaN/GaN MOS-HEMT","10.1109/led.2014.2334394","1.0"
"","","308.27","","","","2014-07-09","","University of Glasgow","British journal of Haematology ","","","","Wiley-Blackwell","2014","","0","","JAK2/STAT5 inhibition by nilotinib with ruxolitinib contributes to the elimination of chronic phase CML CD34+ cells in vitro and in vivo ","10.1182/blood-2013-12-545640","0.9420849420849421"
"","","2085.6","EUR","","","2014-07-09","","University of Glasgow","Stochastic Environmental Research and Risk Assessment'","","","","Springer Nature","2014","","0","","A comparison of clustering approaches for the study of the temporal coherence of multiple time series","10.1007/s00477-014-0931-2","1.0"
"","","964.21","","","","2014-07-10","","University of Glasgow","Spatial and Spatio-temporal Epidemiology","","","","Elsevier BV","2014","","0","","A Spatio-temporal model for estimating the long-term effects of air pollution on respiratory hospital admissions in Greater London","10.1016/j.sste.2014.05.001","1.0"
"","","1251.83","EUR","","","2014-07-11","","University of Glasgow","","","","","University of Nebraska Press","2014","","0","","Gender differences in the temporal voice areas","10.3389/fnins.2014.00228","1.0"
"","","2839","","","","2014-07-15","","University of Glasgow","American Journal of Epidemiology","","","","Oxford University Press (OUP)","2014","","0","","Assessing the representativeness of population-sampled health surveys through linkage to administrative data on alcohol-related outcomes ","10.1093/aje/kwu207","0.9963369963369964"
"","","1500","","","","2014-07-17","","University of Glasgow","Transactions of the Institute of British Geographers","","","","Wiley-Blackwell","2014","","0","","The Tactile Topologies of Contagion","",""
"","","2040","","","","2014-07-22","","University of Glasgow","Classical and Quantum Gravity","","","","IOP Publishing","2014","","0","","Passive Newtonian-noise suppression for gravitational-wave  observatories based on shaping of the local topography","10.1088/0264-9381/31/18/185011","0.986784140969163"
"","","784.06","USD","","","2014-07-22","","University of Glasgow","Optics Express","","","","Optical Society of America","2014","","0","","Four directional stereo-microscopy for 3D particle tracking with real-tim error evaluation","10.1364/oe.22.018662","0.9834254143646409"
"","","400","","","","2014-07-23","","University of Glasgow","Curtural Geographies","","","","SAGE Publications","2014","","0","","Sounding ruins: reflections on the production of an 'audio drift'","10.1177/1474474014542745","0.9692307692307692"
"","","402","","","","2014-07-23","","University of Glasgow","Journal of Virology ","","","","American Society for Microbiology","2014","","0","","A Single Amino Acid Substitution in the Novel H7N9 Influenza A Virus NS1 Protein Increases CPSF30 Binding and Virulence","10.1128/jvi.01567-14","1.0"
"","","1500","","","","2014-07-24","","University of Glasgow","Journal of the Royal Statistical Society: Series C (Applied Statistics)","","","","Wiley-Blackwell","2014","","0","","Spatially Weighted Functional Clustering of River Network Data","10.1111/rssc.12082","1.0"
"","","2296.07","USD","","","2014-07-25","","University of Glasgow","Journal of Organic Chemistry","","","","American Chemical Society (ACS)","2014","","0","","Preparation of Amino-Substituted Indenes and 1,4-Dihydronaphthalenes Using a One-Pot Multi-Reaction Approach: Total Synthesis of Oxybenzo[c]phenanthridine Alkaloids","10.1021/jo5014492","0.9969418960244648"
"","","2726.89","USD","","","2014-07-28","","University of Glasgow","Inorganic Chemistry","","","","American Chemical Society (ACS)","2014","","0","","Exchange interactions at the origin of slow relaxation of the magnetization in {TbCu3} and {DyCu3} single-molecule magnets","10.1021/ic500885r","1.0"
"","","1357.7","USD","","","2014-07-29","","University of Glasgow","Optics Express","","","","Optical Society of America","2014","","0","","Ge/SiGe Quantum Confined Stark Effect Electro-Absorption Modulation withLow Voltage Swing at ? = 1550 nm","10.1364/oe.22.019284","0.9856459330143541"
"","","1500","","","","2014-07-29","","University of Glasgow","Journal of Viral Hepatitis","","","","Wiley-Blackwell","2014","","0","","Elevated interferon stimulated gene transcription in peripheral blood mononuclear cells occurs in patients infected with genotype 1 but not genotype 3 hepatitis C virus","10.1111/jvh.12310","0.9940476190476191"
"","","1609.2","","","","2014-07-29","","University of Glasgow","Business History","","","","Informa UK Limited","2014","","0","","Trust is good, control is better”: The 1974 Herstatt-Bank Crisis and its Implications for International Regulatory Reform","10.1080/00076791.2014.950956","0.9794238683127572"
"","","1004.4","USD","","","2014-08-01","","University of Glasgow","PLOSONE","","","","Public Library of Science (PLoS)","2014","","0","","Maternal condition but not corticosterone is linked to offspring sex ratio in a passerine bird","10.1371/journal.pone.0110858","1.0"
"","","847.8","USD","","","2014-08-05","","University of Glasgow","Physical Review X","","","","American Physical Society (APS)","2014","","0","","Source redshifts from gravitational-wave observations of binary   neutron star mergers","10.1103/physrevx.4.041004","0.9882352941176471"
"","","2040","","","","2014-08-05","","University of Glasgow","Journal of Optics","","","","IOP Publishing","2014","","0","","Two-particle multi-mode interference","10.1088/2040-8978/16/10/105710","1.0"
"","","200","","","","2014-08-05","","University of Glasgow","Journal of Family History","","","","SAGE Publications","2014","","0","","State Regulation, Family Breakdown and Lone Motherhood: The Hidden Costs of World War I in Scotland’","","0"
"","","1080","","","","2014-08-13","","University of Glasgow","New Journal of Physics","","","","IOP Publishing","2014","","0","","Optical Dirac equation","10.1088/1367-2630/16/9/093008","1.0"
"","","1227.99","","","","2014-08-13","","University of Glasgow","Journal of Neuroscience Methods","","","","Elsevier BV","2014","","0","","Cluster-based computational methods for mass univariate analyses of event-related brain potentials/fields: a simulation study","10.1016/j.jneumeth.2014.08.003","1.0"
"","","1500","","","","2014-08-14","","University of Glasgow","Quarterly Journal of Engineering Geology and Hydrogeology","","","","The Geological Society","2014","","0","","Quantification of potential macroseismic effects of the induced seismicity that might result from hydraulic fracturing for shale gas exploitation in the UK ","10.1144/qjegh2014-011","0.9967845659163987"
"","","2040","","","","2014-08-15","","University of Glasgow","Laser Physics Letters","","","","IOP Publishing","2014","","0","","240 GHz pedestal-free colliding-pulse mode-locked laser with a wide operation range","10.1088/1612-2011/11/11/115804","0.9879518072289156"
"","","2040","","","","2014-08-15","","University of Glasgow","Journal of Optics","","","","IOP Publishing","2014","","0","","Entropic uncertainty minimum for angle and angular momentum","10.1088/2040-8978/16/10/105404","1.0"
"","","1657","","","","2014-08-20","","University of Glasgow","Journal of Epidemiology and Community Health","","","","BMJ","2014","","0","","Is changing status through housing tenure associated with changes in mental health? Results from the British Household Panel Survey","10.1136/jech-2014-203990","1.0"
"","","200","","","","2014-08-20","","University of Glasgow","Statistical Modelling","","","","SAGE Publications","2014","","0","","Quasi-periodic spatiotemporal models of brain activation in single-trial MEG experiments","10.1177/1471082x14524673","0.9772727272727273"
"","","1123.03","USD","","","2014-08-22","","University of Glasgow","Journal of Tissue Engineering ","","","","SAGE Publications","2014","","0","","SCANNING ELECTRON MICROSCOPICAL OBSERVATION OF AN OSTEOBLAST/OSTEOCLAST CO-CULTURE ON MICROPATTERNED ORTHOPAEDIC CERAMICS","10.1177/2041731414552114","1.0"
"","","300","","","","2014-08-22","","University of Glasgow","Policy and Politics","","","","Policy press","2014","","0","","Bourdieu and the Big Society: empowering the powerful in public service provision?","10.1332/030557314x14080105693951","1.0"
"","","1374.72","","","","2014-08-26","","University of Glasgow","Optics Express","","","","Optical Society of America","2014","","0","","Mode-locking and frequency mixing at THz pulse repetition rates in a sampled-grating DBR mode-locked laser","10.1364/oe.22.021690","1.0"
"","","2059.2","","","","2014-08-26","","University of Glasgow","Animal Behaviour","","","","Elsevier BV","2014","","0","","Maternal inbreeding reduces parental care in the zebra finch, Taeniopygia guttata ","10.1016/j.anbehav.2014.09.012","0.9938650306748467"
"","","1740","","","","2014-08-28","","University of Glasgow","Lab on a chip","","","","Royal Society of Chemistry (RSC)","2014","","0","","Microfluidic resonant cavities enable acoustophoresis on a disposable superstrate","10.1039/c4lc00749b","1.0"
"","","1350","","","","2014-08-29","","University of Glasgow","PLOS One","","","","Public Library of Science (PLoS)","2014","","0","","A complex network of interactions between mitotic kinases, phosphatases and ESCRT proteins regulates septation and membrane trafficking in S. pombe","10.1371/journal.pone.0111789","1.0"
"","","1500","","","","2014-09-01","","University of Glasgow","Journal of Tissue Engineering and Regenerative Medicine ","","","","Wiley-Blackwell","2014","","0","","Using Biomaterials to Study Stem Cell Mechanotransduction, Growth and Differentiation","10.1002/term.1957","1.0"
"","","2285.17","EUR","","","2014-09-02","","University of Glasgow","Mechanics and Physics of Solids","","","","Elsevier BV","2014","","0","","Modelling volumetric growth in a thick walled fibre reinforced artery","10.1016/j.jmps.2014.09.003","1.0"
"","","2077.43","EUR","","","2014-09-03","","University of Glasgow","Geochimica et Cosmochimca Acta","","","","Elsevier BV","2014","","0","","Aragonite, breunnerite, calcite and dolomite in the CM carbonaceous chondrites: High fidelity recorders of progressive parent body aqueous alteration","10.1016/j.gca.2014.08.019","1.0"
"","","1500","","","","2014-09-03","","University of Glasgow","EMBO Journal","","","","Wiley-Blackwell","2014","","0","","The chemokine receptors ACKR2 and CCR2 reciprocally regulate lymphatic vessel density.","10.15252/embj.201488887","0.9941520467836257"
"","","1472.53","USD","","","2014-09-03","","University of Glasgow","PNAS","","","","PNAS","2014","","0","","A language-familiarity effect for speaker discrimination without comprehension","10.1073/pnas.1401383111","1.0"
