institution;period;euro;doi;is_hybrid
Technische Universität München;2021;1.837,00;10.1038/s41598-020-80952-4;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-81117-7;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-81584-y;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-81601-0;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-81960-8;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-83506-4;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-84011-4;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-84421-4;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-84906-2;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-85031-w;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-85122-8;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-86173-7;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-86641-0;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-86863-2;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-87121-1;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-87195-x;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-87294-9;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-88061-6;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-88324-2;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-88475-2;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-88655-0;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-90849-5;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-91043-3;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-91667-5;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-91690-6;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-91861-5;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-92039-9;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-92413-7;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-92842-4;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-92969-4;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-93030-0;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-93393-4;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-93700-z;FALSE
Technische Universität München;2021;1.837,00;10.1038/s41598-021-93716-5;FALSE
Technische Universität München;2021;1.842,55;10.1186/s12864-021-07855-0;FALSE
Technische Universität München;2021;1.842,55;10.1186/s12864-021-08181-1;FALSE
Technische Universität München;2021;1.842,55;10.1186/s12879-021-05998-9;FALSE
Technische Universität München;2021;1.842,55;10.1186/s12879-021-06940-9;FALSE
Technische Universität München;2021;1.846,89;10.3390/su13042217;FALSE
Technische Universität München;2021;1.850,75;10.3390/su13073898;FALSE
Technische Universität München;2021;1.855,80;10.3390/electronics10192373;FALSE
Technische Universität München;2021;1.863,09;10.3390/ijerph18010032;FALSE
Technische Universität München;2021;1.866,48;10.1371/journal.pone.0255060;FALSE
Technische Universität München;2021;1.866,48;10.1371/journal.pone.0259086;FALSE
Technische Universität München;2021;1.876,43;10.3389/fpsyg.2021.664511;FALSE
Technische Universität München;2021;1.882,07;10.3390/su13116136;FALSE
Technische Universität München;2021;1.882,08;10.3390/su13105565;FALSE
Technische Universität München;2021;1.894,04;10.3390/cancers13051044;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12871-021-01363-0;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12872-021-02398-4;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12880-021-00621-4;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12883-021-02424-0;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12891-021-04009-x;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12891-021-04158-z;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12891-021-04193-w;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12891-021-04241-5;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12891-021-04327-0;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12891-021-04468-2;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12891-021-04572-3;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12891-021-04673-z;FALSE
Technische Universität München;2021;1.894,48;10.1186/s12891-021-04775-8;FALSE
Technische Universität München;2021;1.896,28;10.3390/su13147944;FALSE
Technische Universität München;2021;1.896,28;10.3390/su13158281;FALSE
Technische Universität München;2021;1.896,28;10.3390/su13158414;FALSE
Technische Universität München;2021;1.896,28;10.3390/su13168991;FALSE
Technische Universität München;2021;1.896,28;10.3390/su13168996;FALSE
Technische Universität München;2021;1.897,30;10.1039/D1JA00274K;TRUE
Technische Universität München;2021;1.903,05;10.1186/s12885-020-07769-2;FALSE
Technische Universität München;2021;1.904,00;10.1002/cjp2.257;FALSE
Technische Universität München;2021;1.904,00;10.1049/itr2.12160;FALSE
Technische Universität München;2021;1.924,23;10.5194/os-17-35-2021;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41597-021-01060-0;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-00131-x;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-00822-5;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-00885-4;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-01162-0;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-02405-w;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-02960-2;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-03376-8;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-03431-4;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-04047-4;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-04071-4;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-94750-z;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-95614-2;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-95717-w;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-96719-4;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-96836-0;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-97717-2;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-98151-0;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-98655-9;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-99076-4;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-99263-3;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-99709-8;FALSE
Technische Universität München;2021;1.933,69;10.1038/s41598-021-99742-7;FALSE
Technische Universität München;2021;1.937,11;10.3390/s21124118;FALSE
Technische Universität München;2021;1.944,09;10.3390/app11051983;FALSE
Technische Universität München;2021;1.944,09;10.3390/ma14020389;FALSE
Technische Universität München;2021;1.944,09;10.3390/ma14030586;FALSE
Technische Universität München;2021;1.944,09;10.3390/s21030745;FALSE
Technische Universität München;2021;1.944,09;10.3390/s21041465;FALSE
Technische Universität München;2021;1.948,16;10.3390/app11052242;FALSE
Technische Universität München;2021;1.948,16;10.3390/app11062599;FALSE
Technische Universität München;2021;1.948,16;10.3390/app11083456;FALSE
Technische Universität München;2021;1.948,16;10.3390/en14071851;FALSE
Technische Universität München;2021;1.948,16;10.3390/foods10030547;FALSE
Technische Universität München;2021;1.948,16;10.3390/foods10040796;FALSE
Technische Universität München;2021;1.948,16;10.3390/foods10040822;FALSE
Technische Universität München;2021;1.948,16;10.3390/rs13071301;FALSE
Technische Universität München;2021;1.948,16;10.3390/w13060818;FALSE
Technische Universität München;2021;1.948,16;10.3390/w13060841;FALSE
Technische Universität München;2021;1.951,73;10.3390/s21165572;FALSE
Technische Universität München;2021;1.951,73;10.3390/s21165614;FALSE
Technische Universität München;2021;1.958,90;10.3390/su131810089;FALSE
Technische Universität München;2021;1.958,90;10.3390/su131810155;FALSE
Technische Universität München;2021;1.958,90;10.3390/su131910550;FALSE
Technische Universität München;2021;1.958,90;10.3390/su131910612;FALSE
Technische Universität München;2021;1.958,90;10.3390/su131910788;FALSE
Technische Universität München;2021;1.958,90;10.3390/su132212476;FALSE
Technische Universität München;2021;1.960,79;10.1186/s12888-021-03233-y;FALSE
Technische Universität München;2021;1.960,79;10.1186/s40001-021-00487-w;FALSE
Technische Universität München;2021;1.960,79;10.1186/s40001-021-00511-z;FALSE
Technische Universität München;2021;1.960,79;10.1186/s40001-021-00623-6;FALSE
Technische Universität München;2021;1.960,94;10.2196/26063;FALSE
Technische Universität München;2021;1.969,65;10.1186/s12885-021-08488-y;FALSE
Technische Universität München;2021;1.969,65;10.1186/s12885-021-08776-7;FALSE
Technische Universität München;2021;1.981,13;10.3390/app11083685;FALSE
Technische Universität München;2021;1.981,13;10.3390/app11094303;FALSE
Technische Universität München;2021;1.981,13;10.3390/app11125598;FALSE
Technische Universität München;2021;1.981,13;10.3390/catal11050542;FALSE
Technische Universität München;2021;1.981,13;10.3390/catal11060662;FALSE
Technische Universität München;2021;1.981,13;10.3390/foods10051090;FALSE
Technische Universität München;2021;1.981,13;10.3390/foods10061163;FALSE
Technische Universität München;2021;1.981,13;10.3390/foods10061361;FALSE
Technische Universität München;2021;1.981,13;10.3390/microorganisms9051049;FALSE
Technische Universität München;2021;1.981,13;10.3390/microorganisms9051066;FALSE
Technische Universität München;2021;1.981,13;10.3390/pr9050881;FALSE
Technische Universität München;2021;1.981,13;10.3390/w13091162;FALSE
Technische Universität München;2021;1.983,00;10.1073/pnas.2017047118;TRUE
Technische Universität München;2021;1.996,09;10.3390/app11167201;FALSE
Technische Universität München;2021;1.996,09;10.3390/app11167564;FALSE
Technische Universität München;2021;1.996,09;10.3390/cells10082081;FALSE
Technische Universität München;2021;1.996,09;10.3390/en14133800;FALSE
Technische Universität München;2021;1.996,09;10.3390/en14154655;FALSE
Technische Universität München;2021;1.996,09;10.3390/foods10061426;FALSE
Technische Universität München;2021;1.996,09;10.3390/foods10071483;FALSE
Technische Universität München;2021;1.996,09;10.3390/foods10071602;FALSE
Technische Universität München;2021;1.996,09;10.3390/foods10071606;FALSE
Technische Universität München;2021;1.996,09;10.3390/foods10071607;FALSE
Technische Universität München;2021;1.996,09;10.3390/foods10081733;FALSE
Technische Universität München;2021;1.996,09;10.3390/ma14154072;FALSE
Technische Universität München;2021;1.996,09;10.3390/microorganisms9071467;FALSE
Technische Universität München;2021;1.996,09;10.3390/molecules26144208;FALSE
Technische Universität München;2021;1.996,09;10.3390/polym13152443;FALSE
Technische Universität München;2021;1.996,09;10.3390/w13152138;FALSE
Technische Universität München;2021;1.996,09;10.3390/w13162252;FALSE
Technische Universität München;2021;1.999,20;10.1111/1751-7915.13941;FALSE
Technische Universität München;2021;1.999,20;10.1111/1751-7915.13983;FALSE
Technische Universität München;2021;1.999,20;10.3389/fbioe.2021.704681;FALSE
Technische Universität München;2021;1.999,20;10.3389/fbioe.2021.722202;FALSE
Technische Universität München;2021;1.999,20;10.3389/fcell.2021.705410;FALSE
Technische Universität München;2021;1.999,20;10.3389/fcell.2021.725474;FALSE
Technische Universität München;2021;1.999,20;10.3389/fcell.2021.726866;FALSE
Technische Universität München;2021;1.999,20;10.3389/fcell.2021.729061;FALSE
Technische Universität München;2021;1.999,20;10.3389/fchem.2021.715372;FALSE
Technische Universität München;2021;1.999,20;10.3389/fcvm.2021.618294;FALSE
Technische Universität München;2021;1.999,20;10.3389/fcvm.2021.751052;FALSE
Technische Universität München;2021;1.999,20;10.3389/feart.2021.572925;FALSE
Technische Universität München;2021;1.999,20;10.3389/fevo.2021.661550;FALSE
Technische Universität München;2021;1.999,20;10.3389/fevo.2021.684175;FALSE
Technische Universität München;2021;1.999,20;10.3389/fimmu.2021.734246;FALSE
Technische Universität München;2021;1.999,20;10.3389/fimmu.2021.763243;FALSE
Technische Universität München;2021;1.999,20;10.3389/fmars.2021.647607;FALSE
Technische Universität München;2021;1.999,20;10.3389/fmicb.2021.655390;FALSE
Technische Universität München;2021;1.999,20;10.3389/fmicb.2021.664061;FALSE
