"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Freiburg U",2015,1311.38,"10.5194/bgd-12-555-2015",FALSE,"Copernicus GmbH","Biogeosciences Discussions","1810-6285",NA,"1810-6285","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,1045.6,"10.4236/oje.2015.55017",FALSE,"Scientific Research Publishing, Inc,","Open Journal of Ecology","2162-1985","2162-1985","2162-1993","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Freiburg U",2015,1523.2,"10.1186/s12885-015-1453-0",FALSE,"Springer Nature","BMC Cancer","1471-2407",NA,"1471-2407",NA,TRUE,"26022223","PMC4448282",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12870-015-0617-z",FALSE,"Springer Nature","BMC Plant Biology","1471-2229",NA,"1471-2229",NA,TRUE,"26458871","PMC4604091",NA,NA,TRUE
"Freiburg U",2015,1523.2,"10.1186/s12890-015-0006-2",FALSE,"Springer Nature","BMC Pulmonary Medicine","1471-2466","1471-2466",NA,NA,TRUE,"25879889","PMC4340788",NA,NA,TRUE
"Freiburg U",2015,1523.2,"10.1186/s12913-015-0888-y",FALSE,"Springer Nature","BMC Health Services Research","1472-6963",NA,"1472-6963",NA,TRUE,"26099228","PMC4477418",NA,NA,TRUE
"Freiburg U",2015,1523.2,"10.1186/s12943-015-0313-5",FALSE,"Springer Nature","Molecular Cancer","1476-4598","1476-4598",NA,NA,TRUE,"25744631","PMC4339013",NA,NA,TRUE
"Freiburg U",2015,1523.2,"10.1186/s12906-015-0757-6",FALSE,"Springer Nature","BMC Complementary and Alternative Medicine","1472-6882",NA,"1472-6882",NA,TRUE,"26156760","PMC4496844",NA,NA,TRUE
"Freiburg U",2015,1594.6,"10.1186/s12885-015-1190-4",FALSE,"Springer Nature","BMC Cancer","1471-2407",NA,"1471-2407",NA,TRUE,"25886191","PMC4383066",NA,NA,TRUE
"Freiburg U",2015,1594.6,"10.1186/s12885-015-1088-1",FALSE,"Springer Nature","BMC Cancer","1471-2407","1471-2407",NA,NA,TRUE,"25884434","PMC4355463",NA,NA,TRUE
"Freiburg U",2015,1708.84,"10.1186/s40709-015-0029-0",FALSE,"Springer Nature","Journal of Biological Research-Thessaloniki","2241-5793",NA,"2241-5793",NA,TRUE,"26000253","PMC4440280",NA,NA,TRUE
"Freiburg U",2015,1618.4,"10.1186/s12957-015-0525-6",FALSE,"Springer Nature","World Journal of Surgical Oncology","1477-7819","1477-7819",NA,NA,TRUE,"25880929","PMC4364492",NA,NA,TRUE
"Freiburg U",2015,1594.6,"10.1186/s12885-015-1454-z",FALSE,"Springer Nature","BMC Cancer","1471-2407",NA,"1471-2407",NA,TRUE,"26148681","PMC4494160",NA,NA,TRUE
"Freiburg U",2015,1594.6,"10.1186/s12881-015-0199-5",FALSE,"Springer Nature","BMC Medical Genetics","1471-2350",NA,"1471-2350",NA,TRUE,"26223887","PMC4557819",NA,NA,TRUE
"Freiburg U",2015,1408.96,"10.1186/s40337-015-0054-2",FALSE,"Springer Nature","Journal of Eating Disorders","2050-2974",NA,"2050-2974",NA,TRUE,"25908976","PMC4407712",NA,NA,TRUE
"Freiburg U",2015,1765.96,"10.1186/s13023-015-0263-4",FALSE,"Springer Nature","Orphanet Journal of Rare Diseases","1750-1172",NA,"1750-1172",NA,TRUE,"25896794","PMC4411722",NA,NA,TRUE
"Freiburg U",2015,1594.6,"10.1186/s12859-015-0650-9",FALSE,"Springer Nature","BMC Bioinformatics","1471-2105",NA,"1471-2105",NA,TRUE,"26153434","PMC4495685",NA,NA,TRUE
"Freiburg U",2015,1594.6,"10.1186/s13014-014-0322-3",FALSE,"Springer Nature","Radiation Oncology","1748-717X","1748-717X",NA,NA,TRUE,"25601225","PMC4307130",NA,NA,TRUE
"Freiburg U",2015,1827.84,"10.1186/s13643-015-0026-2",FALSE,"Springer Nature","Systematic Reviews","2046-4053",NA,"2046-4053",NA,TRUE,"25875199","PMC4376084",NA,NA,TRUE
"Freiburg U",2015,1594.6,"10.1186/s12891-015-0755-3",FALSE,"Springer Nature","BMC Musculoskeletal Disorders","1471-2474",NA,"1471-2474",NA,TRUE,"26459628","PMC4603916",NA,NA,TRUE
"Freiburg U",2015,1827.84,"10.1186/s13018-015-0196-6",FALSE,"Springer Nature","Journal of Orthopaedic Surgery and Research","1749-799X",NA,"1749-799X",NA,TRUE,"25924919","PMC4424495",NA,NA,TRUE
"Freiburg U",2015,1408.96,"10.1186/s13030-015-0039-z",FALSE,"Springer Nature","BioPsychoSocial Medicine","1751-0759",NA,"1751-0759","http://creativecommons.org/licenses/by/4.0",TRUE,"25969694","PMC4427919",NA,NA,TRUE
"Freiburg U",2015,1594.6,"10.1186/s12885-015-1967-5",FALSE,"Springer Nature","BMC Cancer","1471-2407",NA,"1471-2407",NA,TRUE,"26675484","PMC4682236",NA,NA,TRUE
"Freiburg U",2015,1827.84,"10.1186/s13018-015-0171-2",FALSE,"Springer Nature","Journal of Orthopaedic Surgery and Research","1749-799X","1749-799X",NA,NA,TRUE,"25890204","PMC4359539",NA,NA,TRUE
"Freiburg U",2015,894.88,"10.1186/s40537-015-0017-0",FALSE,"Springer Nature","Journal of Big Data","2196-1115",NA,"2196-1115",NA,TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,1899.24,"10.1186/s13018-015-0184-x",FALSE,"Springer Nature","Journal of Orthopaedic Surgery and Research","1749-799X",NA,"1749-799X",NA,TRUE,"25889148","PMC4389969",NA,NA,TRUE
"Freiburg U",2015,1356.6,"10.1186/s40634-015-0023-3",FALSE,"Springer Nature","Journal of Experimental Orthopaedics","2197-1153",NA,"2197-1153",NA,TRUE,"26914875","PMC4545228",NA,NA,TRUE
"Freiburg U",2015,1661.24,"10.1186/s12888-015-0486-x",FALSE,"Springer Nature","BMC Psychiatry","1471-244X",NA,"1471-244X",NA,TRUE,"25963777","PMC4436095",NA,NA,TRUE
