"institution","openapc_institution","period","euro","doi","is_hybrid","opt_out","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement","group_id"
Universität Wien,University of Vienna,2024,,10.1021/acs.jctc.4c00169,TRUE,FALSE,American Chemical Society (ACS),Journal of Chemical Theory and Computation,1549-9626,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.jctc.4c00224,TRUE,FALSE,American Chemical Society (ACS),Journal of Chemical Theory and Computation,1549-9626,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.jctc.4c00304,TRUE,FALSE,American Chemical Society (ACS),Journal of Chemical Theory and Computation,1549-9626,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jctc.4c01580,TRUE,FALSE,American Chemical Society (ACS),Journal of Chemical Theory and Computation,1549-9626,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.jmedchem.3c02342,TRUE,FALSE,American Chemical Society (ACS),Journal of Medicinal Chemistry,1520-4804,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jmedchem.3c02454,TRUE,FALSE,American Chemical Society (ACS),Journal of Medicinal Chemistry,1520-4804,,,,CC BY,,,,,,,acs2024kemoe,
Universität für Bodenkultur Wien,University of Natural Resources and Life Sciences Vienna (BOKU),2024,,10.1021/acs.jmedchem.4c00037,TRUE,FALSE,American Chemical Society (ACS),Journal of Medicinal Chemistry,1520-4804,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.jmedchem.4c00259,TRUE,FALSE,American Chemical Society (ACS),Journal of Medicinal Chemistry,1520-4804,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.jmedchem.4c01128,TRUE,FALSE,American Chemical Society (ACS),Journal of Medicinal Chemistry,1520-4804,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jmedchem.4c01865,TRUE,FALSE,American Chemical Society (ACS),Journal of Medicinal Chemistry,1520-4804,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jmedchem.4c02006,TRUE,FALSE,American Chemical Society (ACS),Journal of Medicinal Chemistry,1520-4804,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.jnatprod.4c00847,TRUE,FALSE,American Chemical Society (ACS),Journal of Natural Products,1520-6025,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.joc.3c02867,TRUE,FALSE,American Chemical Society (ACS),The Journal of Organic Chemistry,1520-6904,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.joc.4c00067,TRUE,FALSE,American Chemical Society (ACS),The Journal of Organic Chemistry,1520-6904,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.joc.4c00759,TRUE,FALSE,American Chemical Society (ACS),The Journal of Organic Chemistry,1520-6904,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.joc.4c01147,TRUE,FALSE,American Chemical Society (ACS),The Journal of Organic Chemistry,1520-6904,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jpca.3c06724,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry A,1520-5215,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jpca.3c06902,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry A,1520-5215,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jpca.3c08274,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry A,1520-5215,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jpca.4c00148,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry A,1520-5215,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jpca.4c00342,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry A,1520-5215,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.jpca.4c00964,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry A,1520-5215,,,,CC BY,,,,,,,acs2024kemoe,
Universität Graz,University of Graz,2024,,10.1021/acs.jpca.4c02851,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry A,1520-5215,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jpca.4c06626,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry A,1520-5215,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.jpcb.3c07356,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry B,1520-5207,,,,CC BY,,,,,,,acs2024kemoe,
Universität für Bodenkultur Wien,University of Natural Resources and Life Sciences Vienna (BOKU),2024,,10.1021/acs.jpcb.3c08469,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry B,1520-5207,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.jpcb.4c01417,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry B,1520-5207,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.jpcb.4c06924,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry B,1520-5207,,,,CC BY,,,,,,,acs2024kemoe,
Universität Salzburg,Salzburg U,2024,,10.1021/acs.jpcc.3c08056,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry C,1932-7455,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acs.jpcc.3c08262,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry C,1932-7455,,,,CC BY,,,,,,,acs2024kemoe,
Universität Graz,University of Graz,2024,,10.1021/acs.jpcc.4c00559,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry C,1932-7455,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.jpcc.4c00609,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry C,1932-7455,,,,CC BY,,,,,,,acs2024kemoe,
Universität für Bodenkultur Wien,University of Natural Resources and Life Sciences Vienna (BOKU),2024,,10.1021/acs.jpcc.4c00865,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry C,1932-7455,,,,CC BY,,,,,,,acs2024kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1021/acs.jpcc.4c00958,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry C,1932-7455,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.jpcc.4c03588,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry C,1932-7455,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.jpcc.4c04537,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry C,1932-7455,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jpcc.4c05132,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry C,1932-7455,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jpcc.4c06256,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry C,1932-7455,,,,CC BY,,,,,,,acs2024kemoe,
Universität Graz,University of Graz,2024,,10.1021/acs.jpcc.4c07387,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry C,1932-7455,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.jpclett.3c03411,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry Letters,1948-7185,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.jpclett.4c03134,TRUE,FALSE,American Chemical Society (ACS),The Journal of Physical Chemistry Letters,1948-7185,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.jproteome.3c00761,TRUE,FALSE,American Chemical Society (ACS),Journal of Proteome Research,1535-3907,,,,CC BY,,,,,,,acs2024kemoe,
Medizinische Universität Graz,Medical University of Graz,2024,,10.1021/acs.jproteome.4c00082,TRUE,FALSE,American Chemical Society (ACS),Journal of Proteome Research,1535-3907,,,,CC BY,,,,,,,acs2024kemoe,
Medizinische Universität Graz,Medical University of Graz,2024,,10.1021/acs.jproteome.4c00153,TRUE,FALSE,American Chemical Society (ACS),Journal of Proteome Research,1535-3907,,,,CC BY,,,,,,,acs2024kemoe,
Medizinische Universität Wien,Medical University of Vienna,2024,,10.1021/acs.jproteome.4c00646,TRUE,FALSE,American Chemical Society (ACS),Journal of Proteome Research,1535-3907,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.langmuir.3c03079,TRUE,FALSE,American Chemical Society (ACS),Langmuir,1520-5827,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.langmuir.3c03639,TRUE,FALSE,American Chemical Society (ACS),Langmuir,1520-5827,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acs.langmuir.4c00743,TRUE,FALSE,American Chemical Society (ACS),Langmuir,1520-5827,,,,CC BY,,,,,,,acs2024kemoe,
Universität für Bodenkultur Wien,University of Natural Resources and Life Sciences Vienna (BOKU),2024,,10.1021/acs.langmuir.4c01684,TRUE,FALSE,American Chemical Society (ACS),Langmuir,1520-5827,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.langmuir.4c02862,TRUE,FALSE,American Chemical Society (ACS),Langmuir,1520-5827,,,,CC BY,,,,,,,acs2024kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1021/acs.langmuir.4c03073,TRUE,FALSE,American Chemical Society (ACS),Langmuir,1520-5827,,,,CC BY,,,,,,,acs2024kemoe,
Universität Salzburg,Salzburg U,2024,,10.1021/acs.langmuir.4c03390,TRUE,FALSE,American Chemical Society (ACS),Langmuir,1520-5827,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.macromol.3c02203,TRUE,FALSE,American Chemical Society (ACS),Macromolecules,1520-5835,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.macromol.4c01656,TRUE,FALSE,American Chemical Society (ACS),Macromolecules,1520-5835,,,,CC BY,,,,,,,acs2024kemoe,
Medizinische Universität Wien,Medical University of Vienna,2024,,10.1021/acs.molpharmaceut.3c01036,TRUE,FALSE,American Chemical Society (ACS),Molecular Pharmaceutics,1543-8392,,,,CC BY,,,,,,,acs2024kemoe,
Universität Graz,University of Graz,2024,,10.1021/acs.molpharmaceut.4c00392,TRUE,FALSE,American Chemical Society (ACS),Molecular Pharmaceutics,1543-8392,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acs.nanolett.3c04991,TRUE,FALSE,American Chemical Society (ACS),Nano Letters,1530-6992,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.nanolett.4c02902,TRUE,FALSE,American Chemical Society (ACS),Nano Letters,1530-6992,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acs.oprd.3c00497,TRUE,FALSE,American Chemical Society (ACS),Organic Process Research & Development,1520-586X,,,,CC BY,,,,,,,acs2024kemoe,
Universität Graz,University of Graz,2024,,10.1021/acs.oprd.3c00508,TRUE,FALSE,American Chemical Society (ACS),Organic Process Research & Development,1520-586X,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acs.oprd.4c00168,TRUE,FALSE,American Chemical Society (ACS),Organic Process Research & Development,1520-586X,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acs.organomet.3c00398,TRUE,FALSE,American Chemical Society (ACS),Organometallics,1520-6041,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acs.organomet.3c00531,TRUE,FALSE,American Chemical Society (ACS),Organometallics,1520-6041,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.orglett.4c00695,TRUE,FALSE,American Chemical Society (ACS),Organic Letters,1523-7052,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acs.orglett.4c01269,TRUE,FALSE,American Chemical Society (ACS),Organic Letters,1523-7052,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acs.orglett.4c03192,TRUE,FALSE,American Chemical Society (ACS),Organic Letters,1523-7052,,,,CC BY,,,,,,,acs2024kemoe,
Universität für Bodenkultur Wien,University of Natural Resources and Life Sciences Vienna (BOKU),2024,,10.1021/acsabm.4c01587,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Bio Materials,2576-6422,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acsaelm.4c01042,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Electronic Materials,2637-6113,,,,CC BY,,,,,,,acs2024kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1021/acsaelm.4c01678,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Electronic Materials,2637-6113,,,,CC BY,,,,,,,acs2024kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1021/acsaem.4c02132,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Energy Materials,2574-0962,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acsaenm.4c00534,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Engineering Materials,2771-9545,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acsami.3c17110,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1021/acsami.3c17923,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acsami.3c18630,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acsami.3c18674,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acsami.3c19226,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acsami.4c05477,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acsami.4c07766,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Universität Salzburg,Salzburg U,2024,,10.1021/acsami.4c10004,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1021/acsami.4c10532,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acsami.4c11013,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Universität für Bodenkultur Wien,University of Natural Resources and Life Sciences Vienna (BOKU),2024,,10.1021/acsami.4c11035,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1021/acsami.4c11057,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Universität Salzburg,Salzburg U,2024,,10.1021/acsami.4c13183,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acsami.4c13314,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Materials & Interfaces,1944-8252,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acsanm.4c04763,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Nano Materials,2574-0970,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acsaom.4c00110,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Optical Materials,2771-9855,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acsaom.4c00280,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Optical Materials,2771-9855,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acsapm.4c00261,TRUE,FALSE,American Chemical Society (ACS),ACS Applied Polymer Materials,2637-6105,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acsbiomaterials.3c01803,TRUE,FALSE,American Chemical Society (ACS),ACS Biomaterials Science & Engineering,2373-9878,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acsbiomaterials.4c01412,TRUE,FALSE,American Chemical Society (ACS),ACS Biomaterials Science & Engineering,2373-9878,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acscatal.3c05653,TRUE,FALSE,American Chemical Society (ACS),ACS Catalysis,2155-5435,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acscatal.3c06203,TRUE,FALSE,American Chemical Society (ACS),ACS Catalysis,2155-5435,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acscatal.4c00276,TRUE,FALSE,American Chemical Society (ACS),ACS Catalysis,2155-5435,,,,CC BY,,,,,,,acs2024kemoe,
Universität Graz,University of Graz,2024,,10.1021/acscatal.4c01268,TRUE,FALSE,American Chemical Society (ACS),ACS Catalysis,2155-5435,,,,CC BY,,,,,,,acs2024kemoe,
Universität Graz,University of Graz,2024,,10.1021/acscatal.4c02169,TRUE,FALSE,American Chemical Society (ACS),ACS Catalysis,2155-5435,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acscatal.4c03364,TRUE,FALSE,American Chemical Society (ACS),ACS Catalysis,2155-5435,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acscatal.4c03544,TRUE,FALSE,American Chemical Society (ACS),ACS Catalysis,2155-5435,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acscatal.4c03805,TRUE,FALSE,American Chemical Society (ACS),ACS Catalysis,2155-5435,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acscatal.4c05246,TRUE,FALSE,American Chemical Society (ACS),ACS Catalysis,2155-5435,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acscatal.4c05616,TRUE,FALSE,American Chemical Society (ACS),ACS Catalysis,2155-5435,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acselectrochem.4c00031,TRUE,FALSE,American Chemical Society (ACS),ACS Electrochemistry,2997-0571,,,,CC BY,,,,,,,acs2024kemoe,
Medizinische Universität Wien,Medical University of Vienna,2024,,10.1021/acsestwater.4c00133,TRUE,FALSE,American Chemical Society (ACS),ACS ES&T Water,2690-0637,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acsestwater.4c00263,TRUE,FALSE,American Chemical Society (ACS),ACS ES&T Water,2690-0637,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acsinfecdis.4c00192,TRUE,FALSE,American Chemical Society (ACS),ACS Infectious Diseases,2373-8227,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acsmacrolett.3c00567,TRUE,FALSE,American Chemical Society (ACS),ACS Macro Letters,2161-1653,,,,CC BY,,,,,,,acs2024kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1021/acsmaterialsau.4c00042,FALSE,FALSE,American Chemical Society (ACS),ACS Materials Au,2694-2461,,,,CC BY,,,,,,,acs2024kemoe,
Universität für Bodenkultur Wien,University of Natural Resources and Life Sciences Vienna (BOKU),2024,,10.1021/acsmeasuresciau.4c00044,FALSE,FALSE,American Chemical Society (ACS),ACS Measurement Science Au,2694-250X,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acsnano.3c12539,TRUE,FALSE,American Chemical Society (ACS),ACS Nano,1936-086X,,,,CC BY,,,,,,,acs2024kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1021/acsnano.4c00360,TRUE,FALSE,American Chemical Society (ACS),ACS Nano,1936-086X,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acsnano.4c08781,TRUE,FALSE,American Chemical Society (ACS),ACS Nano,1936-086X,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acsomega.3c07405,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acsomega.3c07621,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acsomega.3c07976,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acsomega.3c08836,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Veterinärmedizinische Universität Wien,University of Veterinary Medicine Vienna,2024,,10.1021/acsomega.3c10040,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acsomega.3c10045,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Johannes Kepler Universität Linz,Johannes Kepler University Linz,2024,,10.1021/acsomega.4c00031,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acsomega.4c00513,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acsomega.4c01314,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Universität für Bodenkultur Wien,University of Natural Resources and Life Sciences Vienna (BOKU),2024,,10.1021/acsomega.4c01897,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Wien,TU Wien,2024,,10.1021/acsomega.4c04389,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acsomega.4c04517,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Universität Wien,University of Vienna,2024,,10.1021/acsomega.4c04893,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Universitäts- und Landesbibliothek Tirol,Universitäts- und Landesbibliothek Tirol,2024,,10.1021/acsomega.4c04899,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Universität für Bodenkultur Wien,University of Natural Resources and Life Sciences Vienna (BOKU),2024,,10.1021/acsomega.4c05043,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acsomega.4c07320,FALSE,FALSE,American Chemical Society (ACS),ACS Omega,2470-1343,,,,CC BY,,,,,,,acs2024kemoe,
Technische Universität Graz,Graz University of Technology,2024,,10.1021/acsphotonics.3c01479,TRUE,FALSE,American Chemical Society (ACS),ACS Photonics,2330-4022,,,,CC BY,,,,,,,acs2024kemoe,
Universität Graz,University of Graz,2024,,10.1021/acsphotonics.4c00621,TRUE,FALSE,American Chemical Society (ACS),ACS Photonics,2330-4022,,,,CC BY,,,,,,,acs2024kemoe,
