institution,period,euro,doi,journal_full_title,publisher,is_hybrid,issn,url,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related,snsf_title
Swiss National Science Foundation (SNSF),2021-06-07,2651.5539305301645,10.3389/fpsyt.2021.597681,Frontiers in Psychiatry-Behavioral and Psychiatry Genetics,Frontiers Media SA,FALSE,NA,NA,2900.8,1.094,107842 - 10239 - 07.06.2021,32AC-0_205770,179404,From learning to memory: a comparison between verbal and non-verbal skills in 22q11.2 deletion syndrome
Swiss National Science Foundation (SNSF),2021-06-07,5311.234003656306,10.1007/s40121-021-00464-0,Infectious Diseases and Therapy,,FALSE,2193-8229,NA,5810.49,1.094,107848 - 12310 - 07.06.2021,P4AC-3_205766,194449,"Short-course versus long-course systemic antibiotic treatment for uncomplicated intravascular catheter-related bloodstream infections due to Gram-negative bacteria, enterococci or coagulase-negative s"
Swiss National Science Foundation (SNSF),2021-06-03,1308.0438756855574,10.2196/22281,JMIR Pediatrics and Parenting,,FALSE,2561-6722,NA,1431,1.094,107806 - 10669 - 03.06.2021,40AC-0_205283,167211,Social Media Terms and Conditions and Informed Consent From Children: Ethical Analysis
Swiss National Science Foundation (SNSF),2021-06-03,1855.2102376599632,10.1088/1367-2630/abf54b,New Journal of Physics,IOP Publishing,FALSE,1367-2630,NA,2029.6,1.094,107809 - 10835 - 03.06.2021,P4AC-2_205270,"194359, 182050",Locating line and node disturbances in networks of diffusively coupled dynamical agents
Swiss National Science Foundation (SNSF),2021-06-03,2223.7751371115173,10.3389/fmolb.2021.671037,Frontiers in Molecular Biosciences-Protein and RNA Network,"Frontiers Media SA, Lausanne, CH",FALSE,NA,NA,2432.81,1.094,107805 - 10239 - 03.06.2021,31AC-0_205286,188969,Oxidative Stress in Bacteria and the Central Dogma of Molecular Biology 
Swiss National Science Foundation (SNSF),2021-06-03,2634.597806215722,10.3389/fendo.2021.666595,Frontiers in Endocrinology,Frontiers,FALSE,NA,NA,2882.25,1.094,107811 - 10239 - 03.06.2021,PZAC-3_205288,167823,Free Thyroxine Levels Are Associated With Cold Induced Thermogenesis in Healthy Euthyroid Individuals
Swiss National Science Foundation (SNSF),2021-06-03,3904.0219378427787,10.1126/sciadv.abe4154,Science Advances,AAAS,FALSE,2375-2548,NA,4271,1.094,107807 - 10676 - 03.06.2021,51AC-0_205284,182881,Dynamics and healing behavior of metallosupramolecular polymers
Swiss National Science Foundation (SNSF),2021-06-01,893.0804387568555,10.3389/fmicb.2021.684664,Frontiers in Microbiology,,FALSE,NA,NA,977.03,1.094,107770 - 10239 - 01.06.2021,31AC-0_205689,179310,Basidiomycetes are particularly sensitive to bacterial volatile compounds: mechanistic insight into the case study of Pseudomonas protegens volatilome against Heterobasidion abietinum
Swiss National Science Foundation (SNSF),2021-06-01,1044.3601462522852,10.1186/s40878-021-00237-1,Comparative Migration Studies,SpringerOpen,FALSE,NA,NA,1142.53,1.094,107771 - 12282 - 01.06.2021,51AC-0_205657,185901,How can we categorise ‘nationality’ and ‘second generation’ in surveys without (re)producing stigmatisation?
Swiss National Science Foundation (SNSF),2021-06-01,1405.5484460694697,10.1371/journal.pone.0252355,PLoSOne,,FALSE,NA,NA,1537.67,1.094,107766 - 10850 - 01.06.2021,20AC-1_205682,178780,Two turtles with soft tissue preservation from the platy limestones of Germany provide evidence for marine flipper adaptations in Late Jurassic thalassochelydians
Swiss National Science Foundation (SNSF),2021-06-01,1658.4643510054843,10.1107/s2052252521003249,IUCRJ,International Union of Crystallography (IUCr),FALSE,NA,NA,1814.36,1.094,107745 - 12278 - 01.06.2021,20AC-1_204012,165496,Impact of the Neutron Depolarization Effect on Polarized Neutron Scattering in Ferromagnets
Swiss National Science Foundation (SNSF),2021-06-01,2144.396709323583,10.2196/26149,JMIR Mhealth Uhealth,,FALSE,NA,NA,2345.97,1.094,107767 - 10978 - 01.06.2021,PPAC-2_205690,150640,Wound image quality from a mHealth tool for home-based chronic wound management with real-time quality feedback: a randomized feasibility study
Swiss National Science Foundation (SNSF),2021-06-01,2634.597806215722,10.3389/fpls.2021.693037,Frontiers in Plant Science,Frontiers Media SA,FALSE,NA,NA,2882.25,1.094,107769 - 10239 - 01.06.2021,CRAC-3_205693,159665,The Phosphate Inhibition Paradigm: Host and Fungal Genotype Determine Arbuscular Mycorrhizal Fungal Colonization and Responsiveness to Inoculation in Cassava with Increasing Phosphorus Supply
Swiss National Science Foundation (SNSF),2021-06-01,3731.54478976234,10.1126/sciadv.abe2952,Science Advances,,FALSE,2375-2548,NA,4082.31,1.094,107763 - 10815 - 01.06.2021,20AC-1_205724,172602,Large contribution to secondary organic aerosol from isoprene cloud chemistry
Swiss National Science Foundation (SNSF),2021-05-31,3731.54478976234,10.1126/sciadv.abg2272,Science Advances,,FALSE,NA,NA,4082.31,1.094,107744 - 10815 - 31.05.2021,P4AC-2_204013,186747,Self-consistent dielectric functions of materials: towards accurate computation of van der Waals-Casimir forces
Swiss National Science Foundation (SNSF),2021-05-28,2022.851919561243,10.1371/journal.ppat.1009239,PLOS Pathogens,PLOS,FALSE,NA,NA,2213,1.094,107733 - 10670 - 28.05.2021,31AC-0_202510,"166427, 184669",An Alba-domain protein required for proteome remodelling during trypanosome differentiation and host transition
Swiss National Science Foundation (SNSF),2021-05-28,2631.6636197440585,10.3389/fcell.2021.662711,Frontiers in Cell and Developmental Biology,Frontiers,FALSE,NA,NA,2879.04,1.094,107732 - 10239 - 28.05.2021,PRAC-3_205268,179813,The road less travelled? Unconventional protein secretion at parasite-host interfaces
Swiss National Science Foundation (SNSF),2021-05-27,745.8866544789762,10.3390/cancers13081934,Cancers,,FALSE,2072-6694,NA,816,1.094,107730 - 10670 - 27.05.2021,32AC-0_205637,176083,Cannabinoid Receptor Type-2 in B Cells Is Associated with Tumor Immunity in Melanoma
Swiss National Science Foundation (SNSF),2021-05-27,786.8921389396709,10.3389/fsufs.2021.657744,Frontiers in Sustainable Food Systems,Frontiers,FALSE,NA,NA,860.86,1.094,107721 - 10239 - 27.05.2021,40AC-0_205576,152033,Assessing smallholder farmer’s participation in the wheat value chain in North-West Mt. Kenya
Swiss National Science Foundation (SNSF),2021-05-27,1066.7276051188298,10.7717/peerj.11179,PeerJ,,FALSE,2167-8359,NA,1167,1.094,107728 - 11297 - 27.05.2021,31AC-0_205630,179401,"Cranial anatomy of Besanosaurus leptorhynchus Dal Sasso & Pinna, 1996 (Reptilia: Ichthyosauria) from the Middle Triassic Besano Formation of Monte San Giorgio, Italy/Switzerland: taxonomic and palaeobiological implications"
Swiss National Science Foundation (SNSF),2021-05-27,1299.798903107861,10.5194/esd-2021-5,Earth System Dynamics,Copernicus,TRUE,NA,NA,1421.98,1.094,107723 - 10754 - 27.05.2021,P4AC-2_205635,183844,Space-time dependence of compound hot-dry events in the United States: assessment using a multi-site multi-variable weather generator
Swiss National Science Foundation (SNSF),2021-05-27,1417.6234003656307,10.3390/antibiotics10050558,Antibiotics,,FALSE,NA,NA,1550.88,1.094,107722 - 10415 - 27.05.2021,40AC-0_205614,177382,RapidResa Polymyxin Acinetobacter NP Test for rapid detection of polymyxin restistance in Acinetobacter baumannii
Swiss National Science Foundation (SNSF),2021-05-27,1417.6234003656307,10.3390/brainsci11060692,Brain sciences,MDPI,FALSE,NA,NA,1550.88,1.094,107724 - 10415 - 27.05.2021,PPAC-3_205579,"190084, 185897",Measuring the emergence of specific abilities in young children with Autism Spectrum Disorders: the example of early hyperlexic traits
Swiss National Science Foundation (SNSF),2021-05-27,1503.3820840950639,10.1017/jog.2021.61,Journal of Glaciology,Cambridge University Press,FALSE,NA,NA,1644.7,1.094,107714 - 10815 - 27.05.2021,20AC-1_205611,169641,Modeling spatially distributed snow instability at regional scale using Alpine3D
Swiss National Science Foundation (SNSF),2021-05-27,1811.7001828153564,10.3390/ijerph18094744,International Journal of Environmental Research and Public Health,MDPI,FALSE,1660-4601,NA,1982,1.094,107731 - 12271 - 27.05.2021,51AC-0_205632,185901,On the Dynamics of the Psychosocial Work Environment and Employee Well-Being: A Latent Transition Approach
Swiss National Science Foundation (SNSF),2021-05-27,1844.2230347349175,10.1038/s41598-021-89432-9,Scientific Reports,,FALSE,2045-2322,NA,2017.58,1.094,107726 - 10859 - 27.05.2021,PZAC-1_205616,179988,Serial dependence and representational momentum in single-trial perceptual decisions
Swiss National Science Foundation (SNSF),2021-05-27,1998.63802559415,10.1186/s13395-021-00268-3,Skeletal Muscle,,FALSE,2044-5040,NA,2186.51,1.094,107716 - 10752 - 27.05.2021,31AC-0_205613,184756,Nanopattern surface improves cultured human myotube maturation
Swiss National Science Foundation (SNSF),2021-05-27,2428.0438756855574,10.1186/s12889-021-10894-7,BMC Public Health,Springer Nature,FALSE,1471-2458,NA,2656.28,1.094,107712 - 10752 - 27.05.2021,10AC--_205526,"173111, 151575",How are social stressors at work related to well-being and health? A systematic review and meta-analysis
