Institution name;Date of Submission;Date of Acceptance;DOI;Article Title;Article Type;article_is_hybrid;Article OA Status;Publisher Name;Journal Name;Journal ISSN(s);Article License
Empa - Swiss Federal Laboratories for Materials Science and Technology;02.05.2024;29.07.2024;10.1016/j.conbuildmat.2024.137690;Self-prestressing bonded patches using Fe-SMA and CFRP for lifetime extension of fatigue-cracked steel details;FLA;TRUE;Hybrid Open Access;Elsevier;Construction and Building Materials;0950-0618;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;04.04.2024;09.07.2024;10.1016/j.conbuildmat.2024.137429;Vibration isolation performance of silica aerogel blankets and boards, fumed silica, polymer aerogel and nanofoams;FLA;TRUE;Hybrid Open Access;Elsevier;Construction and Building Materials;0950-0618;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;29.08.2024;09.12.2024;10.1016/j.compositesb.2024.112076;Ferroelectric Elastomers of Functionalized Polar Fillers in Polydimethylsiloxane with Improved Dielectric and Ferroelectric Properties;FLA;TRUE;Hybrid Open Access;Elsevier;Composites Part B;1359-8368;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;01.03.2024;07.05.2024;10.1016/j.cma.2024.117052;Variational assimilation of sparse time-averaged data for efficient adjoint-based optimization of unsteady RANS simulations;FLA;TRUE;Hybrid Open Access;Elsevier;Computer Methods in Applied Mechanics and Engineering;0045-7825;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;09.06.2023;19.01.2024;10.1016/j.cma.2024.116792;Moment-based, univariate n-point quadrature rules in application to the full network model of rubber elasticity;FLA;TRUE;Hybrid Open Access;Elsevier;Computer Methods in Applied Mechanics and Engineering;0045-7825;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.11.2023;23.01.2024;10.1016/j.clet.2024.100728;Ionic wind amplifier for energy-efficient air propulsion: Prototype design, development, and evaluation;FLA;FALSE;Full Open Access;Elsevier;Cleaner Engineering and Technology;2666-7908;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;08.02.2023;24.01.2024;10.1016/j.chemosphere.2024.141305;From cracks to secondary microplastics - surface characterization of polyethylene terephthalate (PET) during weathering;FLA;TRUE;Hybrid Open Access;Elsevier;Chemosphere;0045-6535;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;08.06.2024;08.12.2024;10.1016/j.cemconres.2024.107772;Impact of nesquehonite on hydration and strength of MgO-based cements;FLA;TRUE;Hybrid Open Access;Elsevier;Cement and Concrete Research;0008-8846;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;08.06.2024;25.11.2024;10.1016/j.cemconres.2024.107739;Pyroaurite-like phases (Mg-Fe3+ LDH) synthesis and solubility;FLA;TRUE;Hybrid Open Access;Elsevier;Cement and Concrete Research;0008-8846;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;29.07.2024;14.11.2024;10.1016/j.cemconres.2024.107732;Effect of temperature on the solubility of xonotlite;FLA;TRUE;Hybrid Open Access;Elsevier;Cement and Concrete Research;0008-8846;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;13.05.2024;23.08.2024;10.1016/j.cemconres.2024.107655;Earth stabilisation with MgO-based cement;FLA;TRUE;Hybrid Open Access;Elsevier;Cement and Concrete Research;0008-8846;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;27.10.2023;07.02.2024;10.1016/j.cemconres.2024.107459;Magnesium silicate hydrate (M-S-H) stability under carbonation;FLA;TRUE;Hybrid Open Access;Elsevier;Cement and Concrete Research;0008-8846;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;09.03.2024;28.10.2024;10.1016/j.cemconcomp.2024.105827;Mitigation of plastic shrinkage cracking with natural fibers - kenaf, abaca, coir, jute and sisal;FLA;TRUE;Hybrid Open Access;Elsevier;Cement and Concrete Composites;0958-9465;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;09.03.2024;29.11.2024;10.1016/j.cej.2024.158190;Reprocessable Flame Retardant Amino-ester Thermoset;FLA;TRUE;Hybrid Open Access;Elsevier;Chemical Engineering Journal;1385-8947;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;31.07.2024;15.11.2024;10.1016/j.carbpol.2024.123031;Valorizing brewery industry waste in nanocellulose cryogel-PEG composites for cold chain packaging;FLA;TRUE;Hybrid Open Access;Elsevier;Carbohydrate Polymers;0144-8617;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;29.04.2024;18.06.2024;10.1016/j.carbon.2024.119370;Charge induced frustration in C60 monolayers on h-BN/Ni(111);FLA;TRUE;Hybrid Open Access;Elsevier;Carbon;0008-6223;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;30.01.2024;27.06.2024;10.1016/j.bioadv.2024.213938;Stretch-induced damage in endothelial monolayers;FLA;TRUE;Hybrid Open Access;Elsevier;Biomaterials Advances;2772-9508;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;04.06.2024;08.08.2024;10.1016/j.apsusc.2024.160940;Energy-efficient microwelding of copper by continuous-wave green laser: insights into nanoparticle-assisted absorptivity enhancement;FLA;TRUE;Hybrid Open Access;Elsevier;Applied Surface Science;0169-4332;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.11.2023;20.05.2024;10.1016/j.apsusc.2024.160363;Aqueous Phosphonic Acid Treatments of Aluminium: Effect of Oxide Dissolution and Re-Oxidation on Adsorbate Formation;FLA;TRUE;Hybrid Open Access;Elsevier;Applied Surface Science;0169-4332;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;11.08.2023;06.04.2024;10.1016/j.apsusc.2024.160062;Weakening surface hydrogen to enhance permeation in hydrogen selective membranes;FLA;TRUE;Hybrid Open Access;Elsevier;Applied Surface Science;0169-4332;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;03.01.2024;26.03.2024;10.1016/j.apsusc.2024.159994;Experimental and ab initio derivation of interface stress in nanomultilayered coatings: application to immiscible Cu/W system with variable in-plane stress;FLA;TRUE;Hybrid Open Access;Elsevier;Applied Surface Science;0169-4332;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;17.01.2024;16.05.2024;10.1016/j.apor.2024.104062;The fishnet-harvesting buoy to collect ghost nets in the ocean: Technology concept and feasibility;FLA;TRUE;Hybrid Open Access;Elsevier;Applied Ocean Research;0141-1187;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;19.02.2024;17.06.2024;10.1016/j.apmt.2024.102302;Piezoresistive Properties for Soft Structures Using Hybrid CCB/CNT-Based Natural Rubber Latex Composites;FLA;TRUE;Hybrid Open Access;Elsevier;Applied Materials Today;2352-9407;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;28.12.2023;13.09.2024;10.1016/j.apgeochem.2024.106177;Sorption of Se(VI) and Se(IV) on AFm phases;FLA;TRUE;Hybrid Open Access;Elsevier;Applied Geochemistry;0883-2927;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;12.08.2023;04.04.2024;10.1016/j.apgeochem.2024.106001;Insights on the effects of carbonates and phosphates on the hydration of magnesia (alumino-)silicate cements;FLA;TRUE;Hybrid Open Access;Elsevier;Applied Geochemistry;0883-2927;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;14.05.2024;22.11.2024;10.1016/j.apenergy.2024.125004;Optimal sizing and operation of hydrogen generation sites accounting for waste heat recovery;FLA;TRUE;Hybrid Open Access;Elsevier;Applied Energy;0306-2619;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;26.05.2024;15.10.2024;10.1016/j.apenergy.2024.124751;Development of a GHG-based control strategy for a fleet of hybrid heat pumps to decarbonize space heating and domestic hot water;FLA;TRUE;Hybrid Open Access;Elsevier;Applied Energy;0306-2619;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;17.07.2024;23.11.2024;10.1016/j.addma.2024.104574;On the calibration of thermo-microstructural simulation models for Laser Powder Bed Fusion process: Integrating physics-informed neural networks with cellular automata;FLA;TRUE;Hybrid Open Access;Elsevier;Additive Manufacturing;2214-8604;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;02.08.2024;05.08.2024;10.1016/j.addma.2024.104344;Investigating Laser Beam Shadowing and Powder Particle Dynamics in Directed Energy Deposition through High-Fidelity Modelling and High-Speed Imaging;FLA;TRUE;Hybrid Open Access;Elsevier;Additive Manufacturing;2214-8604;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;25.01.2024;08.06.2024;10.1016/j.addma.2024.104251;From 2D to 3D electrochemical microfabrication of nickel architectures at room temperature: synthesis and characterization of microstructure and mechanical properties;FLA;TRUE;Hybrid Open Access;Elsevier;Additive Manufacturing;2214-8604;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;01.12.2024;24.04.2024;10.1016/j.addma.2024.104165;Bicomponent melt-spinning of filaments for material extrusion 3D printing;FLA;TRUE;Hybrid Open Access;Elsevier;Additive Manufacturing;2214-8604;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;10.06.2023;17.03.2024;10.1016/j.addma.2024.104092;Experimental Quantification of Inward Marangoni Convection and Its Impact on Keyhole Threshold in Laser Powder Bed Fusion of Stainless Steel;FLA;TRUE;Hybrid Open Access;Elsevier;Additive Manufacturing;2214-8604;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;16.02.2023;07.01.2024;10.1016/j.addma.2024.103974;Monitoring Of Laser Powder Bed Fusion Process By Bridging Dissimilar Process Maps Using Deep Learning-based Domain Adaptation on Acoustic Emissions;FLA;TRUE;Hybrid Open Access;Elsevier;Additive Manufacturing;2214-8604;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;06.10.2024;26.07.2024;10.1016/j.addlet.2024.100227;Microstructure and Mechanical Response of As-Built and Solution-Annealed LPBF Hastelloy X Under High-Temperature Fatigue Loading;SCO;FALSE;Full Open Access;Elsevier;Additive Manufacturing Letters;2772-3690;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;20.12.2023;26.02.2024;10.1016/j.addlet.2024.100203;The role of process parameters and printing position on meltpool variations in LPBF Hastelloy X: Insights into laser-plume interaction;SCO;FALSE;Full Open Access;Elsevier;Additive Manufacturing Letters;2772-3690;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;12.11.2023;08.02.2024;10.1016/j.addlet.2024.100201;Investigating the Deformation and Microstructural Evolution of Laser Powder-bed Fusion of Hastelloy X during High Temperature Fatigue Loading;SCO;FALSE;Full Open Access;Elsevier;Additive Manufacturing Letters;2772-3690;CC BY-NC-ND
Empa - Swiss Federal Laboratories for Materials Science and Technology;17.05.2024;23.10.2024;10.1016/j.adapen.2024.100196;Digitalization of Urban Multi-Energy Systems – Advances in Digital Twin Applications across Life-Cycle Phases;REV;FALSE;Full Open Access;Elsevier;Advances in Applied Energy;2666-7924;CC BY
Empa - Swiss Federal Laboratories for Materials Science and Technology;23.07.2024;12.10.2024;10.1016/j.actamat.2024.120472;Predicting metastable oxide-to-hydroxide phase transformations by bulk and interface thermodynamics: application to the phase stability of aluminium oxides and hydroxides in water;FLA;TRUE;Hybrid Open Access;Elsevier;Acta Materialia;1359-6454;CC BY
ETH Zurich;18.12.2024;18.12.2024;10.3168/jds.2024-25669;Feed additives for methane mitigation: Introduction—Special issue on technical guidelines to develop feed additives to reduce enteric methane;FLA;FALSE;Full Open Access;Elsevier;Journal of Dairy Science;0022-0302;CC BY
ETH Zurich;06.08.2024;26.08.2024;10.3168/jds.2024-25274;Hydroponic fodder as alternative feeds for ruminants to reduce ruminal methane emissions: An in vitro study;FLA;FALSE;Full Open Access;Elsevier;Journal of Dairy Science;0022-0302;CC BY
ETH Zurich;06.01.2024;20.08.2024;10.3168/jds.2024-25246;Evaluating GreenFeed and respiration chambers for daily and intraday measurements of enteric gaseous exchange in dairy cows housed in tiestalls;FLA;FALSE;Full Open Access;Elsevier;Journal of Dairy Science;0022-0302;CC BY
ETH Zurich;22.12.2023;03.07.2024;10.3168/jds.2023-24601;Learning end-to-end respiratory rate prediction of dairy cows from red, green, and blue videos;FLA;FALSE;Full Open Access;Elsevier;Journal of Dairy Science;0022-0302;CC BY
ETH Zurich;22.11.2023;29.03.2024;10.3168/jds.2023-24460;Effects of 3-nitrooxypropanol (3-NOP, Bovaer10) and whole cottonseed on milk production and enteric methane emissions from dairy cows under Swiss management conditions;FLA;FALSE;Full Open Access;Elsevier;Journal of Dairy Science;0022-0302;CC BY
ETH Zurich;07.12.2023;09.10.2024;10.1016/S2589-7500(24)00222-X;Clinical trials for implantable neural prostheses: understanding the ethical and technical requirements;REV;FALSE;Full Open Access;Elsevier;The Lancet Digital Health;2589-7500;CC BY
ETH Zurich;07.10.2024;19.12.2024;10.1016/j.ymssp.2024.112261;Reduced Order Modeling conditioned on monitored features for response and error bounds estimation in engineered systems;FLA;TRUE;Hybrid Open Access;Elsevier;Mechanical Systems and Signal Processing;0888-3270;CC BY
ETH Zurich;06.12.2024;10.12.2024;10.1016/j.ymssp.2024.112233;Model-based Imitation Learning from Observation for Input Estimation in Monitored Systems;FLA;TRUE;Hybrid Open Access;Elsevier;Mechanical Systems and Signal Processing;0888-3270;CC BY
ETH Zurich;02.09.2024;30.09.2024;10.1016/j.ymssp.2024.112008;Predicting the variability of the dynamics of bolted joints using Polynomial Chaos Expansion;FLA;TRUE;Hybrid Open Access;Elsevier;Mechanical Systems and Signal Processing;0888-3270;CC BY
ETH Zurich;14.01.2024;23.05.2024;10.1016/j.ymben.2024.05.005;Rational design of a bacterial import system for new-to-nature molecules;FLA;TRUE;Hybrid Open Access;Elsevier;Metabolic Engineering;1096-7176;CC BY
ETH Zurich;26.11.2023;11.03.2024;10.1016/j.xpro.2024.102986;Protocol for preparing formalin-fixed paraffin-embedded (FFPE) musculoskeletal tissue samples from mice for spatial transcriptomics;PRO;FALSE;Full Open Access;Elsevier;STAR Protocols;2666-1667;CC BY
ETH Zurich;11.05.2024;20.12.2024;10.1016/j.xphs.2024.12.020;The Impact of Process Parameters on the Lyophilized Porous Micro-structure: A Case Study of Dextran;FLA;TRUE;Hybrid Open Access;Elsevier;Journal of Pharmaceutical Sciences;0022-3549;CC BY
ETH Zurich;17.01.2024;22.05.2024;10.1016/j.xphs.2024.05.024;Microfluidic Stress Device to Decouple the Synergistic Effect of Shear and Interfaces on Antibody Aggregation;FLA;TRUE;Hybrid Open Access;Elsevier;Journal of Pharmaceutical Sciences;0022-3549;CC BY-NC-ND
ETH Zurich;13.09.2023;19.05.2024;10.1016/j.worlddev.2024.106682;Unravelling the nexus of illicit gold trade, protection rackets, and political settlement dynamics: evidence from Burkina Faso;FLA;TRUE;Hybrid Open Access;Elsevier;World Development;0305-750X;CC BY
ETH Zurich;27.11.2023;10.05.2024;10.1016/j.worlddev.2024.106658;Cash-Based Interventions Improve Multidimensional Integration Outcomes of Venezuelan Immigrants;FLA;TRUE;Hybrid Open Access;Elsevier;World Development;0305-750X;CC BY
ETH Zurich;20.06.2023;09.02.2024;10.1016/j.worlddev.2024.106569;Public Support for Participation in Local Development;FLA;TRUE;Hybrid Open Access;Elsevier;World Development;0305-750X;CC BY
ETH Zurich;30.04.2024;16.09.2024;10.1016/j.watres.2024.122465;Assessing different next-generation sequencing technologies for wastewater-based epidemiology;FLA;TRUE;Hybrid Open Access;Elsevier;Water Research;0043-1354;CC BY
ETH Zurich;30.05.2024;09.12.2024;10.1016/j.wasman.2024.12.016;Comprehensive industry-relevant black soldier fly bioconversion characterisation by a novel chamber system;FLA;TRUE;Hybrid Open Access;Elsevier;Waste Management;0956-053X;CC BY
ETH Zurich;03.11.2024;25.05.2024;10.1016/j.wasman.2024.05.043;Preservation of agri-food byproducts by acidification and fermentation in black soldier fly larvae bioconversion;FLA;TRUE;Hybrid Open Access;Elsevier;Waste Management;0956-053X;CC BY
ETH Zurich;09.05.2023;05.02.2024;10.1016/j.wasman.2024.02.012;Physical pretreatment of three biowastes to improve black soldier fly larvae bioconversion efficiency;FLA;TRUE;Hybrid Open Access;Elsevier;Waste Management;0956-053X;CC BY
ETH Zurich;29.12.2023;03.04.2024;10.1016/j.wace.2024.100671;Representing natural climate variability in an event attribution context: Indo-Pakistani heatwave of 2022;FLA;FALSE;Full Open Access;Elsevier;Weather and Climate Extremes;2212-0947;CC BY
ETH Zurich;16.09.2023;22.03.2024;10.1016/j.wace.2024.100666;More than three-fold increase in compound soil and air dryness across Europe by the end of 21st century;FLA;FALSE;Full Open Access;Elsevier;Weather and Climate Extremes;2212-0947;CC BY
ETH Zurich;15.02.2024;16.05.2024;10.1016/j.ultras.2024.107349;Ultrawideband sub-pascal sensitivity piezopolymer detectors;FLA;TRUE;Hybrid Open Access;Elsevier;Ultrasonics;0041-624X;CC BY
ETH Zurich;04.04.2024;19.10.2024;10.1016/j.ufug.2024.128553;Exploring the interplay of urban form and greenery in residents’ affective and cognitive responses;FLA;TRUE;Hybrid Open Access;Elsevier;Urban Forestry & Urban Greening;1618-8667;CC BY
ETH Zurich;21.07.2023;03.01.2024;10.1016/j.ufug.2024.128206;Increasing demand for urban community gardening before, during and after the COVID-19 pandemic;FLA;TRUE;Hybrid Open Access;Elsevier;Urban Forestry & Urban Greening;1618-8667;CC BY
ETH Zurich;05.03.2023;24.06.2024;10.1016/j.trip.2024.101155;Two qualitative case studies on network governance in Swiss transit station district development;FLA;FALSE;Full Open Access;Elsevier;Transportation Research Interdisciplinary Perspectives;2590-1982;CC BY
ETH Zurich;10.08.2023;25.06.2024;10.1016/j.tre.2024.103642;Owner-operator experience and violations in trucking: The mixed role of perceived justice;FLA;TRUE;Hybrid Open Access;Elsevier;Transportation Research Part E;1366-5545;CC BY
ETH Zurich;17.01.2024;25.10.2024;10.1016/j.trd.2024.104488;Conference air travel’s relevance and ways to reduce it;FLA;TRUE;Hybrid Open Access;Elsevier;Transportation Research Part D;1361-9209;CC BY
ETH Zurich;25.06.2024;04.11.2024;10.1016/j.trc.2024.104919;FAIRLANE: A Multi-Agent Approach to Priority Lane Management in Diverse Traffic Composition;FLA;TRUE;Hybrid Open Access;Elsevier;Transportation Research Part C;0968-090X;CC BY
ETH Zurich;16.01.2024;01.07.2024;10.1016/j.trc.2024.104748;Cooperative Adaptable Lanes for Safer Shared Space and Improved Mixed-Traffic Flow;FLA;TRUE;Hybrid Open Access;Elsevier;Transportation Research Part C;0968-090X;CC BY
ETH Zurich;14.09.2023;05.03.2024;10.1016/j.trc.2024.104563;Quantifying the dynamic predictability of train delay with uncertainty-aware neural networks;FLA;TRUE;Hybrid Open Access;Elsevier;Transportation Research Part C;0968-090X;CC BY
ETH Zurich;10.10.2023;01.02.2024;10.1016/j.trc.2024.104511;Democratizing Traffic Control in Smart Cities;FLA;TRUE;Hybrid Open Access;Elsevier;Transportation Research Part C;0968-090X;CC BY
ETH Zurich;26.04.2024;23.11.2024;10.1016/j.trb.2024.103135;Bike network planning in limited urban space;FLA;TRUE;Hybrid Open Access;Elsevier;Transportation Research Part B;0191-2615;CC BY
ETH Zurich;03.12.2024;31.08.2024;10.1016/j.tranpol.2024.08.016;”How much should public transport services be expanded, and who should pay? Experimental evidence from Switzerland”;FLA;TRUE;Hybrid Open Access;Elsevier;Transport Policy;0967-070X;CC BY
ETH Zurich;15.02.2024;23.05.2024;10.1016/j.trac.2024.117790;Gas Sensing for Space: Health and Environmental Monitoring;REV;TRUE;Hybrid Open Access;Elsevier;Trends in Analytical Chemistry;0165-9936;CC BY
ETH Zurich;20.01.2023;18.05.2024;10.1016/j.tra.2024.104105;The influence of individual physical capabilities for cycling adoption: Understanding its influence and mode-shift potentials;FLA;TRUE;Hybrid Open Access;Elsevier;Transportation Research Part A;0965-8564;CC BY
ETH Zurich;17.01.2024;26.04.2024;10.1016/j.toxlet.2024.04.013;Physiologically based kinetic (PBK) modeling as a new approach methodology (NAM) for predicting systemic levels of gut microbial metabolites;FLA;TRUE;Hybrid Open Access;Elsevier;Toxicology Letters;0378-4274;CC BY-NC-ND
ETH Zurich;29.06.2024;27.08.2024;10.1016/j.tim.2024.08.011;Bioinformatics challenges for profiling the microbiome in cancer: pitfalls and opportunities;SSU;TRUE;Hybrid Open Access;Elsevier;Trends in Microbiology;0966-842X;CC BY
ETH Zurich;01.01.2024;24.04.2024;10.1016/j.tifs.2024.104513;Unveiling the Chemical Complexity of Food-Risk Components: A Comprehensive Data Resource Guide in 2024;REV;TRUE;Hybrid Open Access;Elsevier;Trends in Food Science & Technology;0924-2244;CC BY
ETH Zurich;28.12.2022;11.01.2024;10.1016/j.tics.2024.01.003;Rationality, preferences, and emotions with biological constraints: It all starts from our senses;REV;TRUE;Hybrid Open Access;Elsevier;Trends in Cognitive Sciences;1364-6613;CC BY-NC-ND
ETH Zurich;24.06.2024;26.07.2024;10.1016/j.tibtech.2024.07.014;Programming mammalian cell behaviours by physical cues;REV;TRUE;Hybrid Open Access;Elsevier;Trends in Biotechnology;0167-7799;CC BY
ETH Zurich;15.04.2024;05.07.2024;10.1016/j.tibtech.2024.07.002;Sustainable Biofabrication: From Bioprinting to AI-Driven Predictive Methods;REV;TRUE;Hybrid Open Access;Elsevier;Trends in Biotechnology;0167-7799;CC BY
ETH Zurich;29.09.2023;12.01.2024;10.1016/j.tibs.2024.01.005;Microtubule specialization by +TIP networks: from mechanisms to functional implications;REV;TRUE;Hybrid Open Access;Elsevier;Trends in Biochemical Sciences;0968-0004;CC BY
ETH Zurich;15.01.2024;13.02.2024;10.1016/j.tetlet.2024.154964;The Irreplaceable Glycine: Glycine Homologs Destabilize the Collagen Triple Helix;SCO;TRUE;Hybrid Open Access;Elsevier;Tetrahedron Letters;0040-4039;CC BY
ETH Zurich;12.12.2023;20.02.2024;10.1016/j.tet.2024.133908;The chemistry of disorazoles and structure-activity relationships: An update;FLA;TRUE;Hybrid Open Access;Elsevier;Tetrahedron;0040-4020;CC BY-NC
ETH Zurich;13.07.2024;25.11.2024;10.1016/j.tecto.2024.230574;Applying and validating Coulomb rate-and-state seismicity models in acoustic emission experiments;FLA;TRUE;Hybrid Open Access;Elsevier;Tectonophysics;0040-1951;CC BY
ETH Zurich;06.12.2024;18.11.2024;10.1016/j.tecto.2024.230572;Upper and lower crustal deformation and residual topography in a continental back-arc: Inferences from the Pannonian-Transylvanian Basins;FLA;TRUE;Hybrid Open Access;Elsevier;Tectonophysics;0040-1951;CC BY
ETH Zurich;12.04.2023;31.07.2024;10.1016/j.tecto.2024.230446;Modelling the contrasting tectonic and magmatic evolution of rifted and transform margins and subsequent oceanic spreading;FLA;TRUE;Hybrid Open Access;Elsevier;Tectonophysics;0040-1951;CC BY
ETH Zurich;27.09.2023;01.04.2024;10.1016/j.tecto.2024.230305;Segmentation of the Tashkurgan normal fault in the eastern Pamir: Insights from geomorphology and thermochronology and implications for fault-slip transfer;FLA;TRUE;Hybrid Open Access;Elsevier;Tectonophysics;0040-1951;CC BY
ETH Zurich;27.03.2023;24.10.2024;10.1016/j.tcs.2024.114942;Priority Algorithms with Advice for Disjoint Path Allocation Problems;FLA;TRUE;Hybrid Open Access;Elsevier;Theoretical Computer Science;0304-3975;CC BY
ETH Zurich;18.12.2023;22.07.2024;10.1016/j.tcs.2024.114747;Kolmogorov Complexity and Nondeterminism Versus Determinism for Polynomial Time;FLA;TRUE;Hybrid Open Access;Elsevier;Theoretical Computer Science;0304-3975;CC BY-NC-ND
ETH Zurich;31.08.2023;20.02.2024;10.1016/j.tcs.2024.114467;The Impact of Core Constraints on Truthful Bidding in Combinatorial Auctions;FLA;TRUE;Hybrid Open Access;Elsevier;Theoretical Computer Science;0304-3975;CC BY
ETH Zurich;01.12.2024;29.08.2024;10.1016/j.taml.2024.100553;Spatially-graded 3D-printed  viscoelastic truss metamaterials for impact trajectory control and energy absorption;FLA;FALSE;Full Open Access;Elsevier;Theoretical and Applied Mechanics Letters;2095-0349;CC BY
ETH Zurich;19.01.2024;29.10.2024;10.1016/j.strusafe.2024.102543;Reliability analysis for data-driven noisy models using active learning;FLA;TRUE;Hybrid Open Access;Elsevier;Structural Safety;0167-4730;CC BY
ETH Zurich;16.06.2024;27.11.2024;10.1016/j.spc.2024.11.030;Sustainability and efficiency assessment of routes for long-term energy storage in chemicals;FLA;TRUE;Hybrid Open Access;Elsevier;Sustainable Production and Consumption;2352-5509;CC BY
ETH Zurich;14.05.2024;19.08.2024;10.1016/j.spc.2024.08.016;Integrating emerging technologies deployed at scale within prospective life cycle assessments;FLA;TRUE;Hybrid Open Access;Elsevier;Sustainable Production and Consumption;2352-5509;CC BY
ETH Zurich;03.03.2024;09.06.2024;10.1016/j.spc.2024.06.011;The butterfly matchmaking model for circular construction: Towards a digital matchmaking platform tailored to French policy;FLA;TRUE;Hybrid Open Access;Elsevier;Sustainable Production and Consumption;2352-5509;CC BY
ETH Zurich;27.10.2023;09.04.2024;10.1016/j.soildyn.2024.108650;Liquefaction in the presence of soil-structure interaction: Centrifuge tests of a sheet-pile quay wall in LEAP-2020;FLA;TRUE;Hybrid Open Access;Elsevier;Soil Dynamics and Earthquake Engineering;0267-7261;CC BY
ETH Zurich;01.03.2024;31.03.2024;10.1016/j.soildyn.2024.108631;Dynamic structure-soil-structure interaction for nuclear power plants;FLA;TRUE;Hybrid Open Access;Elsevier;Soil Dynamics and Earthquake Engineering;0267-7261;CC BY
ETH Zurich;28.12.2023;08.07.2024;10.1016/j.soilbio.2024.109519;Dual isotopic (33P and 18O) tracing and solution 31P NMR spectroscopy to reveal organic phosphorus synthesis in organic soil horizons;FLA;TRUE;Hybrid Open Access;Elsevier;Soil Biology and Biochemistry;0038-0717;CC BY
ETH Zurich;15.01.2024;20.06.2024;10.1016/j.soilbio.2024.109505;Mechanisms behind high N2O emissions from livestock enclosures in Kenya revealed by dual-isotope and functional gene analyses;FLA;TRUE;Hybrid Open Access;Elsevier;Soil Biology and Biochemistry;0038-0717;CC BY
ETH Zurich;04.11.2024;03.07.2024;10.1016/j.softx.2024.101817;EDACFEM: A Linear Truss and Beam Solver in MATLAB;OSP;FALSE;Full Open Access;Elsevier;SoftwareX;2352-7110;CC BY
ETH Zurich;25.06.2023;04.01.2024;10.1016/j.socec.2024.102164;Predicting compliance: Leveraging chat data for supervised classification in experimental research;FLA;TRUE;Hybrid Open Access;Elsevier;Journal of Behavioral and Experimental Economics;2214-8043;CC BY
ETH Zurich;29.01.2024;26.04.2024;10.1016/j.snb.2024.135892;Tunable Viscoelastic Size-Based Particle Separation in Straight Microchannels with Triangular Cross-Sections;FLA;TRUE;Hybrid Open Access;Elsevier;Sensors and Actuators: B. Chemical;0925-4005;CC BY
ETH Zurich;29.11.2023;20.02.2024;10.1016/j.snb.2024.135532;Pesticide Uptake and Translocation in Plants Monitored in situ via Laser Ablation Dielectric Barrier Discharge Ionization Mass Spectrometry Imaging;FLA;TRUE;Hybrid Open Access;Elsevier;Sensors and Actuators: B. Chemical;0925-4005;CC BY
ETH Zurich;06.05.2022;09.02.2024;10.1016/j.shpsa.2024.02.001;Minimal logical teleology in artifacts and biology connects the two domains and frames mechanisms via epistemic circularity;FLA;TRUE;Hybrid Open Access;Elsevier;Studies in History and Philosophy of Science;0039-3681;CC BY
ETH Zurich;17.10.2024;13.12.2024;10.1016/j.seppur.2024.131086;Modeling, evaluation, and optimization of a self-bearing spinfilter for bioseparations;FLA;TRUE;Hybrid Open Access;Elsevier;Separation and Purification Technology;1383-5866;CC BY
ETH Zurich;13.09.2024;30.11.2024;10.1016/j.seppur.2024.130886;Charge characteristics of co-electrospun nanofiber membranes and their application in high-humidity environment;FLA;TRUE;Hybrid Open Access;Elsevier;Separation and Purification Technology;1383-5866;CC BY
